#number of hit, misses and time stayed in Cache for every file
#project: 1, cachesize: 1340, blocksize: 1340, prefetchsize: 134, cache replacement policy: LRU
file_id,loc,num_load,num_hits,num_misses,duration,reason,is_in_cache,Prefetch,CoChange,BugEntity
0,0,0,0,0,8678058,0,false,0,0,0
12286,-1,27,25,1,6517176,CoChange,true,9,16,0
12283,-1,17,5,5,2296528,CoChange,false,0,2,3
24568,474,1,0,0,183791,Prefetch,false,0,0,0
12279,-1,23,18,1,6623434,CoChange,true,2,16,0
24565,2570,1,0,0,21275,Prefetch,false,0,0,0
12276,-1,4,0,1,462994,CoChange,false,0,0,0
12274,-1,15,6,3,1966466,CoChange,false,1,2,3
12272,-1,23,10,1,5346609,CoChange,true,0,9,1
12271,-1,21,11,1,5459047,CoChange,true,0,11,0
12270,-1,24,10,5,3930648,CoChange,false,1,0,9
12267,-1,33,29,2,6445295,CoChange,true,0,26,3
24550,1035,1,0,0,27577,Prefetch,false,0,0,0
24546,1920,1,0,0,21275,Prefetch,false,0,0,0
12246,-1,13,57,6,6530140,CoChange,true,4,35,18
24529,692,1,0,0,28948,Prefetch,false,0,0,0
12241,-1,20,5,5,2946579,CoChange,false,0,2,3
24524,679,1,0,0,68365,Prefetch,false,0,0,0
24519,556,1,0,0,95664,Prefetch,false,0,0,0
12230,-1,28,71,0,6843612,CoChange,true,2,69,0
12229,-1,29,73,2,6826566,CoChange,true,2,71,0
12228,-1,38,10,0,6339672,CoChange,true,1,9,0
12226,-1,28,8,1,3153269,CoChange,false,0,8,0
12225,-1,35,13,1,6685723,CoChange,true,1,10,2
12224,-1,22,33,1,6722317,CoChange,true,2,31,0
24509,626,1,0,0,89486,Prefetch,false,0,0,0
24505,604,1,0,0,95664,Prefetch,false,0,0,0
12217,-1,24,14,3,3473509,CoChange,false,0,5,9
12213,-1,18,7,0,1706532,CoChange,false,0,7,0
12212,-1,38,10,0,6354483,CoChange,true,1,9,0
12211,-1,33,30,0,6761883,CoChange,true,1,29,0
12208,-1,31,24,0,6750086,CoChange,true,2,22,0
12207,-1,35,12,1,4007057,CoChange,false,2,10,0
24493,689,1,0,0,29414,Prefetch,false,0,0,0
12205,-1,38,20,1,6705525,CoChange,true,2,18,0
12204,-1,32,37,0,6729293,CoChange,true,2,35,0
24489,891,1,0,0,28132,Prefetch,false,0,0,0
12202,-1,25,35,1,6471198,CoChange,true,1,21,13
24487,928,1,0,0,28132,Prefetch,false,0,0,0
12199,-1,20,9,1,5546541,CoChange,true,0,9,0
24484,823,1,0,0,28132,Prefetch,false,0,0,0
12195,-1,32,13,1,3665023,CoChange,true,0,12,1
24480,1493,1,0,0,21275,Prefetch,false,0,0,0
12192,-1,22,5,4,2682873,CoChange,false,0,1,4
24478,952,1,0,0,28132,Prefetch,false,0,0,0
12190,-1,26,10,1,2828887,CoChange,false,1,9,0
12189,-1,34,16,1,6784560,CoChange,true,1,15,0
24475,621,1,0,0,95664,Prefetch,false,0,0,0
12188,-1,36,14,1,6647697,CoChange,true,1,13,0
12187,-1,35,13,1,5431022,CoChange,true,0,13,0
24469,556,1,0,0,95664,Prefetch,false,0,0,0
24468,595,1,0,0,95664,Prefetch,false,0,0,0
24463,474,1,0,0,146945,Prefetch,false,0,0,0
24462,539,1,0,0,95664,Prefetch,false,0,0,0
24459,994,1,0,0,28132,Prefetch,false,0,0,0
12168,649,1,0,0,23023,CoChange,false,0,0,0
12159,-1,24,22,1,6575590,CoChange,true,0,22,0
12156,-1,30,50,0,6854020,CoChange,true,3,47,0
12155,-1,28,12,1,2422197,CoChange,false,0,12,0
12154,-1,34,16,1,6839696,CoChange,true,0,16,0
24440,888,1,0,0,28132,Prefetch,false,0,0,0
12148,854,7,3,2,1129880,CoChange,false,1,2,0
12147,-1,3,2,0,43313,CoChange,false,2,0,0
12141,651,1,0,1,23869,BugEntity,false,0,0,0
12139,561,1,0,1,25394,BugEntity,false,0,0,0
24423,515,1,0,0,118077,Prefetch,false,0,0,0
12133,-1,18,5,3,1904266,CoChange,false,0,2,3
12132,-1,28,9,1,2663403,CoChange,false,0,8,1
12128,-1,2,0,0,38524,CoChange,false,0,0,0
24414,745,1,0,0,28132,Prefetch,false,0,0,0
24413,569,1,0,0,95664,Prefetch,false,0,0,0
12125,-1,20,5,5,2021079,CoChange,false,0,2,3
24410,528,1,0,0,98507,Prefetch,false,0,0,0
24408,541,1,0,0,95664,Prefetch,false,0,0,0
12121,-1,4,1,0,464506,CoChange,false,0,1,0
12120,-1,4,1,0,464506,CoChange,false,0,1,0
24406,666,1,0,0,78582,Prefetch,false,0,0,0
12119,-1,35,16,0,6654048,CoChange,true,0,16,0
24405,962,1,0,0,28132,Prefetch,false,0,0,0
12118,-1,33,18,0,6860818,CoChange,true,0,18,0
12117,-1,33,18,0,6860818,CoChange,true,0,18,0
24403,464,1,0,0,183801,Prefetch,false,0,0,0
12116,-1,33,17,0,6860818,CoChange,true,0,17,0
24402,539,1,0,0,95664,Prefetch,false,0,0,0
12115,-1,34,15,0,6844183,CoChange,true,0,15,0
12114,-1,35,15,0,6654048,CoChange,true,0,15,0
12113,-1,31,16,2,3095913,CoChange,false,1,15,0
12112,-1,32,14,1,3061629,CoChange,false,0,14,0
12111,-1,32,21,0,6743036,CoChange,true,0,21,0
12110,-1,28,32,0,6857619,CoChange,true,2,30,0
12107,-1,32,13,1,3019173,CoChange,false,2,11,0
24393,581,1,0,0,95664,Prefetch,false,0,0,0
12092,-1,31,20,2,6755031,CoChange,true,1,19,0
12091,-1,23,29,2,6689586,CoChange,true,1,24,4
12088,-1,18,8,4,2631101,CoChange,false,0,0,8
12084,-1,11,4,2,360289,CoChange,false,0,3,1
12081,-1,37,13,1,5582160,CoChange,true,3,10,0
12080,881,1,0,1,44806,BugEntity,false,0,0,0
12079,2320,2,3,2,67832,BugEntity,false,0,0,3
12078,-1,18,4,3,1276288,CoChange,false,0,1,3
12077,-1,18,9,1,1281115,CoChange,false,3,6,0
12075,-1,18,7,4,2595134,CoChange,false,0,0,7
12064,-1,32,46,2,6895758,CoChange,true,1,45,0
12063,-1,18,4,3,1224280,CoChange,false,0,1,3
24343,647,1,0,0,79788,Prefetch,false,0,0,0
12056,-1,19,9,0,2176998,CoChange,false,0,9,0
12055,-1,35,16,0,6594768,CoChange,true,1,15,0
12052,-1,39,49,3,6923633,CoChange,true,0,46,3
24338,1756,1,0,0,21275,Prefetch,false,0,0,0
24337,800,1,0,0,28132,Prefetch,false,0,0,0
12050,-1,36,62,0,6799672,CoChange,true,0,62,0
24336,1223,1,0,0,21275,Prefetch,false,0,0,0
12049,-1,38,22,2,6784764,CoChange,true,0,21,1
12048,-1,35,29,0,6891592,CoChange,true,0,29,0
