#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, cachesize: 1340, blocksize: 1340, prefetchsize: 134, cache replacement policy: LRU
Month,HitRate,NumCommits
3,100.0,121
6,100.0,385
9,100.0,634
12,99.51,1103
15,97.4,1481
18,97.27,2010
21,96.02,2358
24,97.57,3762
27,96.74,5158
30,96.63,5669
33,96.69,5993
36,96.84,6520
39,96.9,7020
42,97.03,7517
45,97.06,8090
48,97.42,8542
51,97.32,8911
54,97.34,9238
57,97.37,9489
60,97.44,10110
63,97.48,10713
66,97.5,10973
69,97.51,11147
72,97.52,11346
75,97.54,11507
78,97.55,11684
81,97.65,12140
84,97.67,12412
87,97.67,12577
90,97.64,12805
93,97.55,13103
96,97.55,13156
99,97.53,13226
102,97.54,13396
105,97.54,13665
108,97.55,13823
111,97.56,13873
114,97.56,13975
117,97.57,14158
120,97.55,14286
123,97.54,14435
126,97.53,14557
129,97.53,14650
132,97.52,14729
135,97.52,14786
138,97.52,14817
141,97.52,14835
144,97.52,14885
147,97.52,14962
150,97.52,15007
153,97.53,15036
156,97.53,15051
159,97.53,15112
162,97.53,15133
165,97.53,15152
168,97.53,15215
171,97.56,15279
174,97.6,15320
177,97.6,15328
180,97.6,15366
183,97.6,15398
186,97.6,15435
189,97.6,15450
192,97.6,15469
195,97.6,15547
198,97.6,15578
