#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, cachesize: 9030, blocksize: 9030, prefetchsize: 903, cache replacement policy: LRU
Month,HitRate,NumCommits
3,100.0,558
6,100.0,1026
9,100.0,1200
12,100.0,1584
15,100.0,2139
18,100.0,2680
21,100.0,3488
24,100.0,4396
27,99.98,5320
30,99.99,6014
33,99.99,6724
36,99.98,7402
39,99.97,8156
42,99.97,8769
45,99.97,9335
48,99.97,9888
51,99.97,10631
54,99.97,11555
57,99.63,12602
60,99.64,13628
63,99.62,14475
66,99.41,15541
69,99.18,16595
72,99.02,17467
75,98.76,18440
78,98.29,19744
81,97.81,20712
84,97.52,21602
87,97.37,22381
90,97.11,23413
93,96.93,24800
96,96.72,26205
99,96.57,27367
102,96.47,28457
105,96.26,29935
108,96.11,31524
111,95.99,32917
114,95.99,32922
