#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, cachesize: 11680, blocksize: 11680, prefetchsize: 1168, cache replacement policy: LRU
Month,HitRate,NumCommits
3,99.31,551
6,99.38,1078
9,99.46,1942
12,99.57,2784
15,99.42,3318
18,99.3,4108
21,99.34,5197
24,99.38,5830
27,99.42,6563
30,99.48,7357
33,99.53,8473
36,99.54,9489
39,99.48,10073
42,99.44,11097
45,99.46,11932
48,99.45,12875
51,99.29,13534
54,99.26,14203
57,99.22,15159
60,99.14,15765
63,99.13,16044
66,99.11,16595
69,99.08,17191
72,98.93,17659
75,98.86,18040
78,98.79,18419
81,98.78,18770
84,98.81,19247
87,98.79,19602
90,98.77,19910
93,98.77,20190
96,98.74,20392
99,98.66,20630
102,98.55,20953
105,98.45,21390
108,98.4,21654
111,98.38,21844
114,98.36,21998
117,98.29,22369
120,98.28,22644
123,98.28,22838
126,98.26,22981
129,98.25,23156
132,98.24,23320
135,98.22,23502
138,98.21,23656
141,98.2,24030
144,98.21,24218
147,98.21,24461
150,98.23,24865
153,98.25,25394
156,98.24,25520
159,98.19,25745
162,98.17,25967
165,98.16,26107
168,98.15,26195
171,98.12,26357
174,98.11,26505
177,98.11,26671
180,98.11,26759
