#number of hit, misses and time stayed in Cache for every file
#project: 1, cachesize: 280, blocksize: 280, prefetchsize: 28, cache replacement policy: LRU
file_id,loc,num_load,num_hits,num_misses,duration,reason,is_in_cache,Prefetch,CoChange,BugEntity
0,0,0,0,0,8206541,0,false,0,0,0
6142,100,39,4,1,22931,CoChange,false,0,4,0
6130,141,3,2,1,12049,CoChange,false,0,1,1
6124,24,1,0,0,1731,Prefetch,false,0,0,0
6120,131,3,1,2,4452,BugEntity,false,1,0,0
6114,10,1,0,0,1309,Prefetch,false,0,0,0
6111,88,1,0,0,5347,Prefetch,false,0,0,0
6108,157,55,4,2,27059,CoChange,false,0,4,0
6107,135,50,3,2,24046,CoChange,false,0,3,0
6106,78,49,5,2,24046,CoChange,false,0,5,0
6105,253,54,4,7,35823,CoChange,false,0,2,2
6104,65,50,2,3,28727,BugEntity,false,0,2,0
6103,252,56,9,2,34829,CoChange,false,0,9,0
6102,90,50,2,3,28708,CoChange,false,0,2,0
6101,173,53,5,3,31882,CoChange,false,0,5,0
6096,-1,13,0,3,28195,CoChange,false,0,0,0
6091,36,1,0,0,10217,Prefetch,false,0,0,0
6089,127,6,1,2,15596,BugEntity,false,0,1,0
6083,-1,2,0,0,14377,CoChange,false,0,0,0
6082,75,31,1,3,21584,CoChange,false,0,1,0
6081,83,31,1,3,21584,CoChange,false,0,1,0
6080,142,6,1,2,12579,CoChange,false,0,1,0
6074,78,46,1,3,19575,CoChange,false,0,1,0
6073,-1,3,0,0,5913,CoChange,false,0,0,0
6062,23,2,0,1,3237,BugEntity,false,0,0,0
6055,-1,15,4,1,42941,CoChange,false,0,4,0
6050,9,1,0,0,0,Prefetch,false,0,0,0
6049,-1,40,7,0,79062,CoChange,false,0,7,0
6048,111,41,10,3,79112,CoChange,false,0,10,0
6035,-1,39,2,1,88099,CoChange,false,0,2,0
6034,54,2,0,1,18820,BugEntity,false,0,0,0
6028,10,1,0,0,20632,Prefetch,false,0,0,0
6015,19,1,0,0,22811,Prefetch,false,0,0,0
6014,19,1,0,0,22811,Prefetch,false,0,0,0
6013,19,1,0,0,22811,Prefetch,false,0,0,0
6012,19,1,0,0,22811,Prefetch,false,0,0,0
6011,-1,6,0,0,11761,CoChange,false,0,0,0
6001,-1,40,15,2,105376,CoChange,false,0,12,3
5999,380,47,18,3,105507,CoChange,false,0,18,0
5998,691,45,18,5,105457,CoChange,false,0,17,1
5997,574,45,5,10,105340,CoChange,false,0,5,0
5996,106,42,2,3,105482,BugEntity,false,0,2,0
5995,497,42,15,10,105337,CoChange,false,0,13,2
5994,115,42,7,2,105287,CoChange,false,0,7,0
5989,18,1,0,0,8459,Prefetch,false,0,0,0
5986,291,6,0,5,21056,BugEntity,false,0,0,0
5972,160,2,0,1,666,BugEntity,false,0,0,0
5969,26,2,2,0,17584,CoChange,false,0,2,0
5967,126,69,1,6,45639,CoChange,false,0,1,0
5962,10,1,0,0,1437,Prefetch,false,0,0,0
5955,10,1,0,0,273,Prefetch,false,0,0,0
5954,10,1,0,0,273,Prefetch,false,0,0,0
5940,-1,13,0,2,37736,CoChange,false,0,0,0
5934,-1,15,2,2,23678,CoChange,false,0,2,0
5920,10,1,0,0,3977,Prefetch,false,0,0,0
5916,63,1,0,0,1624,Prefetch,false,0,0,0
5909,10,1,0,0,8490,Prefetch,false,0,0,0
5908,10,1,0,0,8490,Prefetch,false,0,0,0
5905,-1,61,5,1,169403,CoChange,false,0,5,0
5868,-1,4,0,0,30402,CoChange,false,0,0,0
5867,-1,4,0,0,30402,CoChange,false,0,0,0
5866,-1,4,0,0,30402,CoChange,false,0,0,0
5865,-1,4,0,0,30402,CoChange,false,0,0,0
5864,-1,4,0,0,30261,CoChange,false,0,0,0
5863,-1,4,0,0,30261,CoChange,false,0,0,0
5862,-1,4,0,0,30261,CoChange,false,0,0,0
5861,-1,4,0,0,30261,CoChange,false,0,0,0
5860,-1,4,0,0,30261,CoChange,false,0,0,0
5859,-1,4,0,0,30261,CoChange,false,0,0,0
5858,-1,4,0,0,29040,CoChange,false,0,0,0
5857,-1,4,0,0,29040,CoChange,false,0,0,0
5678,-1,11,1,0,33540,CoChange,false,0,1,0
5677,-1,10,0,0,34794,CoChange,false,0,0,0
5676,-1,10,0,0,34794,CoChange,false,0,0,0
5675,-1,11,1,0,33540,CoChange,false,0,1,0
5674,-1,10,0,0,34794,CoChange,false,0,0,0
5673,-1,11,1,0,33540,CoChange,false,0,1,0
5672,-1,10,0,0,34794,CoChange,false,0,0,0
5671,-1,10,0,0,28739,CoChange,false,0,0,0
5670,-1,11,1,0,24573,CoChange,false,0,1,0
5669,-1,11,1,0,27485,CoChange,false,0,1,0
5668,-1,11,1,0,24573,CoChange,false,0,1,0
5667,-1,10,0,0,28739,CoChange,false,0,0,0
5666,-1,11,1,0,27485,CoChange,false,0,1,0
5665,-1,10,0,0,28739,CoChange,false,0,0,0
5664,-1,10,0,0,28739,CoChange,false,0,0,0
5663,-1,10,0,0,28739,CoChange,false,0,0,0
5662,-1,11,1,0,27485,CoChange,false,0,1,0
5661,-1,10,0,0,28739,CoChange,false,0,0,0
5660,-1,11,1,0,27225,CoChange,false,0,1,0
5659,-1,10,0,0,28479,CoChange,false,0,0,0
5658,-1,10,0,0,28479,CoChange,false,0,0,0
5657,-1,10,0,0,28479,CoChange,false,0,0,0
5656,-1,10,0,0,28479,CoChange,false,0,0,0
5655,-1,10,0,0,25881,CoChange,false,0,0,0
5654,-1,10,0,0,25881,CoChange,false,0,0,0
5653,-1,10,0,0,25881,CoChange,false,0,0,0
5652,-1,10,0,0,25881,CoChange,false,0,0,0
5651,-1,11,1,0,24627,CoChange,false,0,1,0
5650,-1,10,0,0,25827,CoChange,false,0,0,0
5649,-1,10,0,0,25827,CoChange,false,0,0,0
5648,-1,10,0,0,25827,CoChange,false,0,0,0
5647,-1,10,0,0,25827,CoChange,false,0,0,0
5646,-1,10,0,0,25827,CoChange,false,0,0,0
5645,-1,10,0,0,25827,CoChange,false,0,0,0
5644,-1,10,0,0,25827,CoChange,false,0,0,0
5643,-1,10,0,0,25827,CoChange,false,0,0,0
5642,-1,10,0,0,25827,CoChange,false,0,0,0
5641,-1,10,0,0,25827,CoChange,false,0,0,0
5640,-1,10,0,0,25827,CoChange,false,0,0,0
5639,-1,10,0,0,25827,CoChange,false,0,0,0
5638,-1,10,0,0,25827,CoChange,false,0,0,0
5637,-1,10,0,0,25827,CoChange,false,0,0,0
5636,-1,10,0,0,25827,CoChange,false,0,0,0
5635,-1,10,0,0,25827,CoChange,false,0,0,0
5634,-1,10,0,0,24573,CoChange,false,0,0,0
5632,335,45,3,4,59582,CoChange,false,1,2,0
5631,53,35,3,2,47683,BugEntity,false,0,3,0
5630,96,35,1,6,46284,CoChange,false,0,1,0
5624,-1,19,0,2,60788,CoChange,false,0,0,0
5611,-1,7,0,2,20582,CoChange,false,0,0,0
5610,252,36,2,3,34704,CoChange,false,0,2,0
5607,-1,24,2,1,47025,CoChange,false,0,2,0
5606,219,80,1,4,70254,CoChange,false,0,1,0
5605,87,80,1,4,70254,CoChange,false,0,1,0
5604,50,80,3,2,70254,CoChange,false,0,3,0
5599,-1,23,2,1,57223,CoChange,false,0,2,0
5597,198,84,1,5,70656,CoChange,false,0,1,0
5596,48,84,5,1,73455,BugEntity,false,0,5,0
5595,86,82,1,4,73455,CoChange,false,0,1,0
5593,133,32,1,5,31733,CoChange,false,0,1,0
5583,14,1,0,0,4215,Prefetch,false,0,0,0
5582,9,1,0,0,4215,Prefetch,false,0,0,0
5575,9,1,0,0,16118,Prefetch,false,0,0,0
5574,9,1,0,0,16118,Prefetch,false,0,0,0
5566,-1,17,3,0,80828,CoChange,false,0,3,0
5564,-1,24,0,1,118342,CoChange,false,0,0,0
5544,321,35,1,7,96915,BugEntity,false,0,0,1
5541,-1,189,10,4,374425,CoChange,false,0,10,0
5524,-1,81,2,5,233736,CoChange,false,0,2,0
5517,-1,32,0,5,92037,CoChange,false,0,0,0
5508,9,1,0,0,15872,Prefetch,false,0,0,0
5501,-1,21,2,3,86401,CoChange,false,0,2,0
5500,73,34,2,4,74068,BugEntity,false,0,2,0
5495,-1,33,0,1,107373,CoChange,false,0,0,0
5494,85,2,2,0,1414,CoChange,false,0,2,0
5492,85,8,1,3,19922,CoChange,false,0,1,0
5489,-1,121,2,5,233363,CoChange,false,0,2,0
5488,85,83,1,5,81685,CoChange,false,0,1,0
5487,71,83,2,5,81685,CoChange,false,0,2,0
5483,52,6,0,1,11411,BugEntity,false,0,0,0
5482,58,79,1,5,71756,CoChange,false,0,1,0
5481,71,79,3,3,71756,CoChange,false,0,3,0
5478,71,4,0,1,12747,BugEntity,false,0,0,0
5477,110,79,2,5,73092,CoChange,false,1,1,0
5476,-1,157,6,5,300385,CoChange,false,0,6,0
5475,-1,31,0,0,116125,CoChange,false,0,0,0
5471,140,53,4,2,52288,CoChange,false,0,4,0
5470,100,53,3,4,52288,CoChange,false,0,3,0
5469,79,89,3,4,95223,CoChange,false,0,3,0
5460,-1,36,4,3,132109,CoChange,false,0,4,0
5444,-1,37,3,5,153132,CoChange,false,0,2,1
5441,79,70,2,4,49278,CoChange,false,0,2,0
5439,-1,139,4,2,162519,CoChange,false,0,4,0
5438,-1,139,1,5,149737,CoChange,false,0,1,0
5437,236,30,7,6,41003,CoChange,false,0,7,0
5436,85,30,6,3,41003,BugEntity,false,0,6,0
5435,656,30,9,6,41003,CoChange,false,0,0,9
5434,95,30,5,4,41003,CoChange,false,0,5,0
5426,-1,63,5,1,204843,CoChange,false,0,5,0
5424,-1,34,0,0,123703,CoChange,false,0,0,0
5423,-1,161,3,5,253927,CoChange,false,0,3,0
5422,-1,161,2,5,252998,CoChange,false,0,2,0
5415,-1,319,3,3,222722,CoChange,false,0,3,0
5397,-1,192,13,1,365547,CoChange,false,0,13,0
5396,-1,76,3,0,197860,CoChange,false,0,3,0
5395,-1,372,4,5,337862,CoChange,false,0,4,0
5393,-1,371,4,2,424866,CoChange,false,0,4,0
5392,189,96,4,4,199426,CoChange,false,0,4,0
5391,-1,69,12,8,218249,CoChange,false,4,6,2
5389,-1,12,0,0,56962,CoChange,false,0,0,0
5388,-1,12,0,0,56949,CoChange,false,0,0,0
5387,-1,12,0,0,56949,CoChange,false,0,0,0
5383,-1,12,0,0,56949,CoChange,false,0,0,0
5382,-1,12,1,0,56949,CoChange,false,0,1,0
5381,-1,12,0,0,56949,CoChange,false,0,0,0
5380,-1,12,0,0,56949,CoChange,false,0,0,0
5379,-1,12,0,0,56949,CoChange,false,0,0,0
5378,-1,12,0,0,52254,CoChange,false,0,0,0
5375,-1,12,0,0,107305,CoChange,false,0,0,0
5374,-1,12,0,0,86175,CoChange,false,0,0,0
5373,-1,12,0,0,75880,CoChange,false,0,0,0
5370,-1,12,0,0,75880,CoChange,false,0,0,0
5369,-1,12,0,1,75880,CoChange,false,0,0,0
5368,-1,12,0,0,75717,CoChange,false,0,0,0
5367,-1,12,1,0,75717,CoChange,false,0,1,0
5366,-1,12,0,0,75717,CoChange,false,0,0,0
5365,-1,12,0,0,75717,CoChange,false,0,0,0
5364,-1,12,0,0,75717,CoChange,false,0,0,0
5363,-1,12,0,1,75717,CoChange,false,0,0,0
5362,-1,12,0,0,75717,CoChange,false,0,0,0
5361,-1,12,0,0,75717,CoChange,false,0,0,0
5360,-1,12,0,0,75717,CoChange,false,0,0,0
5359,-1,12,0,0,75717,CoChange,false,0,0,0
5358,-1,12,0,0,75717,CoChange,false,0,0,0
5357,-1,12,0,0,75717,CoChange,false,0,0,0
5356,-1,12,0,0,75717,CoChange,false,0,0,0
5355,-1,12,0,0,75717,CoChange,false,0,0,0
5354,-1,12,0,0,75717,CoChange,false,0,0,0
5353,-1,12,0,0,75717,CoChange,false,0,0,0
5352,-1,12,0,0,75717,CoChange,false,0,0,0
5351,-1,12,0,0,75717,CoChange,false,0,0,0
5350,-1,12,0,0,74107,CoChange,false,0,0,0
5348,-1,12,0,0,74107,CoChange,false,0,0,0
5347,-1,12,0,0,72917,CoChange,false,0,0,0
5346,-1,12,0,0,72917,CoChange,false,0,0,0
5345,-1,12,0,0,72917,CoChange,false,0,0,0
5344,-1,12,0,0,72917,CoChange,false,0,0,0
5343,-1,12,0,0,72917,CoChange,false,0,0,0
5342,-1,12,0,0,72917,CoChange,false,0,0,0
5341,-1,12,0,0,72917,CoChange,false,0,0,0
5340,-1,12,0,0,72917,CoChange,false,0,0,0
5339,-1,12,0,0,72917,CoChange,false,0,0,0
5338,-1,12,0,0,72917,CoChange,false,0,0,0
5337,-1,12,1,0,72917,CoChange,false,0,1,0
5330,-1,476,6,2,669922,CoChange,false,0,6,0
5329,-1,477,3,6,667007,CoChange,false,0,3,0
5316,-1,225,17,5,500685,CoChange,false,3,14,0
5315,-1,84,5,0,222895,CoChange,false,1,4,0
5314,-1,219,16,1,500685,CoChange,false,1,15,0
5312,-1,480,8,1,703472,CoChange,false,2,6,0
5311,-1,497,14,2,754561,CoChange,false,5,8,1
5310,-1,480,6,4,701666,CoChange,false,3,3,0
5309,-1,480,9,2,694713,CoChange,false,4,5,0
5307,-1,494,9,3,734255,CoChange,false,0,9,0
5306,-1,458,3,5,536434,CoChange,false,0,3,0
5305,-1,476,5,2,643865,CoChange,false,0,5,0
5304,-1,470,4,3,580327,CoChange,false,0,4,0
5303,-1,473,6,2,599110,CoChange,false,0,6,0
5302,-1,475,3,5,609417,CoChange,false,0,3,0
5301,-1,475,4,3,613275,CoChange,false,0,4,0
5300,-1,64,4,0,310180,CoChange,false,0,4,0
5296,9,1,0,0,10872,Prefetch,false,0,0,0
5278,-1,92,15,5,309576,CoChange,false,0,13,2
5277,338,283,19,4,613079,CoChange,false,0,19,0
5276,126,264,11,5,510607,CoChange,false,0,11,0
5275,836,277,23,10,553348,CoChange,false,0,22,1
5274,536,282,28,5,608850,CoChange,false,0,28,0
5271,-1,199,12,1,444679,CoChange,false,0,12,0
5269,9,1,0,0,8367,Prefetch,false,0,0,0
5266,-1,457,7,1,600515,CoChange,false,0,7,0
5261,-1,467,4,5,639907,CoChange,false,0,4,0
5260,-1,456,3,3,618622,CoChange,false,0,3,0
5259,-1,52,1,0,158534,CoChange,false,0,1,0
5238,-1,457,1,5,545004,CoChange,false,0,1,0
5237,-1,457,4,2,539101,CoChange,false,0,4,0
5236,-1,457,4,2,537929,CoChange,false,0,4,0
5235,-1,457,2,4,532406,CoChange,false,0,2,0
5230,-1,4,0,1,32552,CoChange,false,0,0,0
5227,-1,463,4,2,646253,CoChange,false,0,4,0
5225,-1,463,4,3,555758,CoChange,false,0,4,0
5224,-1,462,4,2,555758,CoChange,false,0,4,0
5223,-1,464,2,6,555758,CoChange,false,0,2,0
5222,-1,464,5,4,555708,CoChange,false,0,5,0
5221,-1,464,3,5,551331,CoChange,false,0,3,0
5220,-1,461,5,1,550014,CoChange,false,0,5,0
5218,-1,461,2,4,542682,CoChange,false,0,2,0
5217,-1,461,1,5,542613,CoChange,false,0,1,0
5216,-1,461,3,3,608847,CoChange,false,0,3,0
5211,-1,50,1,0,127680,CoChange,false,0,1,0
5210,103,282,3,5,458113,CoChange,false,0,3,0
5207,62,272,5,1,482770,CoChange,false,0,5,0
5206,62,281,4,3,459247,CoChange,false,0,4,0
5205,99,293,4,5,514867,CoChange,false,0,4,0
5204,-1,30,0,0,177964,CoChange,false,0,0,0
5203,-1,26,0,0,182331,CoChange,false,0,0,0
5202,-1,62,0,1,222281,CoChange,false,0,0,0
5201,-1,465,2,5,612970,CoChange,false,0,2,0
5200,-1,465,5,2,612717,CoChange,false,0,5,0
5197,-1,31,0,0,171025,CoChange,false,0,0,0
5196,-1,64,1,0,225575,CoChange,false,0,1,0
5195,-1,65,1,0,225574,CoChange,false,0,1,0
5194,-1,466,5,1,616011,CoChange,false,0,5,0
5193,-1,468,4,6,615945,CoChange,false,0,4,0
5192,-1,468,2,5,615944,CoChange,false,0,2,0
5191,-1,17,0,0,103105,CoChange,false,0,0,0
5190,-1,452,1,5,505668,CoChange,false,0,1,0
5189,-1,469,2,5,513992,CoChange,false,1,1,0
5188,-1,469,3,3,513992,CoChange,false,0,3,0
