#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, cachesize: 280, blocksize: 280, prefetchsize: 28, cache replacement policy: LRU
Month,HitRate,NumCommits
3,100.0,46
6,100.0,56
9,100.0,138
12,100.0,197
15,100.0,311
18,100.0,368
21,100.0,417
24,100.0,423
27,100.0,448
30,100.0,483
33,100.0,491
36,100.0,496
39,100.0,502
42,100.0,515
45,100.0,538
48,99.91,596
51,99.86,646
54,99.4,733
57,98.97,864
60,98.59,961
63,98.25,1025
66,98.1,1071
69,96.92,1189
72,96.86,1261
75,96.46,1368
78,96.12,1494
81,96.04,1562
84,95.97,1625
87,95.89,1673
90,95.33,1820
93,95.32,1849
96,95.32,1876
99,95.11,1973
102,94.96,2054
105,94.95,2095
108,94.31,2168
111,94.29,2241
114,94.24,2287
117,94.22,2322
120,94.22,2359
123,92.93,2419
126,93.44,2612
129,93.35,2697
132,93.26,2739
135,91.0,2819
138,90.92,2913
141,90.74,3011
144,90.76,3114
147,90.73,3189
150,90.67,3271
153,88.29,3368
156,86.02,3436
159,85.97,3497
162,85.97,3549
165,85.93,3613
168,85.91,3656
171,85.7,3750
174,84.77,3880
177,84.7,3947
180,84.62,4010
183,82.98,4072
186,81.05,4098
189,81.04,4099
