#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, cachesize: 190, blocksize: 190, prefetchsize: 19, cache replacement policy: LRU
Month,HitRate,NumCommits
3,87.85,332
6,85.81,654
9,84.02,966
12,83.42,1090
15,82.99,1212
18,83.3,1564
21,83.28,2006
24,83.04,2144
27,82.93,2268
30,82.85,2366
33,82.76,2488
36,82.61,2612
39,82.49,2672
42,82.28,2762
45,82.23,2786
48,82.08,2900
51,81.89,2996
54,81.85,3064
57,81.65,3356
60,81.86,3609
63,81.96,3758
66,82.08,3955
69,82.15,4043
72,82.15,4215
75,82.26,4345
78,82.32,4449
81,82.43,4707
84,82.71,4979
87,82.78,5097
90,82.76,5255
93,82.81,5367
96,82.82,5464
99,82.93,5572
102,82.91,5702
105,82.92,5881
108,82.91,5938
111,82.99,6036
114,82.98,6152
117,82.97,6195
120,82.95,6338
123,83.04,6555
126,83.09,6811
129,82.44,6976
132,82.51,7140
135,82.54,7227
138,82.54,7289
141,82.55,7345
144,82.65,7404
147,82.64,7445
150,82.64,7458
153,82.63,7489
156,82.63,7509
159,82.63,7538
162,82.64,7559
165,82.64,7587
168,82.64,7592
