#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, cachesize: 1760, blocksize: 1760, prefetchsize: 176, cache replacement policy: LRU
Month,HitRate,NumCommits
3,100.0,487
6,100.0,662
9,100.0,865
12,100.0,1594
15,100.0,2247
18,100.0,2535
21,100.0,2828
24,99.94,3133
27,99.95,3465
30,99.95,3660
33,99.96,4344
36,99.51,5572
39,99.52,6063
42,99.54,6493
45,99.46,7139
48,99.32,7708
51,98.88,8545
54,97.29,9305
57,97.23,10452
60,97.1,11526
63,96.91,12709
66,96.73,13643
69,95.4,14533
72,95.36,15792
75,94.98,17822
78,94.84,19951
81,91.67,22715
84,91.73,25786
87,91.63,28591
90,91.57,30186
93,91.47,32374
96,91.51,33731
99,91.45,34880
102,91.49,35488
105,91.68,36237
108,91.66,36532
111,91.66,36533
