#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, cachesize: 1000, blocksize: 1000, prefetchsize: 100, cache replacement policy: LRU
Month,HitRate,NumCommits
3,98.46,431
6,98.88,735
9,97.61,1037
12,97.36,1398
15,97.19,1658
18,97.12,1947
21,97.07,2071
24,97.01,2185
27,96.45,2329
30,96.41,2388
33,96.41,2478
36,96.43,2574
39,96.38,2682
42,96.39,2758
45,96.35,2809
48,96.31,2824
51,96.25,2878
54,96.23,2927
57,96.21,2967
60,96.12,3038
63,96.02,3102
66,96.03,3164
69,95.98,3207
72,95.9,3262
75,95.9,3330
78,95.81,3379
81,95.69,3472
84,95.63,3600
87,95.53,3729
90,95.36,3833
93,95.34,3897
96,95.25,3997
99,95.15,4108
102,95.11,4194
105,95.1,4236
108,95.03,4279
111,95.23,4377
114,93.88,4456
117,93.72,4588
120,93.12,4837
123,92.99,4978
126,92.95,5011
