#number of hit, misses and time stayed in Cache for every file
#project: 1, cachesize: 1240, blocksize: 1240, prefetchsize: 124, cache replacement policy: LRU
file_id,loc,num_load,num_hits,num_misses,duration,reason,is_in_cache,Prefetch,CoChange,BugEntity
0,0,0,0,0,7550451,0,false,0,0,0
12286,-1,236,1,0,4780772,CoChange,true,0,1,0
12285,-1,230,2,0,4808279,CoChange,true,0,2,0
12283,6,1,0,0,81137,Prefetch,false,0,0,0
12280,6,1,0,0,81137,Prefetch,false,0,0,0
12249,-1,104,1,0,1219093,CoChange,false,0,1,0
12246,-1,103,54,0,5413882,CoChange,true,0,54,0
12245,-1,41,96,5,5506196,CoChange,true,20,71,5
12244,-1,136,48,0,5376929,CoChange,true,0,48,0
12242,-1,227,1,0,4944236,CoChange,true,0,1,0
12240,-1,43,28,0,5441505,CoChange,true,0,28,0
12238,-1,49,41,1,5486362,CoChange,true,0,34,7
12236,-1,217,4,0,5046084,CoChange,true,0,4,0
12234,-1,217,5,0,5008235,CoChange,true,0,5,0
12232,-1,228,2,0,5050199,CoChange,true,0,2,0
12231,-1,228,2,0,5050199,CoChange,true,0,2,0
12230,-1,217,5,0,4875174,CoChange,true,0,5,0
12229,-1,228,2,0,5046382,CoChange,true,0,2,0
12228,-1,228,2,0,5046382,CoChange,true,0,2,0
12227,-1,228,2,0,5042284,CoChange,true,0,2,0
12226,-1,219,3,0,5007573,CoChange,true,0,3,0
12225,-1,228,2,0,5042284,CoChange,true,0,2,0
12224,-1,228,2,0,5041754,CoChange,true,0,2,0
12223,-1,228,2,0,5024126,CoChange,true,0,2,0
12222,-1,228,2,0,5019061,CoChange,true,0,2,0
12221,-1,228,2,0,5019061,CoChange,true,0,2,0
12220,-1,228,2,0,5019061,CoChange,true,0,2,0
12219,-1,228,2,0,5019061,CoChange,true,0,2,0
12217,-1,218,7,0,4887821,CoChange,true,0,7,0
12216,-1,41,1,0,639546,CoChange,false,0,1,0
12211,-1,58,0,0,497566,CoChange,false,0,0,0
12210,-1,58,1,0,496536,CoChange,false,1,0,0
12208,-1,77,2,0,1018540,CoChange,false,0,2,0
12207,-1,55,32,0,5487661,CoChange,true,0,32,0
12206,-1,211,4,0,5027286,CoChange,true,0,4,0
12205,-1,186,1,0,3203562,CoChange,true,0,1,0
12203,-1,198,1,0,3278788,CoChange,true,0,1,0
12200,-1,217,2,0,5104691,CoChange,true,0,2,0
12199,-1,214,2,0,5031335,CoChange,true,0,2,0
12198,-1,208,5,0,5013383,CoChange,true,0,5,0
12197,-1,198,9,0,5039744,CoChange,true,0,9,0
12195,-1,175,1,0,2420623,CoChange,true,0,1,0
12194,-1,175,0,0,2420400,CoChange,true,0,0,0
12193,-1,132,27,0,5384992,CoChange,true,0,27,0
12190,-1,145,16,0,5403245,CoChange,true,0,16,0
12189,-1,206,0,0,2574349,CoChange,true,0,0,0
12187,-1,233,0,0,3932394,CoChange,true,0,0,0
12183,-1,232,0,0,3912329,CoChange,true,0,0,0
12182,-1,217,2,0,5010475,CoChange,true,0,2,0
12181,-1,206,0,0,2571757,CoChange,true,0,0,0
12173,-1,211,6,0,5109964,CoChange,true,0,6,0
