#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, cachesize: 1240, blocksize: 1240, prefetchsize: 124, cache replacement policy: LRU
Month,HitRate,NumCommits
3,100.0,86
6,100.0,168
9,100.0,225
12,100.0,246
15,100.0,247
18,100.0,255
21,100.0,277
24,100.0,357
27,100.0,378
30,100.0,398
33,100.0,427
36,100.0,482
39,100.0,590
42,100.0,982
45,99.98,1134
48,99.97,1417
51,99.77,1786
54,99.68,2354
57,99.53,3049
60,99.42,3309
63,99.11,3915
66,98.79,4294
69,98.56,4813
72,98.3,5338
75,98.21,5740
78,98.12,5920
81,97.81,6564
84,97.63,6831
87,97.48,6965
90,97.36,7072
93,97.15,7523
96,97.12,7761
99,96.91,8301
102,96.83,8633
105,96.76,8838
108,96.66,8990
111,96.63,9036
114,96.53,9316
117,96.49,9398
120,96.46,9448
123,96.44,9503
126,96.44,9505
129,96.44,9508
132,96.48,9701
135,96.49,9720
138,96.49,9733
141,96.49,9733
144,96.49,9741
147,96.49,9746
150,96.49,9746
153,96.49,9748
156,96.49,9749
159,96.49,9751
162,96.49,9751
165,96.48,9758
168,96.48,9805
171,96.49,9817
