#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, cachesize: 380, blocksize: 380, prefetchsize: 38, cache replacement policy: LRU
Month,HitRate,NumCommits
3,100.0,74
6,100.0,302
9,100.0,308
12,100.0,318
15,98.41,425
18,69.43,564
21,65.87,848
24,67.02,1027
27,68.27,1318
30,69.46,1567
33,69.63,1758
36,69.7,1907
39,69.89,2069
42,69.96,2167
45,70.41,2422
48,73.45,2828
51,73.94,3071
54,75.05,3570
57,77.04,3967
60,78.63,4611
63,79.38,5136
66,79.57,5603
69,79.94,6150
72,80.14,6796
75,80.03,7246
78,80.29,7889
81,81.93,8777
84,82.23,9408
87,82.47,9993
90,82.75,10745
93,83.05,11322
96,83.34,12062
99,83.6,12811
102,83.67,13656
105,83.67,14326
108,83.79,14853
111,83.7,15332
114,83.7,15829
117,83.8,16547
120,83.94,17197
123,84.01,17709
126,84.18,18305
129,84.13,18953
132,84.12,19537
135,84.09,19959
138,84.07,20155
