#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, cachesize: 390, blocksize: 390, prefetchsize: 39, cache replacement policy: LRU
Month,HitRate,NumCommits
3,100.0,2
6,100.0,2
9,100.0,2
12,100.0,2
15,100.0,2
18,100.0,2
21,100.0,2
24,100.0,2
27,100.0,2
30,100.0,2
33,100.0,2
36,100.0,2
39,100.0,2
42,100.0,2
45,100.0,2
48,100.0,2
51,100.0,2
54,100.0,2
57,100.0,2
60,100.0,2
63,100.0,2
66,100.0,2
69,100.0,2
72,100.0,2
75,100.0,2
78,100.0,2
81,100.0,2
84,100.0,2
87,100.0,2
90,100.0,2
93,100.0,2
96,95.1,43
99,97.27,244
102,98.06,487
105,97.76,673
108,97.89,1171
111,96.78,1387
114,96.63,1531
117,96.67,1719
120,96.44,1958
123,96.0,2198
126,96.1,2325
129,96.1,2442
132,96.01,2513
135,95.99,2556
138,95.93,2658
141,96.04,2814
144,95.95,2916
147,96.03,3090
150,96.02,3325
153,96.14,3490
156,96.11,3571
159,96.1,3684
162,96.02,3757
165,96.0,3924
168,95.96,3988
171,95.84,4135
174,95.84,4178
177,95.84,4249
180,95.85,4301
183,95.85,4304
