#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, cachesize: 1340, blocksize: 1340, prefetchsize: 134, cache replacement policy: LRU
Month,HitRate,NumCommits,NumFiles
3,100.0,121,69
6,100.0,385,147
9,100.0,634,292
12,99.51,1103,613
15,97.4,1481,888
18,97.27,2010,1188
21,96.02,2358,1676
24,97.57,3762,3132
27,96.74,5158,4199
30,96.63,5669,4768
33,96.69,5993,4857
36,96.84,6520,5148
39,96.9,7020,5215
42,97.03,7517,5260
45,97.06,8090,5376
48,97.42,8542,5478
51,97.32,8911,5535
54,97.34,9238,5571
57,97.37,9489,5611
60,97.44,10110,5683
63,97.48,10713,5723
66,97.5,10973,5786
69,97.51,11147,5805
72,97.52,11346,5817
75,97.54,11507,5824
78,97.55,11684,5830
81,97.65,12140,6139
84,97.67,12412,7389
87,97.67,12577,7395
90,97.64,12805,7463
93,97.55,13103,7607
96,97.55,13156,7615
99,97.53,13226,10147
102,97.54,13396,11403
105,97.54,13665,11417
108,97.55,13823,11425
111,97.56,13873,11436
114,97.56,13975,11440
117,97.57,14158,11451
120,97.55,14286,11460
123,97.54,14435,11468
126,97.53,14557,11478
129,97.53,14650,11481
132,97.52,14729,11486
135,97.52,14786,11488
138,97.52,14817,11488
141,97.52,14835,11489
144,97.52,14885,11490
147,97.52,14962,11494
150,97.52,15007,11517
153,97.53,15036,11522
156,97.53,15051,11526
159,97.53,15112,11540
162,97.53,15133,11540
165,97.53,15152,11549
168,97.53,15215,11551
171,97.56,15279,11558
174,97.6,15320,11559
177,97.6,15328,11559
180,97.6,15366,11559
183,97.6,15398,11559
186,97.6,15435,11561
189,97.6,15450,11561
192,97.6,15469,11561
195,97.6,15547,11568
198,97.6,15578,11569
