#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, cachesize: 11680, blocksize: 11680, prefetchsize: 1168, cache replacement policy: LRU
Month,HitRate,NumCommits,NumFiles
3,99.31,551,3156
6,99.38,1078,3228
9,99.46,1942,3345
12,99.57,2784,3664
15,99.42,3318,4724
18,99.3,4108,5003
21,99.34,5197,5731
24,99.38,5830,5810
27,99.42,6563,5916
30,99.48,7357,7095
33,99.53,8473,9432
36,99.54,9489,10290
39,99.48,10073,10945
42,99.44,11097,11585
45,99.46,11932,12512
48,99.45,12875,13650
51,99.29,13534,14218
54,99.26,14203,15137
57,99.22,15159,15959
60,99.14,15765,16430
63,99.13,16044,16543
66,99.11,16595,16773
69,99.08,17191,17081
72,98.93,17659,17717
75,98.86,18040,18002
78,98.79,18419,18353
81,98.78,18770,18580
84,98.81,19247,19980
87,98.79,19602,20072
90,98.77,19910,20171
93,98.77,20190,20268
96,98.74,20392,20415
99,98.66,20630,20680
102,98.55,20953,21116
105,98.45,21390,21435
108,98.4,21654,21625
111,98.38,21844,21854
114,98.36,21998,21955
117,98.29,22369,22283
120,98.28,22644,22458
123,98.28,22838,22841
126,98.26,22981,23048
129,98.25,23156,23168
132,98.24,23320,23402
135,98.22,23502,23606
138,98.21,23656,23756
141,98.2,24030,24096
144,98.21,24218,24179
147,98.21,24461,24267
150,98.23,24865,24609
153,98.25,25394,25127
156,98.24,25520,25201
159,98.19,25745,25471
162,98.17,25967,25679
165,98.16,26107,26248
168,98.15,26195,26344
171,98.12,26357,26513
174,98.11,26505,26648
177,98.11,26671,26870
180,98.11,26759,26930
