#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, cachesize: 280, blocksize: 280, prefetchsize: 28, cache replacement policy: LRU
Month,HitRate,NumCommits,NumFiles
3,100.0,46,115
6,100.0,56,123
9,100.0,138,165
12,100.0,197,185
15,100.0,311,255
18,100.0,368,283
21,100.0,417,294
24,100.0,423,299
27,100.0,448,319
30,100.0,483,332
33,100.0,491,333
36,100.0,496,350
39,100.0,502,351
42,100.0,515,355
45,100.0,538,393
48,99.91,596,464
51,99.86,646,503
54,99.4,733,514
57,98.97,864,537
60,98.59,961,576
63,98.25,1025,580
66,98.1,1071,584
69,96.92,1189,598
72,96.86,1261,618
75,96.46,1368,643
78,96.12,1494,795
81,96.04,1562,796
84,95.97,1625,806
87,95.88,1673,833
90,95.32,1820,897
93,95.31,1849,899
96,95.3,1876,911
99,95.1,1973,936
102,94.95,2054,941
105,94.94,2095,946
108,94.29,2168,1354
111,94.27,2241,1393
114,94.22,2287,1400
117,94.2,2322,1402
120,94.19,2359,1404
123,92.91,2419,1534
126,93.42,2612,1787
129,93.33,2697,1805
132,93.24,2739,1825
135,90.98,2819,1910
138,90.91,2913,2179
141,90.74,3011,2218
144,90.75,3114,2412
147,90.72,3189,2431
150,90.66,3271,2503
153,88.31,3368,2524
156,86.0,3436,2539
159,85.95,3497,2544
162,85.95,3549,2620
165,85.91,3613,2632
168,85.89,3656,2646
171,85.67,3750,2672
174,84.74,3880,2704
177,84.67,3947,2742
180,84.59,4010,2756
183,82.99,4072,2796
186,81.08,4098,2796
189,81.07,4099,2796
