#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, cachesize: 190, blocksize: 190, prefetchsize: 19, cache replacement policy: LRU
Month,HitRate,NumCommits,NumFiles
3,87.85,332,654
6,85.81,654,662
9,84.02,966,694
12,83.42,1090,704
15,82.99,1212,728
18,83.3,1564,780
21,83.28,2006,838
24,83.04,2144,868
27,82.93,2268,904
30,82.85,2366,906
33,82.76,2488,906
36,82.61,2612,938
39,82.49,2672,941
42,82.28,2762,988
45,82.23,2786,991
48,82.08,2900,1008
51,81.89,2996,1034
54,81.85,3064,1038
57,81.65,3356,1050
60,81.86,3609,1159
63,81.96,3758,1175
66,82.08,3955,1183
69,82.15,4043,1191
72,82.15,4215,1196
75,82.26,4345,1204
78,82.32,4449,1225
81,82.43,4707,1241
84,82.71,4979,1259
87,82.78,5097,1261
90,82.76,5255,1262
93,82.81,5367,1265
96,82.82,5464,1266
99,82.93,5572,1267
102,82.91,5702,1278
105,82.92,5881,1285
108,82.91,5938,1287
111,82.99,6036,1294
114,82.98,6152,1296
117,82.97,6195,1297
120,82.95,6338,1307
123,83.04,6555,1322
126,83.09,6811,1323
129,82.44,6976,1329
132,82.51,7140,1333
135,82.54,7227,1335
138,82.54,7289,1335
141,82.55,7345,1336
144,82.65,7404,1927
147,82.64,7445,1927
150,82.64,7458,1927
153,82.63,7489,1927
156,82.63,7509,1927
159,82.63,7538,1927
162,82.64,7559,1927
165,82.64,7587,1927
168,82.64,7592,1929
