#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, cachesize: 1760, blocksize: 1760, prefetchsize: 176, cache replacement policy: LRU
Month,HitRate,NumCommits,NumFiles
3,100.0,487,164
6,100.0,662,242
9,100.0,865,400
12,100.0,1594,1613
15,100.0,2247,1894
18,100.0,2535,2293
21,100.0,2828,2875
24,99.94,3133,2993
27,99.95,3465,3496
30,99.95,3660,3597
33,99.96,4344,4317
36,99.52,5572,4626
39,99.53,6063,4770
42,99.55,6493,5100
45,99.46,7139,5629
48,99.32,7708,8276
51,98.88,8545,8756
54,97.29,9305,9556
57,97.23,10452,9866
60,97.1,11526,10214
63,96.91,12709,10589
66,96.73,13643,10880
69,95.4,14533,11090
72,95.37,15792,11384
75,94.98,17822,11790
78,94.84,19951,12555
81,91.69,22715,15120
84,91.74,25786,15420
87,91.64,28591,15936
90,91.59,30186,16084
93,91.48,32374,16317
96,91.52,33731,16740
99,91.46,34880,16953
102,91.5,35488,16968
105,91.7,36237,17166
108,91.67,36532,17224
111,91.67,36533,17224
