#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, cachesize: 620, blocksize: 620, prefetchsize: 62, cache replacement policy: LRU
Month,HitRate,NumCommits,NumFiles
3,98.26,74,188
6,98.9,157,192
9,99.39,295,406
12,99.52,392,445
15,99.63,488,476
18,99.7,544,482
21,99.71,588,491
24,99.74,680,530
27,99.69,786,552
30,98.43,952,811
33,98.46,1057,824
36,96.01,1302,1020
39,95.88,1456,1111
42,95.77,1567,1158
45,95.85,1756,1231
48,95.81,1804,1240
51,96.03,1932,1291
54,96.2,2024,1393
57,96.37,2110,1525
60,96.52,2183,1630
63,95.39,2375,1812
66,95.67,2504,1900
69,95.54,2638,1998
72,95.77,2728,2055
75,95.67,2889,2096
78,95.47,3072,2182
81,95.47,3160,2228
84,95.58,3304,2334
87,95.47,3411,2422
90,95.21,3571,2508
93,94.81,3866,2757
96,94.73,4368,3159
99,94.04,5015,4675
102,93.86,5301,6165
