#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, cachesize: 1000, blocksize: 1000, prefetchsize: 100, cache replacement policy: LRU
Month,HitRate,NumCommits,NumFiles
3,98.46,431,2473
6,98.88,735,3175
9,97.58,1037,5495
12,97.33,1398,6037
15,97.16,1658,6084
18,97.09,1947,6145
21,97.05,2071,6200
24,96.99,2185,6207
27,96.48,2329,6225
30,96.44,2388,6247
33,96.44,2478,7547
36,96.46,2574,7620
39,96.41,2682,7683
42,96.41,2758,7839
45,96.38,2809,8129
48,96.34,2824,8646
51,96.28,2878,8675
54,96.26,2927,8685
57,96.24,2967,8687
60,96.14,3038,8702
63,96.05,3102,8707
66,96.06,3164,8775
69,96.0,3207,8780
72,95.93,3262,8791
75,95.92,3330,8807
78,95.84,3379,8822
81,95.71,3472,8833
84,95.66,3600,8860
87,95.55,3729,8872
90,95.38,3833,9204
93,95.36,3897,9224
96,95.28,3997,9229
99,95.18,4108,9245
102,95.13,4194,9259
105,95.12,4236,9266
108,95.06,4279,9269
111,95.25,4377,9839
114,93.89,4456,9858
117,93.74,4588,9887
120,93.14,4837,10009
123,93.01,4978,10021
126,92.98,5011,10025
