#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, cachesize: 380, blocksize: 380, prefetchsize: 38, cache replacement policy: LRU
Month,HitRate,NumCommits,NumFiles
3,100.0,74,57
6,100.0,302,77
9,100.0,308,80
12,100.0,318,80
15,98.41,425,976
18,69.43,564,1074
21,65.87,848,1278
24,67.02,1027,1284
27,68.27,1318,1297
30,69.46,1567,1314
33,69.63,1758,1317
36,69.7,1907,1327
39,69.89,2069,1333
42,69.96,2167,1336
45,70.41,2422,1428
48,73.45,2828,1477
51,73.94,3071,1598
54,75.05,3570,1634
57,77.03,3967,1685
60,78.62,4611,2237
63,79.37,5136,2272
66,79.56,5603,2309
69,79.94,6150,2338
72,80.14,6796,2376
75,80.03,7246,2399
78,80.29,7889,2424
81,81.94,8777,2599
84,82.24,9408,2658
87,82.47,9993,2781
90,82.76,10745,2832
93,83.06,11322,2936
96,83.35,12062,3091
99,83.61,12811,3176
102,83.68,13656,3305
105,83.68,14326,3354
108,83.8,14853,3374
111,83.71,15332,3479
114,83.71,15829,3527
117,83.81,16547,3583
120,83.95,17197,3608
123,84.01,17709,3647
126,84.18,18305,3748
129,84.13,18953,3782
132,84.13,19537,3810
135,84.09,19959,3830
138,84.08,20155,3835
