#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, cachesize: 390, blocksize: 390, prefetchsize: 39, cache replacement policy: LRU
Month,HitRate,NumCommits,NumFiles
3,100.0,2,231
6,100.0,2,231
9,100.0,2,231
12,100.0,2,231
15,100.0,2,231
18,100.0,2,231
21,100.0,2,231
24,100.0,2,231
27,100.0,2,231
30,100.0,2,231
33,100.0,2,231
36,100.0,2,231
39,100.0,2,231
42,100.0,2,231
45,100.0,2,231
48,100.0,2,231
51,100.0,2,231
54,100.0,2,231
57,100.0,2,231
60,100.0,2,231
63,100.0,2,231
66,100.0,2,231
69,100.0,2,231
72,100.0,2,231
75,100.0,2,231
78,100.0,2,231
81,100.0,2,231
84,100.0,2,231
87,100.0,2,231
90,100.0,2,231
93,100.0,2,231
96,95.1,43,245
99,97.27,244,332
102,98.06,487,485
105,97.76,673,614
108,97.89,1171,752
111,96.83,1387,864
114,96.67,1531,1150
117,96.7,1719,1235
120,96.47,1958,1335
123,96.02,2198,1483
126,96.13,2325,1519
129,96.13,2442,1568
132,96.03,2513,1625
135,96.01,2556,1649
138,95.95,2658,1779
141,96.06,2814,2062
144,95.97,2916,2228
147,96.05,3090,2424
150,96.04,3325,2708
153,96.16,3490,2827
156,96.13,3571,2877
159,96.12,3684,2938
162,96.03,3757,3020
165,96.02,3924,3210
168,95.98,3988,3297
171,95.86,4135,3572
174,95.86,4178,3638
177,95.86,4249,3692
180,95.87,4301,3752
183,95.87,4304,3755
