#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, total_files: 13440, total_files_alive: 3391, cacheTableSize: 0, cachesize: 340, blocksize: 340, prefetchsize: 34, cache replacement policy: LRU
Month,HitRate,NumCommits,NumFiles
3,99.36,121,69
6,99.83,385,147
9,99.89,634,292
12,98.49,1103,613
15,96.09,1481,888
18,95.34,2010,1188
21,91.5,2358,1676
24,88.47,3762,3132
27,88.92,5158,4199
30,89.12,5669,4768
33,89.29,5993,4857
36,86.77,6520,5148
39,86.72,7020,5215
42,86.79,7517,5260
45,86.8,8090,5376
48,79.66,8542,5478
51,77.68,8911,5535
54,77.72,9238,5571
57,77.78,9489,5611
60,77.91,10110,5683
63,78.03,10713,5723
66,78.04,10973,5786
69,78.02,11147,5805
72,77.99,11346,5817
75,78.0,11507,5824
78,78.01,11684,5830
81,77.41,12140,6139
84,77.43,12412,7389
87,77.37,12577,7395
90,77.33,12805,7463
93,77.29,13103,7607
96,77.29,13156,7615
99,77.29,13226,10147
102,77.28,13396,11403
105,77.3,13665,11417
108,77.35,13823,11425
111,77.36,13873,11436
114,77.38,13975,11440
117,77.36,14158,11451
120,77.34,14286,11460
123,77.35,14435,11468
126,77.33,14557,11478
129,77.31,14650,11481
132,77.32,14729,11486
135,77.3,14786,11488
138,77.3,14817,11488
141,77.3,14835,11489
144,77.29,14885,11490
147,77.29,14962,11494
150,77.31,15007,11517
153,77.36,15036,11522
156,77.35,15051,11526
159,77.35,15112,11540
162,77.35,15133,11540
165,77.35,15152,11549
168,77.35,15215,11551
171,77.42,15279,11558
174,77.43,15320,11559
177,77.42,15328,11559
180,77.41,15366,11559
183,77.47,15398,11559
186,77.47,15435,11561
189,77.47,15450,11561
192,77.47,15469,11561
195,77.46,15547,11568
198,77.45,15578,11569
