#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, total_files: 116820, total_files_alive: 2575, cacheTableSize: 0, cachesize: 260, blocksize: 260, prefetchsize: 26, cache replacement policy: LRU
Month,HitRate,NumCommits,NumFiles
3,47.88,551,3156
6,53.99,1078,3228
9,58.58,1942,3345
12,62.56,2784,3664
15,63.75,3318,4724
18,65.47,4108,5003
21,65.34,5197,5731
24,66.63,5830,5810
27,67.45,6563,5916
30,69.06,7357,7095
33,68.59,8473,9432
36,70.08,9489,10290
39,70.46,10073,10945
42,71.48,11097,11585
45,70.81,11932,12512
48,71.01,12875,13650
51,71.4,13534,14218
54,71.77,14203,15137
57,72.2,15159,15959
60,72.11,15765,16430
63,72.17,16044,16543
66,72.34,16595,16773
69,72.4,17191,17081
72,72.57,17659,17717
75,72.69,18040,18002
78,72.84,18419,18353
81,73.04,18770,18580
84,72.32,19247,19980
87,72.39,19602,20072
90,72.44,19910,20171
93,71.95,20190,20268
96,72.07,20392,20415
99,72.12,20630,20680
102,72.26,20953,21116
105,72.45,21390,21435
108,72.51,21654,21625
111,72.62,21844,21854
114,72.71,21998,21955
117,72.89,22369,22283
120,73.03,22644,22458
123,73.12,22838,22841
126,73.19,22981,23048
129,73.37,23156,23168
132,73.5,23320,23402
135,73.61,23502,23606
138,73.72,23656,23756
141,74.02,24030,24096
144,74.15,24218,24179
147,74.35,24461,24267
150,74.64,24865,24609
153,74.75,25394,25127
156,74.77,25520,25201
159,74.84,25745,25471
162,74.99,25967,25679
165,75.06,26107,26248
168,75.09,26195,26344
171,75.13,26357,26513
174,75.19,26505,26648
177,75.27,26671,26870
180,75.28,26759,26930
