#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, total_files: 2807, total_files_alive: 1418, cacheTableSize: 0, cachesize: 140, blocksize: 140, prefetchsize: 14, cache replacement policy: LRU
Month,HitRate,NumCommits,NumFiles
3,97.66,46,115
6,98.57,56,123
9,99.58,138,165
12,99.66,197,185
15,96.36,311,255
18,96.31,368,283
21,96.05,417,294
24,95.98,423,299
27,95.99,448,319
30,95.74,483,332
33,95.7,491,333
36,95.61,496,350
39,95.65,502,351
42,95.64,515,355
45,95.57,538,393
48,95.06,596,464
51,94.94,646,503
54,94.35,733,514
57,93.8,864,537
60,93.39,961,576
63,92.87,1025,580
66,92.68,1071,584
69,90.15,1189,598
72,89.9,1261,618
75,89.46,1368,643
78,88.1,1494,795
81,87.98,1562,796
84,87.91,1625,806
87,87.4,1673,833
90,85.72,1820,897
93,85.76,1849,899
96,85.73,1876,911
99,85.59,1973,936
102,85.46,2054,941
105,85.23,2095,946
108,83.79,2168,1354
111,83.62,2241,1393
114,83.57,2287,1400
117,83.56,2322,1402
120,83.6,2359,1404
123,81.89,2419,1534
126,82.71,2612,1787
129,82.61,2697,1805
132,82.48,2739,1825
135,79.82,2819,1910
138,79.62,2913,2179
141,79.51,3011,2218
144,79.63,3114,2412
147,79.64,3189,2431
150,79.67,3271,2503
153,77.18,3368,2524
156,74.65,3436,2539
159,74.65,3497,2544
162,74.71,3549,2620
165,74.78,3613,2632
168,74.8,3656,2646
171,74.4,3750,2672
174,72.82,3880,2704
177,72.83,3947,2742
180,72.81,4010,2756
183,70.92,4072,2796
186,68.75,4098,2796
189,68.75,4099,2796
