#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, total_files: 1929, total_files_alive: 1068, cacheTableSize: 0, cachesize: 110, blocksize: 110, prefetchsize: 11, cache replacement policy: LRU
Month,HitRate,NumCommits,NumFiles
3,85.8,332,654
6,83.5,654,662
9,81.22,966,694
12,80.68,1090,704
15,79.95,1212,728
18,79.39,1564,780
21,79.24,2006,838
24,78.95,2144,868
27,78.88,2268,904
30,78.72,2366,906
33,78.45,2488,906
36,78.33,2612,938
39,78.27,2672,941
42,78.07,2762,988
45,78.04,2786,991
48,77.89,2900,1008
51,77.71,2996,1034
54,77.6,3064,1038
57,77.33,3356,1050
60,77.48,3609,1159
63,77.5,3758,1175
66,77.54,3955,1183
69,77.6,4043,1191
72,77.55,4215,1196
75,77.56,4345,1204
78,77.59,4449,1225
81,77.61,4707,1241
84,77.84,4979,1259
87,77.9,5097,1261
90,77.85,5255,1262
93,77.88,5367,1265
96,77.88,5464,1266
99,77.95,5572,1267
102,77.86,5702,1278
105,77.85,5881,1285
108,77.81,5938,1287
111,77.83,6036,1294
114,77.81,6152,1296
117,77.79,6195,1297
120,77.77,6338,1307
123,77.8,6555,1322
126,77.82,6811,1323
129,76.85,6976,1329
132,76.93,7140,1333
135,76.96,7227,1335
138,76.94,7289,1335
141,76.94,7345,1336
144,77.08,7404,1927
147,77.04,7445,1927
150,77.03,7458,1927
153,77.02,7489,1927
156,77.01,7509,1927
159,76.99,7538,1927
162,76.98,7559,1927
165,76.99,7587,1927
168,77.0,7592,1929
