#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, total_files: 17597, total_files_alive: 3077, cacheTableSize: 0, cachesize: 310, blocksize: 310, prefetchsize: 31, cache replacement policy: LRU
Month,HitRate,NumCommits,NumFiles
3,100.0,487,164
6,100.0,662,242
9,100.0,865,400
12,97.18,1594,1613
15,96.7,2247,1894
18,91.23,2535,2293
21,91.82,2828,2875
24,91.21,3133,2993
27,92.01,3465,3496
30,92.1,3660,3597
33,90.2,4344,4317
36,85.16,5572,4626
39,85.74,6063,4770
42,83.27,6493,5100
45,83.77,7139,5629
48,79.94,7708,8276
51,81.14,8545,8756
54,77.34,9305,9556
57,77.99,10452,9866
60,78.19,11526,10214
63,78.2,12709,10589
66,78.48,13643,10880
69,75.14,14533,11090
72,75.28,15792,11384
75,75.3,17822,11790
78,75.67,19951,12555
81,70.87,22715,15120
84,71.03,25786,15420
87,71.63,28591,15936
90,71.9,30186,16084
93,72.13,32374,16317
96,72.12,33731,16740
99,72.28,34880,16953
102,72.38,35488,16968
105,72.41,36237,17166
108,72.42,36532,17224
111,72.42,36533,17224
