#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, total_files: 10041, total_files_alive: 3926, cacheTableSize: 0, cachesize: 390, blocksize: 390, prefetchsize: 39, cache replacement policy: LRU
Month,HitRate,NumCommits,NumFiles
3,71.97,431,2473
6,73.32,735,3175
9,73.71,1037,5495
12,74.75,1398,6037
15,73.82,1658,6084
18,73.25,1947,6145
21,74.06,2071,6200
24,74.1,2185,6207
27,73.01,2329,6225
30,73.09,2388,6247
33,73.19,2478,7547
36,73.35,2574,7620
39,73.46,2682,7683
42,73.47,2758,7839
45,73.44,2809,8129
48,73.41,2824,8646
51,73.38,2878,8675
54,73.38,2927,8685
57,73.37,2967,8687
60,73.53,3038,8702
63,73.6,3102,8707
66,73.81,3164,8775
69,73.79,3207,8780
72,73.9,3262,8791
75,74.17,3330,8807
78,74.17,3379,8822
81,74.29,3472,8833
84,74.62,3600,8860
87,74.65,3729,8872
90,74.58,3833,9204
93,74.71,3897,9224
96,74.67,3997,9229
99,74.69,4108,9245
102,74.37,4194,9259
105,74.38,4236,9266
108,74.35,4279,9269
111,75.04,4377,9839
114,72.54,4456,9858
117,72.48,4588,9887
120,71.26,4837,10009
123,71.21,4978,10021
126,71.18,5011,10025
