#number of hit, misses and time stayed in Cache for every file
#project: 1, total_files: 12423, total_files_alive: 6797, cacheTableSize: 6908, cachesize: 680, blocksize: 680, prefetchsize: 68, cache replacement policy: LRU
file_id,loc,num_load,num_hits,num_misses,duration,reason,is_in_cache,Prefetch,CoChange,BugEntity
0,0,0,0,0,7550451,0,false,0,0,0
12286,-1,424,1,0,1667245,CoChange,true,0,1,0
12285,-1,478,2,0,1820447,CoChange,true,0,2,0
12283,6,1,0,0,14436,Prefetch,false,0,0,0
12280,6,1,0,0,14436,Prefetch,false,0,0,0
12249,-1,89,1,0,220463,CoChange,false,0,1,0
12246,-1,594,52,2,4044989,CoChange,true,0,51,1
12245,-1,497,71,30,5284452,CoChange,true,0,67,4
12244,-1,608,46,2,4746827,CoChange,true,0,46,0
12242,-1,600,1,0,2733953,CoChange,true,0,1,0
12240,-1,470,27,1,5306213,CoChange,true,0,27,0
12238,-1,554,39,3,5277909,CoChange,true,0,39,0
12236,-1,669,4,0,2739867,CoChange,true,0,4,0
12234,-1,649,5,0,2650386,CoChange,true,0,5,0
12232,-1,648,2,0,2663130,CoChange,true,0,2,0
12231,-1,648,2,0,2661510,CoChange,true,0,2,0
12230,-1,660,5,0,2643127,CoChange,true,0,5,0
12229,-1,648,2,0,2657243,CoChange,true,0,2,0
12228,-1,648,2,0,2656787,CoChange,true,0,2,0
12227,-1,648,2,0,2656112,CoChange,true,0,2,0
12226,-1,672,3,0,2673685,CoChange,true,0,3,0
12225,-1,649,2,0,2640315,CoChange,true,0,2,0
12224,-1,650,2,0,2641136,CoChange,true,0,2,0
12223,-1,651,2,0,2642050,CoChange,true,0,2,0
12222,-1,651,2,0,2637907,CoChange,true,0,2,0
12221,-1,652,2,0,2636108,CoChange,true,0,2,0
12220,-1,654,2,0,2637813,CoChange,true,0,2,0
12219,-1,654,2,0,2638122,CoChange,true,0,2,0
12217,-1,655,7,0,2639039,CoChange,true,0,7,0
12216,-1,49,1,0,154395,CoChange,false,0,1,0
12211,-1,39,0,0,157195,CoChange,false,0,0,0
12210,-1,51,1,0,177148,CoChange,false,0,1,0
12208,-1,79,1,1,301021,CoChange,false,0,1,0
12207,-1,553,32,0,5128059,CoChange,true,0,32,0
12206,-1,670,4,0,2784425,CoChange,true,0,4,0
12205,-1,256,1,0,633005,CoChange,true,0,1,0
12203,-1,240,1,0,583029,CoChange,true,0,1,0
12200,-1,660,2,0,3090595,CoChange,true,0,2,0
12199,-1,679,2,0,2828882,CoChange,true,0,2,0
12198,-1,669,5,0,2803220,CoChange,true,0,5,0
12197,-1,663,9,0,3337080,CoChange,true,0,9,0
12195,-1,127,0,1,346475,CoChange,false,0,0,0
12194,-1,130,0,0,345450,CoChange,false,0,0,0
12193,-1,630,27,0,3691302,CoChange,true,0,27,0
12190,-1,618,16,0,3867175,CoChange,true,0,16,0
12189,-1,180,0,0,540143,CoChange,true,0,0,0
12187,-1,308,0,0,866748,CoChange,true,0,0,0
12183,-1,295,0,0,805472,CoChange,true,0,0,0
12182,-1,668,2,0,2689978,CoChange,true,0,2,0
12181,-1,182,0,0,537048,CoChange,true,0,0,0
12173,-1,631,6,0,3029686,CoChange,true,0,6,0
12172,-1,214,0,0,571401,CoChange,false,0,0,0
12171,-1,624,6,0,2990480,CoChange,true,0,6,0
12168,-1,620,13,0,4768153,CoChange,true,0,13,0
12167,-1,616,13,0,4564179,CoChange,true,0,13,0
12166,-1,227,4,0,583733,CoChange,false,0,4,0
12165,-1,661,12,0,3854128,CoChange,true,0,12,0
12164,-1,671,13,0,3903806,CoChange,true,0,13,0
12163,-1,656,11,0,3434666,CoChange,true,0,11,0
12162,-1,670,7,0,2695512,CoChange,true,0,7,0
12161,-1,680,2,0,3049445,CoChange,true,0,2,0
12160,-1,632,11,0,3313937,CoChange,true,0,11,0
12158,-1,619,33,5,5205837,CoChange,true,0,33,0
12157,-1,651,14,1,3448992,CoChange,true,0,14,0
12156,-1,620,38,1,4063783,CoChange,true,0,38,0
12155,-1,654,27,5,4757363,CoChange,true,0,26,1
12153,-1,689,7,0,3028657,CoChange,true,0,7,0
12152,-1,671,7,0,2886722,CoChange,true,0,7,0
12150,-1,646,22,1,3487695,CoChange,true,0,22,0
12148,-1,499,63,10,5423930,CoChange,true,0,62,1
12146,-1,664,9,0,2848386,CoChange,true,0,9,0
12145,-1,649,11,0,3638620,CoChange,true,0,11,0
12143,-1,656,24,5,3699437,CoChange,true,0,24,0
12142,-1,635,26,2,3790138,CoChange,true,0,26,0
