#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, total_files: 12423, total_files_alive: 6797, cacheTableSize: 0, cachesize: 680, blocksize: 680, prefetchsize: 68, cache replacement policy: LRU
Month,HitRate,NumCommits,NumFiles
3,100.0,86,108
6,100.0,168,134
9,100.0,225,141
12,100.0,246,147
15,100.0,247,147
18,100.0,255,147
21,100.0,277,166
24,100.0,357,214
27,100.0,378,235
30,100.0,398,237
33,100.0,427,250
36,100.0,482,259
39,100.0,590,604
42,99.94,982,1282
45,99.73,1134,1756
48,98.98,1417,2314
51,98.05,1786,2768
54,97.55,2354,2940
57,96.44,3049,3580
60,96.17,3309,3713
63,95.42,3915,3959
66,94.98,4294,4129
69,94.52,4813,4916
72,94.24,5338,6586
75,94.35,5740,6841
78,94.18,5920,6893
81,93.76,6564,7037
84,93.54,6831,7112
87,93.35,6965,7163
90,93.22,7072,7276
93,92.87,7523,7407
96,92.79,7761,7452
99,92.49,8301,7966
102,92.32,8633,8137
105,92.2,8838,8223
108,92.08,8990,8237
111,92.05,9036,8243
114,91.93,9316,8568
117,91.89,9398,8602
120,91.85,9448,8658
123,91.82,9503,8678
126,91.82,9505,8678
129,91.82,9508,8680
132,91.89,9701,8907
135,91.9,9720,8913
138,91.9,9733,8913
141,91.9,9733,8913
144,91.9,9741,12394
147,91.89,9746,12395
150,91.89,9746,12395
153,91.89,9748,12395
156,91.89,9749,12395
159,91.89,9751,12395
162,91.89,9751,12395
165,91.89,9758,12395
168,91.89,9805,12407
171,91.88,9817,12411
