#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, total_files: 3841, total_files_alive: 2374, cacheTableSize: 0, cachesize: 240, blocksize: 240, prefetchsize: 24, cache replacement policy: LRU
Month,HitRate,NumCommits,NumFiles
3,100.0,74,57
6,100.0,302,77
9,100.0,308,80
12,100.0,318,80
15,97.19,425,976
18,63.96,564,1074
21,56.56,848,1278
24,57.9,1027,1284
27,59.38,1318,1297
30,60.87,1567,1314
33,61.06,1758,1317
36,61.15,1907,1327
39,61.43,2069,1333
42,61.61,2167,1336
45,62.24,2422,1428
48,66.05,2828,1477
51,66.73,3071,1598
54,68.3,3570,1634
57,70.53,3967,1685
60,72.11,4611,2237
63,72.74,5136,2272
66,73.12,5603,2309
69,73.45,6150,2338
72,73.83,6796,2376
75,73.73,7246,2399
78,74.14,7889,2424
81,76.24,8777,2599
84,76.65,9408,2658
87,77.02,9993,2781
90,77.41,10745,2832
93,77.85,11322,2936
96,78.31,12062,3091
99,78.69,12811,3176
102,78.79,13656,3305
105,78.85,14326,3354
108,79.01,14853,3374
111,78.97,15332,3479
114,79.03,15829,3527
117,79.2,16547,3583
120,79.42,17197,3608
123,79.52,17709,3647
126,79.77,18305,3748
129,79.73,18953,3782
132,79.76,19537,3810
135,79.75,19959,3830
138,79.73,20155,3835
