#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, total_files: 13440, total_files_alive: 3391, cacheTableSize: 0, cachesize: 680, blocksize: 680, prefetchsize: 170, cache replacement policy: LRU
Month,HitRate,NumCommits,NumFiles
3,100.0,121,69
6,100.0,385,147
9,100.0,634,292
12,99.51,1103,613
15,97.15,1481,888
18,96.57,2010,1188
21,95.24,2358,1676
24,94.68,3762,3132
27,94.28,5158,4199
30,94.45,5669,4768
33,94.53,5993,4857
36,93.43,6520,5148
39,93.47,7020,5215
42,93.68,7517,5260
45,93.73,8090,5376
48,91.26,8542,5478
51,90.41,8911,5535
54,90.45,9238,5571
57,90.49,9489,5611
60,90.57,10110,5683
63,90.63,10713,5723
66,90.63,10973,5786
69,90.62,11147,5805
72,90.61,11346,5817
75,90.62,11507,5824
78,90.63,11684,5830
81,90.59,12140,6139
84,90.59,12412,7389
87,90.56,12577,7395
90,90.49,12805,7463
93,90.4,13103,7607
96,90.39,13156,7615
99,90.37,13226,10147
102,90.35,13396,11403
105,90.34,13665,11417
108,90.34,13823,11425
111,90.34,13873,11436
114,90.34,13975,11440
117,90.32,14158,11451
120,90.3,14286,11460
123,90.27,14435,11468
126,90.25,14557,11478
129,90.24,14650,11481
132,90.24,14729,11486
135,90.22,14786,11488
138,90.22,14817,11488
141,90.22,14835,11489
144,90.2,14885,11490
147,90.19,14962,11494
150,90.21,15007,11517
153,90.24,15036,11522
156,90.24,15051,11526
159,90.23,15112,11540
162,90.23,15133,11540
165,90.23,15152,11549
168,90.22,15215,11551
171,90.3,15279,11558
174,90.38,15320,11559
177,90.38,15328,11559
180,90.37,15366,11559
183,90.39,15398,11559
186,90.39,15435,11561
189,90.39,15450,11561
192,90.39,15469,11561
195,90.39,15547,11568
198,90.38,15578,11569
