#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, total_files: 90252, total_files_alive: 76205, cacheTableSize: 0, cachesize: 15240, blocksize: 15240, prefetchsize: 3810, cache replacement policy: LRU
Month,HitRate,NumCommits,NumFiles
3,100.0,558,750
6,100.0,1026,1202
9,100.0,1200,1320
12,100.0,1584,1544
15,100.0,2139,1796
18,100.0,2680,2104
21,100.0,3488,2552
24,100.0,4396,4561
27,99.98,5320,5164
30,99.99,6014,5850
33,99.99,6724,6347
36,99.98,7402,6955
39,99.97,8156,7453
42,99.97,8769,7873
45,99.97,9335,14643
48,99.97,9888,21951
51,99.97,10631,29926
54,99.98,11555,30452
57,99.64,12602,62738
60,99.65,13628,63360
63,99.63,14475,63773
66,99.42,15541,64586
69,99.24,16595,65327
72,99.17,17467,75762
75,98.98,18440,76867
78,98.62,19744,78284
81,98.24,20712,79279
84,98.0,21602,80255
87,97.92,22381,80969
90,97.71,23413,82654
93,97.67,24800,83667
96,97.61,26205,84929
99,97.55,27367,85608
102,97.51,28457,86336
105,97.39,29935,87447
108,97.32,31524,88433
111,97.26,32917,89952
114,97.26,32922,89958
