#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, total_files: 1929, total_files_alive: 1068, cacheTableSize: 0, cachesize: 220, blocksize: 220, prefetchsize: 55, cache replacement policy: LRU
Month,HitRate,NumCommits,NumFiles
3,88.25,332,654
6,86.4,654,662
9,84.74,966,694
12,84.16,1090,704
15,83.71,1212,728
18,84.07,1564,780
21,84.01,2006,838
24,83.76,2144,868
27,83.64,2268,904
30,83.55,2366,906
33,83.47,2488,906
36,83.35,2612,938
39,83.22,2672,941
42,83.02,2762,988
45,82.96,2786,991
48,82.83,2900,1008
51,82.65,2996,1034
54,82.58,3064,1038
57,82.42,3356,1050
60,82.66,3609,1159
63,82.76,3758,1175
66,82.89,3955,1183
69,83.0,4043,1191
72,83.02,4215,1196
75,83.15,4345,1204
78,83.23,4449,1225
81,83.36,4707,1241
84,83.67,4979,1259
87,83.74,5097,1261
90,83.74,5255,1262
93,83.79,5367,1265
96,83.81,5464,1266
99,83.93,5572,1267
102,83.94,5702,1278
105,83.96,5881,1285
108,83.96,5938,1287
111,84.03,6036,1294
114,84.02,6152,1296
117,84.02,6195,1297
120,84.04,6338,1307
123,84.12,6555,1322
126,84.2,6811,1323
129,83.69,6976,1329
132,83.76,7140,1333
135,83.78,7227,1335
138,83.77,7289,1335
141,83.79,7345,1336
144,83.89,7404,1927
147,83.89,7445,1927
150,83.89,7458,1927
153,83.89,7489,1927
156,83.89,7509,1927
159,83.9,7538,1927
162,83.9,7559,1927
165,83.91,7587,1927
168,83.91,7592,1929
