#number of hit, misses and time stayed in Cache for every file
#project: 1, total_files: 3874, total_files_alive: 1373, cacheTableSize: 3795, cachesize: 280, blocksize: 280, prefetchsize: 70, cache replacement policy: LRU
file_id,loc,num_load,num_hits,num_misses,duration,reason,is_in_cache,HitPrefetch,HitCoChange,HitChangeEntity,HitNewEntity,LoadPrefetch,LoadCoChange,LoadChangeEntity,LoadNewEntity
0,0,0,0,0,7976232,0,false,0,0,0,0,0,0,0,0
6142,-1,1,5,0,24388,CoChange,false,0,5,0,0,0,1,0,0
6139,-1,1,2,1,24388,BugEntity,false,0,0,2,0,0,0,1,0
6136,-1,1,3,0,24388,CoChange,false,0,3,0,0,0,1,0,0
6135,-1,1,3,0,24388,CoChange,false,0,3,0,0,0,1,0,0
6133,-1,1,3,0,24388,CoChange,false,0,3,0,0,0,1,0,0
6130,-1,1,3,0,24388,CoChange,false,0,3,0,0,0,1,0,0
6123,-1,1,3,0,24388,CoChange,false,0,3,0,0,0,1,0,0
6116,-1,1,11,1,27078,BugEntity,false,0,0,11,0,0,0,1,0
6109,121,1,2,0,18911,CoChange,false,0,2,0,0,0,1,0,0
6108,202,1,1,1,18911,BugEntity,false,0,0,1,0,0,0,1,0
6107,78,1,2,0,18911,CoChange,false,0,2,0,0,0,1,0,0
6106,108,1,2,0,18959,CoChange,false,0,2,0,0,0,1,0,0
6105,79,1,2,0,18959,CoChange,false,0,2,0,0,0,1,0,0
6104,67,1,2,0,18959,CoChange,false,0,2,0,0,0,1,0,0
6103,-1,1,2,0,19006,CoChange,false,0,2,0,0,0,1,0,0
6102,-1,1,2,0,19006,CoChange,false,0,2,0,0,0,1,0,0
6101,-1,1,2,0,19006,CoChange,false,0,2,0,0,0,1,0,0
6100,-1,1,2,0,19006,CoChange,false,0,2,0,0,0,1,0,0
6099,92,1,4,0,19006,CoChange,false,0,4,0,0,0,1,0,0
6098,-1,1,2,0,19006,CoChange,false,0,2,0,0,0,1,0,0
6097,79,1,4,0,19006,CoChange,false,0,4,0,0,0,1,0,0
6096,-1,1,2,0,19006,CoChange,false,0,2,0,0,0,1,0,0
6095,-1,1,2,0,19006,CoChange,false,0,2,0,0,0,1,0,0
6094,-1,1,2,0,19006,CoChange,false,0,2,0,0,0,1,0,0
6093,-1,1,2,0,19006,CoChange,false,0,2,0,0,0,1,0,0
6092,74,1,4,0,19006,CoChange,false,0,4,0,0,0,1,0,0
6091,-1,1,2,0,19006,CoChange,false,0,2,0,0,0,1,0,0
6090,-1,1,2,0,19006,CoChange,false,0,2,0,0,0,1,0,0
6089,-1,1,1,1,19006,BugEntity,false,0,0,1,0,0,0,1,0
6088,-1,1,2,0,19006,CoChange,false,0,2,0,0,0,1,0,0
6087,-1,1,2,0,19006,CoChange,false,0,2,0,0,0,1,0,0
6086,-1,1,4,0,19006,CoChange,false,0,4,0,0,0,1,0,0
6085,-1,1,2,0,19006,CoChange,false,0,2,0,0,0,1,0,0
6084,-1,1,2,0,19006,CoChange,false,0,2,0,0,0,1,0,0
6083,-1,1,2,0,19006,CoChange,false,0,2,0,0,0,1,0,0
6082,-1,1,2,0,19006,CoChange,false,0,2,0,0,0,1,0,0
6081,-1,1,2,0,19006,CoChange,false,0,2,0,0,0,1,0,0
6080,85,1,4,0,19006,CoChange,false,0,4,0,0,0,1,0,0
6079,-1,1,2,0,19006,CoChange,false,0,2,0,0,0,1,0,0
