#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, total_files: 2807, total_files_alive: 1418, cacheTableSize: 0, cachesize: 140, blocksize: 70, prefetchsize: 14, cache replacement policy: LRU
Month,HitRate,NumCommits,NumFiles
3,97.66,46,115
6,98.57,56,123
9,99.58,138,165
12,99.66,197,185
15,96.36,311,255
18,96.31,368,283
21,96.05,417,294
24,95.98,423,299
27,95.99,448,319
30,95.74,483,332
33,95.7,491,333
36,95.61,496,350
39,95.65,502,351
42,95.64,515,355
45,95.57,538,393
48,95.12,596,464
51,94.99,646,503
54,94.44,733,514
57,93.87,864,537
60,93.46,961,576
63,92.95,1025,580
66,92.74,1071,584
69,90.21,1189,598
72,89.95,1261,618
75,89.51,1368,643
78,88.15,1494,795
81,88.03,1562,796
84,87.96,1625,806
87,87.46,1673,833
90,85.81,1820,897
93,85.84,1849,899
96,85.81,1876,911
99,85.66,1973,936
102,85.54,2054,941
105,85.29,2095,946
108,83.83,2168,1354
111,83.65,2241,1393
114,83.61,2287,1400
117,83.59,2322,1402
120,83.63,2359,1404
123,81.93,2419,1534
126,82.75,2612,1787
129,82.64,2697,1805
132,82.52,2739,1825
135,79.95,2819,1910
138,79.77,2913,2179
141,79.66,3011,2218
144,79.77,3114,2412
147,79.78,3189,2431
150,79.81,3271,2503
153,77.3,3368,2524
156,74.78,3436,2539
159,74.77,3497,2544
162,74.84,3549,2620
165,74.9,3613,2632
168,74.92,3656,2646
171,74.53,3750,2672
174,72.95,3880,2704
177,72.96,3947,2742
180,72.94,4010,2756
183,70.99,4072,2796
186,68.78,4098,2796
189,68.78,4099,2796
