#number of hit, misses and time stayed in Cache for every file
#project: 1, total_files: 3874, total_files_alive: 1373, cacheTableSize: 3793, cachesize: 140, blocksize: 140, prefetchsize: 14, cache replacement policy: LRU
file_id,loc,last_type,duration
6142,-1,1,0
6142,-1,1,1
6142,-1,1,1232
6142,-1,1,3876
6142,-1,1,3876
6139,-1,2,0
6139,-1,1,1
6139,-1,1,3876
6136,-1,1,0
6136,-1,1,1
6136,-1,1,3876
6135,-1,1,0
6135,-1,1,1
6135,-1,1,3876
6133,-1,1,0
6133,-1,1,1
6133,-1,1,3876
6130,-1,1,0
6130,-1,1,1
6130,-1,1,3876
6123,-1,1,0
6123,-1,1,1
6123,-1,1,3876
6116,-1,2,0
6116,-1,1,7172
6116,-1,1,7174
6116,-1,1,7184
6116,-1,1,8563
6116,-1,1,11045
6116,-1,2,11049
6116,-1,1,11049
6116,-1,1,11049
6116,-1,1,11049
6116,-1,1,11049
6116,-1,2,11220
6109,121,1,0
6109,121,1,9177
6108,202,2,0
6108,202,1,9177
6107,78,1,0
6107,78,1,9177
6106,108,1,0
6106,108,1,9225
6105,79,1,0
6105,79,1,9225
6104,67,1,0
6104,67,1,9225
6103,-1,1,0
6103,-1,1,9272
6102,-1,1,0
6102,-1,1,9272
6101,-1,1,0
6101,-1,1,9272
6100,-1,1,0
6100,-1,1,9272
6099,92,1,0
6099,92,1,95
6099,92,1,9272
6099,92,1,9272
6098,-1,1,0
6098,-1,1,9272
6097,79,1,0
6097,79,1,95
6097,79,1,9272
6097,79,1,9272
6096,-1,1,0
6096,-1,1,9272
6095,-1,1,0
6095,-1,1,9272
6094,-1,1,0
6094,-1,1,9272
6093,-1,1,0
6093,-1,1,9272
6092,74,1,0
6092,74,1,95
6092,74,1,9272
6092,74,1,9272
6091,-1,1,0
6091,-1,1,9272
6090,-1,1,0
6090,-1,1,9272
6089,-1,2,0
6089,-1,1,9272
6088,-1,1,0
6088,-1,1,9272
6087,-1,1,0
6087,-1,1,9272
6086,-1,1,0
6086,-1,1,47
6086,-1,1,9272
6086,-1,1,9272
6085,-1,1,0
6085,-1,1,9272
6084,-1,1,0
6084,-1,1,9272
6083,-1,1,0
6083,-1,1,9272
6082,-1,1,0
6082,-1,1,9272
6081,-1,1,0
6081,-1,1,9272
6080,85,1,0
6080,85,1,95
6080,85,1,9272
6080,85,1,9272
6079,-1,1,0
6079,-1,1,9272
6078,-1,1,0
6078,-1,1,9272
6077,-1,1,0
6077,-1,1,9272
6076,-1,1,0
6076,-1,1,9272
6075,-1,1,0
6075,-1,1,9272
6074,-1,1,0
6074,-1,1,9272
6073,-1,1,0
6073,-1,1,9272
6072,-1,1,0
6072,-1,1,9272
6071,-1,1,0
6071,-1,1,9272
6068,-1,1,0
6068,-1,1,29
6068,-1,1,9301
6068,-1,1,9301
6066,-1,2,0
6066,-1,1,4
6066,-1,1,9301
6066,-1,1,9301
6028,202,2,0
6027,55,1,0
6027,55,1,0
6026,-1,1,0
6025,-1,1,0
6024,-1,1,0
6023,-1,1,0
6023,-1,1,7431
6022,-1,1,0
6022,-1,1,0
6020,-1,1,0
6018,-1,1,0
6018,-1,1,0
6017,-1,2,0
6017,-1,2,0
6017,-1,1,357
6017,-1,1,0
6017,-1,1,7431
6017,-1,1,10184
6017,-1,1,24614
6017,-1,1,25561
6016,160,1,0
6015,183,1,0
5964,77,1,0
5963,1265,2,0
5961,337,2,0
5957,263,1,0
5949,-1,1,0
5947,-1,1,0
5946,-1,1,0
5943,-1,1,0
5941,-1,1,0
5940,-1,1,0
5937,-1,1,0
5935,-1,1,0
5932,-1,1,0
5931,-1,1,0
5930,-1,1,0
5928,-1,1,0
5927,-1,1,0
5926,-1,2,0
5925,-1,1,0
5924,252,1,0
5924,252,1,994
5914,-1,1,0
5900,251,2,0
5893,3881,2,0
5886,942,1,0
5884,-1,2,0
5883,1216,1,0
5883,1216,1,0
5880,1704,1,0
5880,1704,1,0
5875,1086,1,0
5874,785,1,0
5873,658,1,0
5872,321,1,0
5871,1352,1,0
5870,640,1,0
5869,480,1,0
5868,320,1,0
5867,111,1,0
5862,444,2,0
5862,444,1,0
5861,-1,1,0
5859,-1,1,0
5858,61,1,0
5858,61,1,0
5857,330,1,0
5857,330,1,0
5856,-1,1,0
5855,-1,1,0
5854,-1,1,0
5853,-1,1,0
5852,-1,1,0
5851,-1,1,0
5850,-1,1,0
5849,-1,1,0
5848,-1,1,0
5845,78,2,0
5845,78,2,1103
5844,-1,1,0
5843,-1,1,0
5842,-1,1,0
5839,1036,2,0
5839,1036,1,12693
5838,-1,1,0
5836,-1,1,0
5833,-1,1,0
5831,-1,1,0
11973,232,1,0
5828,-1,1,0
11970,146,1,0
11969,121,1,0
11968,221,1,0
5825,-1,1,0
11967,119,1,0
11966,218,1,0
11965,244,1,0
11964,268,1,0
11963,272,1,0
5820,-1,1,0
11961,184,1,0
5818,-1,1,0
5818,-1,1,180
11960,251,1,0
11959,142,1,0
5816,3845,2,0
5816,3845,1,8711
11958,261,1,0
5815,245,2,0
11957,201,1,0
11956,194,1,0
11955,655,1,0
11954,999,1,0
11953,299,1,0
11952,540,1,0
11951,480,1,0
5808,498,2,0
5808,498,2,0
5808,498,2,45
11950,724,1,0
11949,812,1,0
5806,-1,3,7
5806,-1,1,151
11948,210,1,0
5805,-1,1,0
11947,212,1,0
5804,-1,1,0
11946,801,1,0
5802,-1,1,0
11944,-1,1,2
5796,-1,1,0
5795,-1,1,0
5794,-1,1,0
5793,-1,1,1313
5793,-1,1,1701
5792,-1,1,1313
5792,-1,1,0
5792,-1,1,1701
5791,-1,1,1313
