#number of hit, misses and time stayed in Cache for every file
#project: 1, total_files: 13440, total_files_alive: 3391, cacheTableSize: 7022, cachesize: 340, blocksize: 340, prefetchsize: 34, cache replacement policy: LRU
file_id,loc,num_load,num_hits,num_misses,duration,reason,is_in_cache,HitPrefetch,HitCoChange,HitChangeEntity,HitNewEntity,LoadPrefetch,LoadCoChange,LoadChangeEntity,LoadNewEntity
0,0,0,0,0,8678058,0,false,0,0,0,0,0,0,0,0
12286,-1,242,14,12,731400,CoChange,false,0,14,0,0,0,228,12,2
12283,-1,40,2,8,33202,CoChange,false,0,2,0,0,0,30,8,2
12279,-1,176,4,15,420318,CoChange,false,0,4,0,0,0,159,15,2
24565,2570,1,0,0,7920,NewEntity,false,0,0,0,0,0,0,0,1
12276,-1,4,0,1,34031,CoChange,false,0,0,0,0,0,1,1,2
12274,67,22,2,7,812,CoChange,false,0,1,0,1,0,13,7,2
12272,44,46,0,11,15809,BugEntity,false,0,0,0,0,0,36,10,0
12271,-1,98,2,10,426895,CoChange,false,0,2,0,0,0,88,10,0
12270,-1,44,3,12,48824,CoChange,false,0,2,0,1,0,30,12,2
12267,-1,468,15,16,916076,CoChange,false,0,12,3,0,0,452,16,0
24550,1035,1,0,0,7920,NewEntity,false,0,0,0,0,0,0,0,1
24546,1920,1,0,0,7920,NewEntity,false,0,0,0,0,0,0,0,1
12246,-1,339,32,31,2153616,CoChange,false,0,27,2,3,0,306,31,2
12241,-1,25,1,9,8965,CoChange,false,0,1,0,0,0,14,9,2
12230,524,794,37,34,2448467,BugEntity,false,0,25,12,0,0,759,33,2
12229,-1,770,45,30,1934655,CoChange,false,0,33,12,0,0,738,30,2
12228,-1,278,1,9,475772,CoChange,false,0,1,0,0,0,267,9,2
12226,155,45,0,9,38766,CoChange,false,0,0,0,0,0,34,9,2
12225,-1,352,4,10,579429,CoChange,false,0,4,0,0,0,340,10,2
12224,-1,366,19,15,1240436,CoChange,false,0,17,2,0,0,349,15,2
12217,-1,36,1,16,23985,CoChange,false,0,0,1,0,0,18,16,2
12213,40,15,0,7,3646,BugEntity,false,0,0,0,0,0,7,6,2
12212,-1,230,1,9,276556,CoChange,false,0,1,0,0,0,219,9,2
12211,-1,984,19,11,2370878,CoChange,false,0,19,0,0,0,971,11,2
12208,-1,893,12,12,1979690,CoChange,false,0,12,0,0,0,879,12,2
12207,-1,100,3,10,128214,CoChange,false,0,2,0,1,0,88,10,2
12205,-1,700,11,10,1142302,CoChange,false,0,10,1,0,0,688,10,2
12204,-1,527,13,24,1323026,CoChange,false,0,10,3,0,0,501,24,2
12202,-1,176,11,25,648210,CoChange,false,0,7,4,0,0,149,25,2
12199,-1,23,1,9,5689,CoChange,false,0,1,0,0,0,12,9,2
12195,-1,246,1,13,174579,CoChange,false,0,0,1,0,0,233,13,0
24480,1493,1,0,0,7920,NewEntity,false,0,0,0,0,0,0,0,1
12192,45,14,0,9,1501,CoChange,false,0,0,0,0,0,3,9,2
12190,-1,67,2,9,41275,CoChange,false,0,1,0,1,0,56,9,2
12189,-1,376,7,10,887082,CoChange,false,0,6,0,1,0,364,10,2
12188,-1,389,5,10,716203,CoChange,false,0,4,0,1,0,377,10,2
