#number of hit, misses and time stayed in Cache for every file
#project: 1, total_files: 90252, total_files_alive: 76205, cacheTableSize: 34969, cachesize: 15240, blocksize: 15240, prefetchsize: 762, cache replacement policy: LRU
file_id,loc,last_type,duration
147450,-1,1,0
147450,-1,2,0
147450,-1,1,429689
147449,-1,1,0
147447,-1,2,0
147447,-1,1,0
147447,-1,1,502934
147435,-1,1,0
147435,-1,2,3895
147430,-1,2,0
147428,71,1,0
147428,71,2,0
147425,113,1,198928
147425,113,2,199001
147423,-1,1,1024
147422,-1,1,1024
147421,186,2,0
147417,185,1,0
147415,483,2,0
147413,310,2,0
147410,421,2,0
147409,-1,1,0
147408,-1,1,0
147396,-1,1,0
147394,-1,1,0
147391,-1,1,0
147389,-1,1,0
147388,-1,1,0
147388,-1,1,238273
147386,-1,1,0
147386,-1,1,162
147386,-1,1,238273
147385,-1,1,0
147385,-1,1,101210
147381,156,2,0
147380,-1,1,0
147380,-1,1,0
147377,-1,1,0
147377,-1,1,0
147377,-1,1,383760
147376,-1,1,0
147376,-1,1,0
147375,-1,1,0
147375,-1,1,0
147374,-1,1,0
147374,-1,1,0
147372,-1,1,0
147371,-1,1,0
147370,-1,1,0
147370,-1,1,0
147369,-1,1,0
147369,-1,1,0
147368,-1,1,0
147368,-1,1,0
147367,-1,1,0
147367,-1,1,0
147364,-1,1,0
147362,930,2,0
147362,930,1,0
147362,930,1,118
147362,930,1,33254
147362,930,1,47542
147362,930,2,50346
147362,930,1,125378
147362,930,1,206593
147362,930,1,338828
147362,930,1,568012
147361,-1,1,0
147359,-1,1,0
147359,-1,1,18923
147358,-1,2,0
147358,-1,1,0
147356,142,2,0
147356,142,1,2
147355,-1,1,0
147353,-1,2,0
147352,52,1,103357
147352,52,1,103411
147351,241,1,0
147351,241,1,12
147351,241,2,103423
147351,241,1,103477
147350,-1,2,0
147350,-1,1,12
147349,674,2,0
147348,81,2,0
147338,-1,2,0
147338,-1,1,48998
147338,-1,1,55967
147338,-1,1,63280
147338,-1,1,77806
147338,-1,1,97691
147328,-1,1,94769
147327,-1,1,0
147327,-1,1,34270
147327,-1,1,198540
147326,612,2,0
147326,612,1,198540
147325,-1,2,0
147316,189,1,0
147316,189,1,86909
147315,-1,1,0
147314,-1,1,0
147313,-1,1,0
147310,-1,1,0
147309,-1,1,0
147308,-1,2,0
147308,-1,1,81009
147307,-1,1,0
147306,-1,1,0
147305,61,1,0
147304,99,2,0
147302,52,2,0
147284,117,2,0
147276,-1,1,102158
147263,-1,1,0
147254,-1,1,0
147254,-1,1,141265
147254,-1,1,303259
147254,-1,1,303955
147254,-1,1,470294
147254,-1,1,567900
147252,-1,1,0
147252,-1,1,167135
147251,-1,1,0
147251,-1,1,27783
147251,-1,1,143320
147251,-1,1,187683
147251,-1,1,238077
147242,-1,1,0
147242,-1,1,15934
147242,-1,1,105211
147242,-1,1,245168
147242,-1,1,445624
147242,-1,1,457077
147242,-1,1,544614
147233,-1,1,77985
147233,-1,1,144475
147232,-1,1,0
147232,-1,1,144475
147230,-1,1,0
147229,-1,1,0
147219,-1,2,0
147219,-1,1,10161
147219,-1,1,33276
147219,-1,1,65505
147219,-1,1,187681
147219,-1,1,248434
147219,-1,1,248434
147210,-1,1,0
147210,-1,1,87108
147208,-1,1,0
147198,-1,1,0
147198,-1,1,393099
147197,-1,1,0
147196,539,1,0
147196,539,1,207366
147196,539,1,393099
147196,539,1,614847
147195,-1,1,0
147193,-1,1,0
147193,-1,1,97797
147192,-1,2,0
147191,78,2,0
147181,61,2,0
147171,-1,1,0
147169,234,2,0
147169,234,1,36
147169,234,1,17617
147169,234,2,111133
147168,-1,1,0
147166,-1,1,0
147166,-1,1,186832
147166,-1,1,192135
147165,-1,1,0
147165,-1,1,186832
147165,-1,1,192135
147164,-1,1,0
147163,-1,1,0
147163,-1,1,13639
147162,-1,1,0
147162,-1,1,13639
147157,-1,1,11979
147157,-1,1,11984
147157,-1,2,11989
147155,-1,1,82035
147136,85,1,23450
147136,85,1,343725
147135,-1,3,6152
147135,-1,2,6155
147135,-1,2,6184
147135,-1,1,14493
147133,202,1,6244
147133,202,1,11984
147133,202,1,343725
147132,60,1,343725
147112,-1,1,27
147112,-1,1,194749
147111,-1,1,27
147111,-1,1,7032
147110,-1,1,27
147110,-1,1,4322
147110,-1,1,24821
147110,-1,1,25846
147102,-1,1,27
147102,-1,1,7032
147102,-1,1,7114
147102,-1,1,24821
147101,-1,1,0
147101,-1,1,27
147101,-1,1,4322
147101,-1,1,6074
147101,-1,2,6109
147101,-1,2,7032
147101,-1,1,7045
147101,-1,2,7114
147101,-1,1,24821
147101,-1,1,38961
147101,-1,2,39372
147101,-1,2,40495
147101,-1,1,223749
147101,-1,2,223749
147090,-1,1,0
147090,-1,1,24821
147087,752,2,0
147087,752,1,305358
147086,1027,2,0
147086,1027,1,7213
147086,1027,1,469462
147076,-1,1,0
147075,627,2,0
147075,627,2,65920
147075,627,2,66922
147075,627,2,0
147074,-1,1,0
147073,-1,2,0
147073,-1,1,9604
147072,210,2,0
147072,210,1,21099
147072,210,1,108009
147061,175,2,0
147061,175,1,454594
147057,216,1,0
147056,192,1,0
147055,44,1,0
147047,77,1,0
147046,98,2,0
147045,267,2,0
147045,267,2,103
147036,464,2,0
147035,-1,2,0
147035,-1,1,85240
147034,118,1,0
147024,206,2,0
147010,-1,2,0
147010,-1,1,86377
147010,-1,1,442144
147001,138,2,0
147000,402,2,0
147000,402,2,144146
146990,-1,1,0
146989,-1,1,0
146986,-1,1,0
146978,-1,2,0
146978,-1,1,105028
146976,-1,1,0
146975,-1,1,0
146965,111,2,0
146963,-1,1,15572
146955,439,2,0
146955,439,1,368478
146955,439,2,427369
146955,439,2,486704
146955,439,2,636674
146945,129,1,0
146945,129,1,6017
146945,129,1,122132
146943,315,2,0
146943,315,2,5756
146943,315,2,0
146941,94,2,0
146923,66,1,0
146912,67,2,0
146902,-1,1,0
146902,-1,1,47292
146902,-1,1,84707
146902,-1,1,85011
146902,-1,2,87950
146902,-1,1,100546
146894,-1,2,0
146894,-1,1,47292
146894,-1,1,81671
146894,-1,1,90620
146884,196,2,0
146874,-1,3,478
146874,-1,1,16582
146874,-1,1,203414
146874,-1,1,208717
146866,158,2,0
146866,158,1,16582
146866,158,1,30220
146866,158,1,253152
146856,371,2,0
146855,-1,2,0
146853,-1,1,0
146852,-1,1,0
146852,-1,1,97950
146851,-1,1,0
146850,-1,1,0
146850,-1,1,111712
146848,-1,1,0
146847,-1,1,0
146846,-1,1,0
146844,-1,1,0
146843,-1,1,0
146842,-1,1,0
146842,-1,1,54326
146834,325,2,0
146834,325,2,111779
146834,325,1,310877
146834,325,1,358698
146834,325,1,358698
146834,325,1,390165
146834,325,1,484783
146834,325,1,577597
146823,-1,1,0
146822,-1,1,0
146821,-1,1,0
146812,-1,2,0
146812,-1,1,304931
146812,-1,1,420796
146801,229,2,0
146801,229,1,138620
146801,229,1,444088
146790,-1,1,0
146777,-1,1,0
146776,-1,1,0
146775,-1,1,21700
146775,-1,1,138675
146767,-1,2,0
146767,-1,1,138675
146757,-1,1,26679
146749,-1,2,0
146749,-1,1,80096
146748,184,2,0
146748,184,2,114946
146748,184,2,159738
146748,184,1,161205
146748,184,1,161311
146748,184,1,614509
146738,-1,2,0
146736,-1,1,0
146736,-1,1,6
146734,-1,1,0
146733,-1,1,0
146733,-1,1,6
146729,-1,1,0
146729,-1,1,6
146728,-1,1,0
146726,-1,1,0
146725,-1,1,0
146725,-1,1,6
146724,-1,1,0
146724,-1,1,6
146723,-1,1,0
146722,-1,1,0
146721,-1,1,0
146719,-1,1,0
146717,-1,1,0
146716,-1,1,0
146714,159,1,0
146714,159,1,6
146714,159,1,299255
146706,90,1,0
146705,167,2,0
146704,-1,1,0
146703,-1,2,0
146703,-1,1,44776
146703,-1,1,49347
146703,-1,1,70663
146703,-1,1,105224
146703,-1,2,361832
146703,-1,2,362629
146703,-1,2,362897
146703,-1,2,439136
146703,-1,1,643486
146662,-1,1,0
146652,-1,1,0
146651,-1,1,0
146650,-1,1,0
146649,-1,1,0
146648,-1,1,0
146647,-1,1,0
146646,-1,1,0
146645,-1,1,0
146645,-1,1,61404
146644,-1,1,0
146643,-1,1,0
146642,-1,1,0
146641,-1,1,0
146632,-1,2,0
