#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, total_files: 17597, total_files_alive: 3077, cacheTableSize: 0, cachesize: 620, blocksize: 620, prefetchsize: 31, cache replacement policy: LRU
Month,HitRate,NumCommits,NumFiles
3,100.0,487,164
6,100.0,662,242
9,100.0,865,400
12,99.49,1594,1613
15,99.14,2247,1894
18,97.79,2535,2293
21,97.81,2828,2875
24,97.48,3133,2993
27,97.56,3465,3496
30,97.53,3660,3597
33,97.16,4344,4317
36,94.13,5572,4626
39,94.57,6063,4770
42,93.67,6493,5100
45,93.81,7139,5629
48,90.47,7708,8276
51,90.87,8545,8756
54,87.71,9305,9556
57,88.11,10452,9866
60,88.41,11526,10214
63,88.44,12709,10589
66,88.62,13643,10880
69,85.8,14533,11090
72,86.05,15792,11384
75,85.89,17822,11790
78,86.06,19951,12555
81,81.39,22715,15120
84,81.74,25786,15420
87,82.05,28591,15936
90,82.24,30186,16084
93,82.32,32374,16317
96,82.4,33731,16740
99,82.5,34880,16953
102,82.66,35488,16968
105,82.91,36237,17166
108,82.9,36532,17224
111,82.9,36533,17224
