#number of hit, misses and time stayed in Cache for every file
#project: 1, total_files: 10041, total_files_alive: 3926, cacheTableSize: 6190, cachesize: 780, blocksize: 780, prefetchsize: 39, cache replacement policy: LRU
file_id,loc,num_load,num_hits,num_misses,duration,reason,is_in_cache,HitPrefetch,HitCoChange,HitChangeEntity,HitNewEntity,LoadPrefetch,LoadCoChange,LoadChangeEntity,LoadNewEntity
0,0,0,0,0,5466423,0,false,0,0,0,0,0,0,0,0
12245,534,1,0,0,38481,NewEntity,false,0,0,0,0,0,0,0,1
12223,513,1,0,0,38481,NewEntity,false,0,0,0,0,0,0,0,1
12221,960,1,0,0,38481,NewEntity,false,0,0,0,0,0,0,0,1
12212,514,1,0,0,38481,NewEntity,false,0,0,0,0,0,0,0,1
12209,1041,1,0,0,38481,NewEntity,false,0,0,0,0,0,0,0,1
12203,702,1,0,0,38481,NewEntity,false,0,0,0,0,0,0,0,1
12195,528,1,0,0,38481,NewEntity,false,0,0,0,0,0,0,0,1
12194,741,1,0,0,38481,NewEntity,false,0,0,0,0,0,0,0,1
12191,742,1,0,0,38481,NewEntity,false,0,0,0,0,0,0,0,1
12188,619,1,0,0,38481,NewEntity,false,0,0,0,0,0,0,0,1
12186,534,1,0,0,38481,NewEntity,false,0,0,0,0,0,0,0,1
12147,781,1,0,0,38481,NewEntity,false,0,0,0,0,0,0,0,1
12137,540,1,0,0,38481,NewEntity,false,0,0,0,0,0,0,0,1
12121,566,1,0,0,38481,NewEntity,false,0,0,0,0,0,0,0,1
12107,687,1,0,0,38481,NewEntity,false,0,0,0,0,0,0,0,1
12101,524,1,0,0,38481,NewEntity,false,0,0,0,0,0,0,0,1
12099,623,1,0,0,38481,NewEntity,false,0,0,0,0,0,0,0,1
12096,987,1,0,0,38481,NewEntity,false,0,0,0,0,0,0,0,1
12089,571,1,0,0,38481,NewEntity,false,0,0,0,0,0,0,0,1
12085,944,1,0,0,38481,NewEntity,false,0,0,0,0,0,0,0,1
12083,565,1,0,0,38481,NewEntity,false,0,0,0,0,0,0,0,1
12079,703,1,0,0,38481,NewEntity,false,0,0,0,0,0,0,0,1
12056,548,1,0,0,38481,NewEntity,false,0,0,0,0,0,0,0,1
12039,663,1,0,0,38481,NewEntity,false,0,0,0,0,0,0,0,1
12033,3475,1,0,0,38481,NewEntity,false,0,0,0,0,0,0,0,1
12032,2520,1,0,0,38481,NewEntity,false,0,0,0,0,0,0,0,1
11951,672,1,0,0,38481,NewEntity,false,0,0,0,0,0,0,0,1
11784,597,1,0,0,38481,NewEntity,false,0,0,0,0,0,0,0,1
11719,670,1,0,0,38481,NewEntity,false,0,0,0,0,0,0,0,1
11683,1090,1,0,0,38481,NewEntity,false,0,0,0,0,0,0,0,1
11663,545,1,0,0,38481,NewEntity,false,0,0,0,0,0,0,0,1
11650,509,1,0,0,38481,NewEntity,false,0,0,0,0,0,0,0,1
11644,667,1,0,0,38481,NewEntity,false,0,0,0,0,0,0,0,1
