#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, total_files: 10041, total_files_alive: 3926, cacheTableSize: 0, cachesize: 780, blocksize: 780, prefetchsize: 39, cache replacement policy: LRU
Month,HitRate,NumCommits,NumFiles
3,75.77,431,2473
6,81.87,735,3175
9,83.74,1037,5495
12,84.55,1398,6037
15,83.07,1658,6084
18,81.96,1947,6145
21,82.62,2071,6200
24,82.75,2185,6207
27,82.88,2329,6225
30,82.96,2388,6247
33,83.06,2478,7547
36,83.24,2574,7620
39,83.37,2682,7683
42,83.41,2758,7839
45,83.42,2809,8129
48,83.4,2824,8646
51,83.37,2878,8675
54,83.37,2927,8685
57,83.35,2967,8687
60,83.5,3038,8702
63,83.62,3102,8707
66,83.76,3164,8775
69,83.74,3207,8780
72,83.85,3262,8791
75,84.09,3330,8807
78,84.13,3379,8822
81,84.23,3472,8833
84,84.44,3600,8860
87,84.49,3729,8872
90,84.45,3833,9204
93,84.53,3897,9224
96,84.54,3997,9229
99,84.62,4108,9245
102,84.1,4194,9259
105,84.1,4236,9266
108,84.09,4279,9269
111,84.44,4377,9839
114,81.75,4456,9858
117,81.76,4588,9887
120,80.19,4837,10009
123,80.13,4978,10021
126,80.1,5011,10025
