#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, total_files: 12423, total_files_alive: 6797, cacheTableSize: 0, cachesize: 1360, blocksize: 1360, prefetchsize: 68, cache replacement policy: LRU
Month,HitRate,NumCommits,NumFiles
3,100.0,86,108
6,100.0,168,134
9,100.0,225,141
12,100.0,246,147
15,100.0,247,147
18,100.0,255,147
21,100.0,277,166
24,100.0,357,214
27,100.0,378,235
30,100.0,398,237
33,100.0,427,250
36,100.0,482,259
39,100.0,590,604
42,100.0,982,1282
45,99.98,1134,1756
48,99.98,1417,2314
51,99.84,1786,2768
54,99.86,2354,2940
57,99.84,3049,3580
60,99.77,3309,3713
63,99.65,3915,3959
66,99.4,4294,4129
69,99.24,4813,4916
72,99.06,5338,6586
75,98.98,5740,6841
78,98.89,5920,6893
81,98.63,6564,7037
84,98.46,6831,7112
87,98.35,6965,7163
90,98.25,7072,7276
93,98.05,7523,7407
96,98.01,7761,7452
99,97.8,8301,7966
102,97.76,8633,8137
105,97.74,8838,8223
108,97.68,8990,8237
111,97.65,9036,8243
114,97.52,9316,8568
117,97.48,9398,8602
120,97.45,9448,8658
123,97.43,9503,8678
126,97.43,9505,8678
129,97.43,9508,8680
132,97.46,9701,8907
135,97.46,9720,8913
138,97.46,9733,8913
141,97.46,9733,8913
144,97.46,9741,12394
147,97.46,9746,12395
150,97.46,9746,12395
153,97.46,9748,12395
156,97.46,9749,12395
159,97.46,9751,12395
162,97.46,9751,12395
165,97.46,9758,12395
168,97.46,9805,12407
171,97.47,9817,12411
