#number of hit, misses and time stayed in Cache for every file
#project: 1, total_files: 3841, total_files_alive: 2374, cacheTableSize: 3804, cachesize: 480, blocksize: 480, prefetchsize: 24, cache replacement policy: LRU
file_id,loc,last_type,duration
6077,-1,3,9
6075,-1,1,920
6075,-1,1,0
6075,-1,1,0
6074,72,3,5
6072,-1,1,32
6072,-1,1,34
6067,-1,1,0
6067,-1,2,112
6067,-1,1,5532
6066,59,3,5
6064,89,3,14
6063,-1,1,0
6060,-1,1,58
6060,-1,2,0
6060,-1,1,20
6059,112,3,12
6059,112,2,192
6059,112,1,0
6059,112,1,685
6058,-1,1,0
6057,-1,1,0
6055,87,1,306
6054,168,1,0
6054,168,1,4192
6054,168,1,0
6051,148,3,0
6049,-1,1,1558
6047,119,1,1558
6047,119,1,0
6046,-1,1,0
6046,-1,2,0
6045,-1,1,2440
6045,-1,1,0
6041,-1,3,2440
6041,-1,1,0
6038,45,1,0
6038,45,1,0
6036,-1,1,0
6035,-1,1,0
6034,-1,1,0
6033,-1,1,0
6032,-1,1,0
6031,-1,1,0
6030,-1,1,0
6029,-1,1,0
6028,-1,1,0
6027,-1,3,0
6027,-1,1,0
6025,357,3,33
6025,357,2,0
6025,357,2,0
6024,-1,1,0
6024,-1,1,0
6024,-1,1,0
6024,-1,1,0
6023,131,1,152
6023,131,2,169
6023,131,2,248
6023,131,2,555
6022,-1,3,196
6020,-1,1,0
6020,-1,1,615
6019,-1,3,0
6019,-1,2,5
6019,-1,2,67
6019,-1,1,124
6019,-1,2,130
6019,-1,2,395
6019,-1,2,405
6019,-1,1,721
6019,-1,2,2168
6019,-1,2,4635
6019,-1,2,4637
6019,-1,2,0
6019,-1,1,0
6019,-1,2,0
6019,-1,2,0
6019,-1,1,0
6017,-1,3,811
6017,-1,1,0
6017,-1,1,47
6017,-1,1,0
6015,-1,1,344
6014,-1,3,12
6014,-1,1,0
6013,-1,1,781
6011,-1,1,0
6009,-1,1,0
6009,-1,1,0
6001,-1,1,1588
6001,-1,1,1664
6000,-1,1,0
6000,-1,1,1
6000,-1,1,1
6000,-1,1,2
6000,-1,1,2
6000,-1,1,795
6000,-1,1,0
6000,-1,1,1413
6000,-1,1,0
6000,-1,1,41
6000,-1,1,734
6000,-1,1,0
6000,-1,1,1442
6000,-1,1,3920
6000,-1,1,4348
6000,-1,1,0
5999,373,3,0
5998,-1,3,2617
5997,-1,1,2617
5997,-1,1,0
5996,-1,1,3288
5996,-1,1,0
5995,-1,1,529
5994,-1,3,776
5994,-1,1,0
5994,-1,2,0
5993,-1,1,1225
5978,-1,1,0
5978,-1,1,411
5978,-1,1,428
5978,-1,1,1137
5978,-1,2,1222
5978,-1,1,1225
5978,-1,1,1263
5978,-1,1,1407
5978,-1,1,1801
5978,-1,1,1806
5978,-1,1,1874
5978,-1,2,2403
5978,-1,1,2616
5978,-1,1,614
5978,-1,1,0
5977,-1,1,0
5977,-1,1,411
5977,-1,1,428
5977,-1,1,1222
5977,-1,1,1225
5977,-1,1,1263
5977,-1,1,1407
5977,-1,1,1801
5977,-1,1,1829
5977,-1,1,1037
5977,-1,1,0
5975,81,3,2
5975,81,2,0
5975,81,2,0
5974,-1,1,283
5974,-1,1,1300
5973,-1,1,576
5971,101,3,75
5971,101,1,0
5971,101,2,3
5971,101,2,0
5971,101,2,0
5971,101,2,0
5966,46,3,48
5963,59,3,222
5960,154,3,0
5959,-1,1,669
5958,-1,1,105
5958,-1,1,404
5957,-1,1,1436
5957,-1,1,1472
5957,-1,1,2218
5957,-1,1,2244
5957,-1,2,2252
5957,-1,1,2371
5957,-1,1,0
5957,-1,1,591
5957,-1,1,283
5957,-1,1,0
5956,-1,3,2417
5956,-1,2,2421
5956,-1,1,2526
5956,-1,1,2685
5956,-1,1,404
5956,-1,1,0
5951,69,3,254
5950,118,3,1519
5950,118,2,0
5943,-1,1,0
5938,-1,3,56
5937,-1,3,0
5936,-1,1,4
5936,-1,1,8
5936,-1,2,11
5936,-1,2,17
5936,-1,2,25
5936,-1,2,29
5936,-1,2,30
5936,-1,2,31
5936,-1,2,33
5936,-1,2,43
5936,-1,2,59
5936,-1,2,67
5936,-1,1,68
5936,-1,2,71
5936,-1,1,74
5936,-1,2,78
5936,-1,1,0
5936,-1,1,1734
