#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, total_files: 3841, total_files_alive: 2374, cacheTableSize: 0, cachesize: 480, blocksize: 480, prefetchsize: 24, cache replacement policy: LRU
Month,HitRate,NumCommits,NumFiles
3,100.0,74,57
6,100.0,302,77
9,100.0,308,80
12,100.0,318,80
15,99.02,425,976
18,67.81,564,1074
21,66.82,848,1278
24,68.32,1027,1284
27,69.95,1318,1297
30,71.34,1567,1314
33,71.64,1758,1317
36,71.85,1907,1327
39,72.29,2069,1333
42,72.47,2167,1336
45,72.97,2422,1428
48,76.08,2828,1477
51,76.73,3071,1598
54,78.09,3570,1634
57,80.19,3967,1685
60,81.47,4611,2237
63,82.36,5136,2272
66,82.7,5603,2309
69,83.31,6150,2338
72,83.54,6796,2376
75,83.48,7246,2399
78,83.81,7889,2424
81,85.34,8777,2599
84,85.61,9408,2658
87,85.85,9993,2781
90,86.09,10745,2832
93,86.32,11322,2936
96,86.58,12062,3091
99,86.85,12811,3176
102,86.99,13656,3305
105,87.0,14326,3354
108,87.12,14853,3374
111,87.06,15332,3479
114,87.07,15829,3527
117,87.19,16547,3583
120,87.33,17197,3608
123,87.41,17709,3647
126,87.57,18305,3748
129,87.57,18953,3782
132,87.6,19537,3810
135,87.57,19959,3830
138,87.54,20155,3835
