#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, total_files: 3874, total_files_alive: 1373, cacheTableSize: 0, cachesize: 280, blocksize: 280, prefetchsize: 14, cache replacement policy: LRU
Month,HitRate,NumCommits,NumFiles
3,100.0,2,231
6,100.0,2,231
9,100.0,2,231
12,100.0,2,231
15,100.0,2,231
18,100.0,2,231
21,100.0,2,231
24,100.0,2,231
27,100.0,2,231
30,100.0,2,231
33,100.0,2,231
36,100.0,2,231
39,100.0,2,231
42,100.0,2,231
45,100.0,2,231
48,100.0,2,231
51,100.0,2,231
54,100.0,2,231
57,100.0,2,231
60,100.0,2,231
63,100.0,2,231
66,100.0,2,231
69,100.0,2,231
72,100.0,2,231
75,100.0,2,231
78,100.0,2,231
81,100.0,2,231
84,100.0,2,231
87,100.0,2,231
90,100.0,2,231
93,100.0,2,231
96,63.76,43,245
99,84.61,244,332
102,89.52,487,485
105,91.58,673,614
108,93.69,1171,752
111,92.07,1387,864
114,91.14,1531,1150
117,91.8,1719,1235
120,91.91,1958,1335
123,91.72,2198,1483
126,92.07,2325,1519
129,92.18,2442,1568
132,92.16,2513,1625
135,92.13,2556,1649
138,92.19,2658,1779
141,92.52,2814,2062
144,92.53,2916,2228
147,92.76,3090,2424
150,93.01,3325,2708
153,93.28,3490,2827
156,93.26,3571,2877
159,93.28,3684,2938
162,93.2,3757,3020
165,93.27,3924,3210
168,93.25,3988,3297
171,93.23,4135,3572
174,93.24,4178,3638
177,93.27,4249,3692
180,93.31,4301,3752
183,93.32,4304,3755
