#number of hit, misses and time stayed in Cache for every file
#project: 1, total_files: 13440, total_files_alive: 3391, cacheTableSize: 11907, cachesize: 340, blocksize: 340, prefetchsize: 34, cache replacement policy: LRU
file_id,loc,last_type,duration
17241,491,1,62135
17240,328,1,62135
17238,169,2,1896
17238,169,1,62135
17237,679,1,75508
17236,616,1,75508
17236,616,1,5344
17234,1015,1,75508
17206,279,2,5763
17169,571,1,0
17168,746,1,0
17167,126,2,910
17154,190,1,1560
17146,397,1,14
17136,148,1,3290
17136,148,1,980
17130,585,1,1602
17130,585,1,1560
17129,205,1,20
17113,404,1,115795
17110,888,1,19485
17110,888,1,0
17108,350,1,127694
17093,449,1,0
17091,1239,1,0
17091,1239,1,154478
17086,1008,1,93
17086,1008,2,151
17085,2570,2,2356
17085,2570,2,84423
17085,2570,2,75508
17084,832,2,4
17082,88,1,15800
17080,541,1,75508
17078,113,1,0
17072,337,1,1730
17070,675,2,342112
17069,918,1,0
17069,918,1,31640
17065,828,1,272
17064,1713,1,272
17064,1713,1,60887
17062,579,1,1488
17061,124,2,7
17061,124,1,918
17061,124,1,29891
17056,835,1,43042
17055,1756,2,487
17055,1756,1,41566
17055,1756,1,154312
17054,1920,1,44307
17054,1920,1,115795
17054,1920,1,36063
17054,1920,2,2285
17053,221,2,4233
17051,2432,1,197531
17050,210,1,40477
17049,463,1,198010
17044,204,1,5426
17042,399,1,3264
17039,933,1,31505
17020,539,1,126004
17017,688,1,75223
17017,688,1,2012
17007,177,1,15827
17005,206,1,31640
17002,363,1,31520
17001,165,1,31520
16997,148,1,0
16995,193,1,123
16994,1566,1,125
16994,1566,1,15539
16994,1566,2,0
16994,1566,1,4146
16994,1566,1,2314
16994,1566,1,75508
16992,357,1,5
16991,134,1,2113
16990,493,1,120
16990,493,1,5494
16990,493,1,2113
16988,314,1,175
16988,314,1,5381
16988,314,1,4319
16988,314,1,17231
16985,89,1,7
16985,89,1,2152
16985,89,2,7
16984,261,1,7
16982,176,1,130
16980,529,1,120
16980,529,1,0
16980,529,1,24685
16964,1444,1,24513
16961,647,1,40305
16961,647,1,127694
16959,1174,1,24513
16959,1174,1,13801
16959,1174,1,263
16957,303,1,98616
16950,1061,1,2729
16939,960,2,102123
16939,960,1,143114
16915,59,1,102647
16915,59,1,757076
16915,59,1,234839
16915,59,1,0
16910,194,1,118443
16910,194,1,10
16910,194,1,427869
16910,194,1,54946
16910,194,1,0
16907,119,3,37
16907,119,2,3891
16907,119,2,81323
16907,119,1,37420
16907,119,1,77813
16907,119,1,120500
16907,119,1,210408
16907,119,1,0
16907,119,1,0
16903,165,3,3395
16903,165,2,39
16903,165,2,6
16903,165,2,43
16903,165,1,123672
16903,165,1,31521
16903,165,1,758226
16895,180,3,3333
16895,180,2,13014
16895,180,2,4082
16895,180,2,223412
16895,180,2,3
16895,180,2,7
16895,180,2,167138
16895,180,2,39735
16895,180,2,734686
16895,180,2,414524
16895,180,2,6
16895,180,2,299439
16895,180,2,1714545
16891,70,1,0
16891,70,1,0
16886,205,3,4
16886,205,2,120868
16886,205,2,76115
16886,205,1,47115
16886,205,1,312825
16886,205,1,218010
16886,205,1,243668
16886,205,1,0
16886,205,1,0
16883,71,1,687952
16882,73,1,219368
16882,73,1,0
16882,73,1,0
16874,20,1,2
16872,22,3,2
16869,147,3,22
16869,147,2,3951733
16869,147,1,0
14273,101,3,24
14273,101,2,24
14273,101,2,4315
14273,101,1,1128430
14266,26,1,666269
14266,26,1,231263
14261,47,3,3872153
14260,206,1,0
14260,206,1,3263
14260,206,2,85916
14260,206,1,3
14260,206,1,89535
14259,139,1,0
14259,139,1,1960
14259,139,1,20233
14259,139,1,145182
14259,139,1,22110
14259,139,1,38295
14259,139,1,511730
14258,163,3,1
14258,163,1,5649
14258,163,2,192856
14258,163,1,17810
14258,163,2,1129
14258,163,1,58959
14258,163,1,977460
14258,163,1,0
14258,163,1,0
14258,163,1,0
14258,163,1,0
14258,163,1,0
14257,99,1,2
14257,99,2,4312
14256,212,3,2
14256,212,1,6374
14256,212,2,137409
14256,212,2,3
14256,212,2,24354
14256,212,1,34
14256,212,1,38757
14256,212,1,63225
14256,212,1,2
14256,212,1,13198
14256,212,1,0
14256,212,1,262560
14250,360,3,3178
14250,360,2,353
14250,360,1,5295
14250,360,1,3263
14250,360,1,58959
14250,360,1,61643
14250,360,1,31515
14250,360,1,52321
14250,360,1,736263
14250,360,1,265665
14245,53,1,0
14245,53,1,289827
14245,53,2,99918
14245,53,1,1054170
14245,53,1,219622
14236,30,1,1
14235,30,1,1
14234,76,3,1
14230,148,3,1
14230,148,2,18824
14230,148,1,4261
14230,148,1,0
14230,148,1,31487
14230,148,1,3290
14230,148,2,981
14230,148,1,0
14230,148,1,0
14230,148,1,158420
14177,24,3,7
14176,23,3,2
14176,23,1,750623
14170,149,1,10071
14170,149,1,4442
14170,149,1,621004
14170,149,1,1581
14170,149,1,0
14170,149,1,0
14170,149,1,0
14169,145,3,35978
14169,145,1,21
14169,145,1,2558
14169,145,2,441421
14169,145,1,0
14168,125,1,51840
14168,125,1,836704
14168,125,1,1581
14168,125,1,0
14168,125,1,0
14163,113,3,2
14163,113,2,1530129
14163,113,2,2429930
14159,137,1,72026
14159,137,1,232743
14159,137,1,836704
14159,137,1,1581
14159,137,1,1798
14159,137,1,0
14159,137,1,0
14158,154,3,66232
14158,154,1,31487
14158,154,1,0
14157,48,1,0
14157,48,1,0
14152,116,3,6
14152,116,1,37362
14152,116,1,1
14152,116,1,14437
14152,116,1,0
14152,116,1,0
14151,63,1,6
14151,63,1,37362
14151,63,1,1
14151,63,1,0
14147,119,3,1
14147,119,2,37613
14147,119,1,18782
14147,119,1,512622
14147,119,1,0
14139,87,1,71052
14139,87,1,21
14132,24,1,4504783
14128,44,1,4507200
14127,25,1,4504783
14125,58,3,3981547
14125,58,1,434348
14124,43,1,4507200
14123,37,1,4507200
14120,92,1,0
14120,92,1,2732319
14120,92,1,434348
14119,73,3,3981738
14119,73,1,434348
14118,94,1,1248107
14118,94,1,2732319
14118,94,1,434348
14117,228,3,1268397
14117,228,2,17039
14117,228,2,446189
14117,228,1,1259229
14117,228,1,70846
14117,228,1,250420
14117,228,1,105779
14116,210,3,1241015
14116,210,2,548626
14116,210,1,0
14116,210,1,13141
14116,210,1,13362
14116,210,1,101207
14115,163,3,1249505
14115,163,1,2732319
14115,163,1,434348
14113,72,1,71872
14113,72,1,163548
14113,72,1,13539
14113,72,1,391152
14112,35,3,3981526
14112,35,1,434348
14111,35,3,3981526
14111,35,1,434348
14109,707,3,3983136
14109,707,1,525673
14107,63,1,4507220
14106,204,3,4508809
14105,71,1,4507411
14104,70,1,4507411
14103,62,1,4507220
14102,63,1,4507411
14101,35,1,4507200
14100,35,1,4507200
