#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, total_files: 2807, total_files_alive: 1418, cacheTableSize: 0, cachesize: 140, blocksize: 70, prefetchsize: 14, cache replacement policy: LRU
Month,HitRate,NumCommits,NumFiles
3,100.0,46,115
6,100.0,56,123
9,100.0,138,165
12,100.0,197,185
15,96.53,311,255
18,96.46,368,283
21,96.19,417,294
24,96.11,423,299
27,96.12,448,319
30,95.86,483,332
33,95.81,491,333
36,95.72,496,350
39,95.75,502,351
42,95.75,515,355
45,95.68,538,393
48,95.15,596,464
51,95.02,646,503
54,94.44,733,514
57,93.87,864,537
60,93.46,961,576
63,92.95,1025,580
66,92.74,1071,584
69,90.21,1189,598
72,89.95,1261,618
75,89.51,1368,643
78,88.14,1494,795
81,88.01,1562,796
84,87.94,1625,806
87,87.42,1673,833
90,85.75,1820,897
93,85.78,1849,899
96,85.74,1876,911
99,85.6,1973,936
102,85.47,2054,941
105,85.24,2095,946
108,83.77,2168,1354
111,83.6,2241,1393
114,83.55,2287,1400
117,83.54,2322,1402
120,83.58,2359,1404
123,81.89,2419,1534
126,82.66,2612,1787
129,82.56,2697,1805
132,82.43,2739,1825
135,79.79,2819,1910
138,79.6,2913,2179
141,79.5,3011,2218
144,79.61,3114,2412
147,79.63,3189,2431
150,79.65,3271,2503
153,77.15,3368,2524
156,74.62,3436,2539
159,74.62,3497,2544
162,74.68,3549,2620
165,74.75,3613,2632
168,74.77,3656,2646
171,74.38,3750,2672
174,72.85,3880,2704
177,72.86,3947,2742
180,72.84,4010,2756
183,70.92,4072,2796
186,68.73,4098,2796
189,68.72,4099,2796
