#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, total_files: 1929, total_files_alive: 1068, cacheTableSize: 0, cachesize: 110, blocksize: 55, prefetchsize: 11, cache replacement policy: LRU
Month,HitRate,NumCommits,NumFiles
3,85.69,332,654
6,83.47,654,662
9,81.2,966,694
12,80.66,1090,704
15,79.93,1212,728
18,79.37,1564,780
21,79.25,2006,838
24,78.96,2144,868
27,78.89,2268,904
30,78.73,2366,906
33,78.46,2488,906
36,78.34,2612,938
39,78.28,2672,941
42,78.08,2762,988
45,78.05,2786,991
48,77.9,2900,1008
51,77.71,2996,1034
54,77.6,3064,1038
57,77.34,3356,1050
60,77.49,3609,1159
63,77.5,3758,1175
66,77.55,3955,1183
69,77.6,4043,1191
72,77.56,4215,1196
75,77.56,4345,1204
78,77.6,4449,1225
81,77.61,4707,1241
84,77.84,4979,1259
87,77.91,5097,1261
90,77.85,5255,1262
93,77.89,5367,1265
96,77.89,5464,1266
99,77.96,5572,1267
102,77.87,5702,1278
105,77.86,5881,1285
108,77.82,5938,1287
111,77.84,6036,1294
114,77.81,6152,1296
117,77.8,6195,1297
120,77.78,6338,1307
123,77.81,6555,1322
126,77.83,6811,1323
129,76.85,6976,1329
132,76.93,7140,1333
135,76.96,7227,1335
138,76.94,7289,1335
141,76.95,7345,1336
144,77.07,7404,1927
147,77.04,7445,1927
150,77.03,7458,1927
153,77.02,7489,1927
156,77.0,7509,1927
159,76.98,7538,1927
162,76.98,7559,1927
165,76.99,7587,1927
168,77.0,7592,1929
