#number of hit, misses and time stayed in Cache for every file
#project: 1, total_files: 17597, total_files_alive: 3077, cacheTableSize: 17290, cachesize: 310, blocksize: 155, prefetchsize: 31, cache replacement policy: LRU
file_id,loc,num_load,num_hits,num_misses,duration,reason,is_in_cache,HitPrefetch,HitCoChange,HitChangeEntity,HitNewEntity,LoadPrefetch,LoadCoChange,LoadChangeEntity,LoadNewEntity
0,0,0,0,0,4771339,0,false,0,0,0,0,0,0,0,0
49147,113,156,8,2,96766,BugEntity,false,0,0,8,0,0,153,2,1
49145,45,23,4,3,19085,BugEntity,false,0,0,4,0,0,19,3,1
49144,129,8,0,3,7277,BugEntity,false,0,0,0,0,0,4,3,1
24569,42,73,1,2,97176,BugEntity,false,0,0,1,0,0,70,2,1
24568,86,175,3,4,138237,BugEntity,false,0,0,3,0,0,170,4,1
49142,94,25,0,4,10425,BugEntity,false,0,0,0,0,0,20,4,1
24567,93,183,4,8,141904,BugEntity,false,0,0,4,0,0,174,8,1
49141,358,109,7,6,24842,BugEntity,false,0,0,7,0,0,102,6,1
49140,91,76,5,5,20825,BugEntity,false,0,0,5,0,0,70,5,1
49139,106,84,4,7,20834,BugEntity,false,0,0,4,0,0,76,7,1
49138,208,63,0,8,18435,BugEntity,false,0,0,0,0,0,54,8,1
49137,85,103,9,2,36046,BugEntity,false,0,0,9,0,0,100,2,1
49136,102,46,3,3,3474,BugEntity,false,0,0,3,0,0,42,3,1
24560,1817,94,0,7,3989,BugEntity,false,0,0,0,0,0,86,7,1
24557,215,5,0,0,3565,NewEntity,false,0,0,0,0,0,4,0,1
24556,527,12,0,1,3565,BugEntity,false,0,0,0,0,0,10,1,1
24555,788,20,0,2,5068,BugEntity,false,0,0,0,0,0,17,2,1
24554,655,83,2,5,10341,BugEntity,false,0,0,2,0,0,77,5,1
24553,647,21,1,2,5068,BugEntity,false,0,0,1,0,0,18,2,1
24552,478,20,1,2,5068,BugEntity,false,0,0,1,0,0,17,2,1
24551,99,8,0,0,3958,NewEntity,false,0,0,0,0,0,7,0,1
24550,116,9,0,0,7137,NewEntity,false,0,0,0,0,0,8,0,1
24549,157,9,0,0,7137,NewEntity,false,0,0,0,0,0,8,0,1
24548,381,9,0,0,7124,NewEntity,false,0,0,0,0,0,8,0,1
24547,98,9,0,0,7124,NewEntity,false,0,0,0,0,0,8,0,1
24546,365,21,0,2,7124,BugEntity,false,0,0,0,0,0,18,2,1
24545,408,21,0,2,7124,BugEntity,false,0,0,0,0,0,18,2,1
24544,967,10,0,0,7124,NewEntity,false,0,0,0,0,0,9,0,1
24543,310,21,0,2,7124,BugEntity,false,0,0,0,0,0,18,2,1
24542,444,74,1,5,9349,BugEntity,false,0,0,1,0,0,68,5,1
24541,186,10,0,0,7507,NewEntity,false,0,0,0,0,0,9,0,1
24540,330,30,0,3,7507,BugEntity,false,0,0,0,0,0,26,3,1
24539,428,40,1,4,7507,BugEntity,false,0,0,1,0,0,35,4,1
24538,35,11,0,1,7507,BugEntity,false,0,0,0,0,0,10,1,0
49107,180,110,5,10,85075,BugEntity,false,0,0,5,0,0,99,10,1
49104,105,75,9,2,40942,BugEntity,false,0,0,9,0,0,72,2,1
49098,583,362,38,14,163269,BugEntity,false,0,0,38,0,0,347,14,1
49096,217,247,13,6,127491,BugEntity,false,0,0,13,0,0,240,6,1
49095,527,372,24,10,158645,BugEntity,false,0,0,24,0,0,361,10,1
24520,210,8,1,0,3780,BugEntity,false,0,0,1,0,0,7,0,1
24519,464,51,2,3,14855,BugEntity,false,0,0,2,0,0,47,3,1
49093,7145,518,25,17,126596,BugEntity,false,0,0,25,0,0,500,17,1
24518,63,8,0,0,3706,NewEntity,false,0,0,0,0,0,7,0,1
49092,196,268,3,5,129609,BugEntity,false,0,0,3,0,0,262,5,1
24517,55,8,0,0,3706,NewEntity,false,0,0,0,0,0,7,0,1
24516,31,15,1,1,4099,BugEntity,false,0,0,1,0,0,14,1,0
49090,1586,438,57,75,200430,BugEntity,false,0,0,57,0,0,362,75,1
24515,81,9,0,0,3706,NewEntity,false,0,0,0,0,0,8,0,1
49089,394,303,28,10,138395,BugEntity,false,0,0,28,0,0,292,10,1
24514,553,14,0,1,5221,BugEntity,false,0,0,0,0,0,12,1,1
24513,106,9,0,0,3706,NewEntity,false,0,0,0,0,0,8,0,1
24512,126,9,0,0,3706,NewEntity,false,0,0,0,0,0,8,0,1
24511,146,9,0,0,4109,NewEntity,false,0,0,0,0,0,8,0,1
49085,468,266,12,3,88549,BugEntity,false,0,0,12,0,0,262,3,1
24510,78,17,2,0,9588,BugEntity,false,0,0,2,0,0,16,0,1
24509,79,17,2,0,9588,BugEntity,false,0,0,2,0,0,16,0,1
49083,469,406,22,6,96353,BugEntity,false,0,0,22,0,0,399,6,1
24508,79,17,2,0,9588,BugEntity,false,0,0,2,0,0,16,0,1
49082,911,426,14,8,124565,BugEntity,false,0,0,14,0,0,417,8,1
24507,78,9,0,0,4109,NewEntity,false,0,0,0,0,0,8,0,1
49081,418,460,24,6,96249,BugEntity,false,0,0,24,0,0,453,6,1
24506,38,9,0,0,4109,NewEntity,false,0,0,0,0,0,9,0,0
49080,947,511,15,15,121059,BugEntity,false,0,0,15,0,0,495,15,1
24505,36,9,0,0,3972,NewEntity,false,0,0,0,0,0,9,0,0
24504,42,14,1,0,5221,BugEntity,false,0,0,1,0,0,14,0,0
24503,47,9,0,0,3972,NewEntity,false,0,0,0,0,0,8,0,1
49077,1505,419,17,9,95555,BugEntity,false,0,0,17,0,0,409,9,1
24502,40,9,0,0,3972,NewEntity,false,0,0,0,0,0,9,0,0
49076,42,204,1,1,99427,BugEntity,false,0,0,1,0,0,202,1,1
24501,40,9,0,0,3972,NewEntity,false,0,0,0,0,0,9,0,0
49075,463,290,10,3,83241,BugEntity,false,0,0,10,0,0,286,3,1
