#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, total_files: 17597, total_files_alive: 3077, cacheTableSize: 0, cachesize: 310, blocksize: 155, prefetchsize: 31, cache replacement policy: LRU
Month,HitRate,NumCommits,NumFiles
3,100.0,487,164
6,100.0,662,242
9,100.0,865,400
12,97.06,1594,1613
15,96.62,2247,1894
18,91.17,2535,2293
21,91.77,2828,2875
24,91.15,3133,2993
27,91.96,3465,3496
30,92.06,3660,3597
33,90.18,4344,4317
36,85.18,5572,4626
39,85.78,6063,4770
42,83.38,6493,5100
45,83.89,7139,5629
48,79.9,7708,8276
51,81.11,8545,8756
54,77.37,9305,9556
57,78.02,10452,9866
60,78.22,11526,10214
63,78.22,12709,10589
66,78.51,13643,10880
69,75.19,14533,11090
72,75.3,15792,11384
75,75.32,17822,11790
78,75.7,19951,12555
81,70.9,22715,15120
84,71.07,25786,15420
87,71.66,28591,15936
90,71.93,30186,16084
93,72.16,32374,16317
96,72.15,33731,16740
99,72.31,34880,16953
102,72.41,35488,16968
105,72.44,36237,17166
108,72.45,36532,17224
111,72.45,36533,17224
