#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, total_files: 10041, total_files_alive: 3926, cacheTableSize: 0, cachesize: 390, blocksize: 195, prefetchsize: 39, cache replacement policy: LRU
Month,HitRate,NumCommits,NumFiles
3,71.65,431,2473
6,73.16,735,3175
9,73.65,1037,5495
12,74.68,1398,6037
15,73.75,1658,6084
18,73.2,1947,6145
21,74.02,2071,6200
24,74.06,2185,6207
27,72.97,2329,6225
30,73.05,2388,6247
33,73.15,2478,7547
36,73.31,2574,7620
39,73.41,2682,7683
42,73.43,2758,7839
45,73.41,2809,8129
48,73.37,2824,8646
51,73.34,2878,8675
54,73.34,2927,8685
57,73.33,2967,8687
60,73.49,3038,8702
63,73.58,3102,8707
66,73.79,3164,8775
69,73.78,3207,8780
72,73.88,3262,8791
75,74.15,3330,8807
78,74.16,3379,8822
81,74.27,3472,8833
84,74.6,3600,8860
87,74.64,3729,8872
90,74.58,3833,9204
93,74.7,3897,9224
96,74.66,3997,9229
99,74.68,4108,9245
102,74.36,4194,9259
105,74.37,4236,9266
108,74.34,4279,9269
111,75.0,4377,9839
114,72.53,4456,9858
117,72.47,4588,9887
120,71.25,4837,10009
123,71.2,4978,10021
126,71.17,5011,10025
