#number of hit, misses and time stayed in Cache for every file
#project: 1, total_files: 3841, total_files_alive: 2374, cacheTableSize: 3840, cachesize: 240, blocksize: 240, prefetchsize: 24, cache replacement policy: LRU
file_id,loc,last_type,duration
6077,62,3,9
6075,55,3,920
6075,55,2,10256
6075,55,2,21399
6074,72,3,5
6072,166,3,32
6072,166,2,1
6067,51,3,11553
6067,51,2,112
6067,51,2,5420
6066,59,3,5
6064,89,3,14
6063,151,3,22835
6060,309,3,58
6060,309,2,48657
6060,309,2,20
6059,112,3,12
6059,112,2,179
6059,112,2,48716
6059,112,2,685
6058,32,3,48908
6057,53,3,48908
6055,87,3,306
6054,168,3,84935
6054,168,2,4192
6054,168,2,4317
6051,148,3,83523
6049,80,3,1558
6047,119,3,1558
6047,119,2,126412
6046,296,3,8365
6046,296,2,23004
6045,87,3,2440
6045,87,2,7662
6041,257,3,2440
6041,257,2,7662
6038,45,3,1489
6038,45,2,162784
6027,111,3,93388
6027,111,2,50271
6025,357,3,33
6025,357,2,2764
6025,357,2,24271
6024,177,3,1328
6024,177,2,25110
6024,177,2,47455
6024,177,2,158099
6023,131,3,79244
6023,131,2,16
6023,131,2,79
6023,131,2,306
6022,76,3,196
6020,127,3,9739
6020,127,2,615
6019,360,3,0
6019,360,2,4
6019,360,2,61
6019,360,2,9795
6019,360,2,6
6019,360,2,264
6019,360,2,9
6019,360,2,316
6019,360,2,1446
6019,360,2,2466
6019,360,2,2
6019,360,2,43480
6019,360,2,28588
6019,360,2,0
6019,360,2,8634
6019,360,2,106474
6017,168,3,811
6017,168,2,33289
6017,168,2,37661
6017,168,2,143698
6015,60,3,344
6014,174,3,12
6014,174,2,26185
6013,78,3,781
6011,36,3,250204
6009,53,3,1125
6009,53,2,24725
6001,310,3,1588
6001,310,2,75
6000,155,3,0
6000,155,2,0
6000,155,2,0
6000,155,2,0
6000,155,2,0
6000,155,2,792
6000,155,2,25966
6000,155,2,26806
6000,155,2,425
6000,155,2,41
6000,155,2,692
6000,155,2,20842
6000,155,2,1442
6000,155,2,2477
6000,155,2,428
6000,155,2,44338
5999,373,3,64877
5998,353,3,2617
5997,239,3,2617
5997,239,2,4347
5996,134,3,3288
5996,134,2,117967
5995,54,3,529
5994,123,3,776
5994,123,2,7768
5994,123,2,8193
5993,50,3,1225
5978,479,3,6705
5978,479,2,411
5978,479,2,17
5978,479,2,708
5978,479,2,84
5978,479,2,3
5978,479,2,37
5978,479,2,144
5978,479,2,393
5978,479,2,5
5978,479,2,67
5978,479,2,529
5978,479,2,212
5978,479,2,6500
5978,479,2,200864
