#number of hit, misses and time stayed in Cache for every file
#project: 1, total_files: 3874, total_files_alive: 1373, cacheTableSize: 3800, cachesize: 140, blocksize: 140, prefetchsize: 14, cache replacement policy: LRU
file_id,loc,last_type,duration
6142,518,2,1
6142,518,2,1230
6142,518,2,2644
6142,518,2,0
6139,1265,2,1
6139,1265,2,3874
6136,246,2,1
6136,246,2,3874
6135,122,2,1
6135,122,2,3874
6133,396,2,1
6133,396,2,3874
6130,667,2,1
6130,667,2,3874
6123,255,2,1
6123,255,2,3874
6116,154,2,7172
6116,154,2,1
6116,154,2,9
6116,154,2,1379
6116,154,2,2481
6116,154,2,4
6116,154,2,0
6116,154,2,0
6116,154,2,0
6116,154,2,0
6116,154,2,170
6109,121,2,9177
6108,202,2,9177
6107,78,2,9177
6106,108,2,9225
6105,79,2,9225
6104,67,2,9225
6103,71,2,9272
6102,47,2,9272
6101,111,2,9272
6100,45,2,9272
6099,92,2,95
6099,92,2,9177
6099,92,2,0
6098,84,2,9272
6097,79,2,95
6097,79,2,9177
6097,79,2,0
6096,58,2,9272
6095,169,2,9272
6094,76,2,9272
6093,165,2,9272
6092,74,2,95
6092,74,2,9177
6092,74,2,0
6091,87,2,9272
6090,135,2,9272
6089,203,2,9272
6088,113,2,9272
6087,46,2,9272
6086,109,2,47
6086,109,2,9225
6086,109,2,0
6085,90,2,9272
6084,48,2,9272
6083,48,2,9272
6082,92,2,9272
6081,145,2,9272
6080,85,2,95
6080,85,2,9177
6080,85,2,0
6079,70,2,9272
6078,47,2,9272
6077,50,2,9272
6076,49,2,9272
6075,47,2,9272
6074,48,2,9272
6073,56,2,9272
6072,151,2,9272
6071,49,2,9272
6068,107,2,29
6068,107,2,9272
6068,107,2,0
6066,201,2,4
6066,201,2,9297
6066,201,2,0
6027,55,2,190199
6023,97,2,70875
6022,269,3,61947
6022,269,2,17379
6018,91,2,198701
6017,555,2,79451
6017,555,2,357
6017,555,2,32757
6017,555,2,7431
6017,555,2,15850
6017,555,2,14430
6017,555,2,947
5924,252,2,994
5883,1216,2,0
5880,1704,2,0
5862,444,2,0
5858,61,2,0
