#number of hit, misses and time stayed in Cache for every file
#project: 1, total_files: 3874, total_files_alive: 1373, cacheTableSize: 3800, cachesize: 140, blocksize: 70, prefetchsize: 14, cache replacement policy: LRU
file_id,loc,num_load,num_hits,num_misses,duration,reason,is_in_cache,HitPrefetch,HitCoChange,HitChangeEntity,HitNewEntity,LoadPrefetch,LoadCoChange,LoadChangeEntity,LoadNewEntity
0,0,0,0,0,7976232,0,false,0,0,0,0,0,0,0,0
6142,518,1,5,0,9994,BugEntity,false,0,0,5,0,0,1,0,0
6139,1265,1,2,1,9994,BugEntity,false,0,0,2,0,0,0,1,0
6136,246,1,3,0,9994,BugEntity,false,0,0,3,0,0,1,0,0
6135,122,1,3,0,9994,BugEntity,false,0,0,3,0,0,1,0,0
6133,396,1,3,0,9994,BugEntity,false,0,0,3,0,0,1,0,0
6130,667,1,3,0,9994,BugEntity,false,0,0,3,0,0,1,0,0
6123,255,1,3,0,9994,BugEntity,false,0,0,3,0,0,1,0,0
6116,154,1,11,1,17167,BugEntity,false,0,0,11,0,0,0,1,0
6109,121,1,2,0,16116,BugEntity,false,0,0,2,0,0,1,0,0
6108,202,1,1,1,16116,BugEntity,false,0,0,1,0,0,0,1,0
6107,78,1,2,0,16116,BugEntity,false,0,0,2,0,0,1,0,0
6106,108,1,2,0,16163,BugEntity,false,0,0,2,0,0,1,0,0
6105,79,1,2,0,16163,BugEntity,false,0,0,2,0,0,1,0,0
6104,67,1,2,0,16163,BugEntity,false,0,0,2,0,0,1,0,0
6103,71,1,2,0,16211,BugEntity,false,0,0,2,0,0,1,0,0
6102,47,1,2,0,16211,BugEntity,false,0,0,2,0,0,1,0,0
6101,111,1,2,0,16211,BugEntity,false,0,0,2,0,0,1,0,0
6100,45,1,2,0,16211,BugEntity,false,0,0,2,0,0,1,0,0
6099,92,1,4,0,16211,BugEntity,false,0,0,4,0,0,1,0,0
6098,84,1,2,0,16211,BugEntity,false,0,0,2,0,0,1,0,0
6097,79,1,4,0,16211,BugEntity,false,0,0,4,0,0,1,0,0
6096,58,1,2,0,16211,BugEntity,false,0,0,2,0,0,1,0,0
6095,169,1,2,0,16211,BugEntity,false,0,0,2,0,0,1,0,0
6094,76,1,2,0,16211,BugEntity,false,0,0,2,0,0,1,0,0
6093,165,1,2,0,16211,BugEntity,false,0,0,2,0,0,1,0,0
6092,74,1,4,0,16211,BugEntity,false,0,0,4,0,0,1,0,0
6091,87,1,2,0,16211,BugEntity,false,0,0,2,0,0,1,0,0
6090,135,1,2,0,16211,BugEntity,false,0,0,2,0,0,1,0,0
6089,203,1,1,1,16211,BugEntity,false,0,0,1,0,0,0,1,0
6088,113,1,2,0,16211,BugEntity,false,0,0,2,0,0,1,0,0
6087,46,1,2,0,16211,BugEntity,false,0,0,2,0,0,1,0,0
6086,109,1,4,0,16211,BugEntity,false,0,0,4,0,0,1,0,0
6085,90,1,2,0,16211,BugEntity,false,0,0,2,0,0,1,0,0
6084,48,1,2,0,16211,BugEntity,false,0,0,2,0,0,1,0,0
6083,48,1,2,0,16211,BugEntity,false,0,0,2,0,0,1,0,0
6082,92,1,2,0,16211,BugEntity,false,0,0,2,0,0,1,0,0
6081,145,1,2,0,16211,BugEntity,false,0,0,2,0,0,1,0,0
6080,85,1,4,0,16211,BugEntity,false,0,0,4,0,0,1,0,0
6079,70,1,2,0,16211,BugEntity,false,0,0,2,0,0,1,0,0
6078,47,1,2,0,16211,BugEntity,false,0,0,2,0,0,1,0,0
6077,50,1,2,0,16211,BugEntity,false,0,0,2,0,0,1,0,0
6076,49,1,2,0,16211,BugEntity,false,0,0,2,0,0,1,0,0
6075,47,1,2,0,16211,BugEntity,false,0,0,2,0,0,1,0,0
6074,48,1,2,0,16211,BugEntity,false,0,0,2,0,0,1,0,0
6073,56,1,2,0,16211,BugEntity,false,0,0,2,0,0,1,0,0
6072,151,1,2,0,16211,BugEntity,false,0,0,2,0,0,1,0,0
6071,49,1,2,0,16211,BugEntity,false,0,0,2,0,0,1,0,0
6068,107,1,4,0,16240,BugEntity,false,0,0,4,0,0,1,0,0
6066,201,1,3,1,16240,BugEntity,false,0,0,3,0,0,0,1,0
6028,202,1,0,1,10419,BugEntity,false,0,0,0,0,0,0,1,0
6027,55,3,2,0,36076,BugEntity,false,0,0,2,0,0,3,0,0
6026,230,3,1,0,35762,BugEntity,false,0,0,1,0,0,3,0,0
6025,115,3,1,0,31829,BugEntity,false,0,0,1,0,0,3,0,0
6024,307,3,1,0,31829,BugEntity,false,0,0,1,0,0,3,0,0
6023,97,5,2,0,116752,BugEntity,false,0,0,2,0,0,5,0,0
6022,269,5,2,0,58907,BugEntity,false,0,0,2,0,0,5,0,0
6020,117,5,1,0,58907,BugEntity,false,0,0,1,0,0,5,0,0
6019,35,5,0,0,58907,NewEntity,false,0,0,0,0,0,5,0,0
6018,91,6,2,0,64686,BugEntity,false,0,0,2,0,0,6,0,0
6017,555,5,6,2,132462,BugEntity,false,0,0,6,0,0,3,2,0
6016,160,1,1,0,38721,BugEntity,false,0,0,1,0,0,1,0,0
6015,183,1,1,0,49008,BugEntity,false,0,0,1,0,0,1,0,0
5964,77,1,1,0,36016,BugEntity,false,0,0,1,0,0,1,0,0
5963,1265,1,0,1,11869,BugEntity,false,0,0,0,0,0,0,1,0
