#number of hit, misses and time stayed in Cache for every file
#project: 1, total_files: 13440, total_files_alive: 3391, cacheTableSize: 11907, cachesize: 340, blocksize: 340, prefetchsize: 34, cache replacement policy: LRU
file_id,loc,last_type,duration
17241,491,1,77216
17240,328,1,77368
17238,169,2,1896
17238,169,1,75509
17237,679,1,77411
17236,616,1,82828
17236,616,1,36641
17234,1015,1,82940
17206,279,2,5763
17169,571,1,2014
17168,746,1,2014
17167,126,2,910
17154,190,1,1563
17146,397,1,1730
17136,148,1,3309
17136,148,1,980
17130,585,1,5652
17130,585,1,1563
17129,205,1,3926
17113,404,1,153213
17110,888,1,20583
17110,888,1,2014
17108,350,1,154311
17093,449,1,2930
17091,1239,1,2930
17091,1239,1,154601
17086,1008,1,93
17086,1008,2,151
17085,2570,2,2506
17085,2570,2,87307
17085,2570,2,77403
17084,832,2,4
17082,88,1,25984
17080,541,1,177436
17078,113,1,113
17072,337,1,47901
17070,675,2,356793
17069,918,1,1488
17069,918,1,47331
17065,828,1,272
17064,1713,1,272
17064,1713,1,61148
17062,579,1,2906
17061,124,2,7
17061,124,1,2329
17061,124,1,46152
17056,835,1,43538
17055,1756,2,487
17055,1756,1,43053
17055,1756,1,154478
17054,1920,1,49038
17054,1920,1,153213
17054,1920,1,67359
17054,1920,2,2285
17053,221,2,4233
17051,2432,1,203426
17050,210,1,45931
17049,463,1,203507
17044,204,1,47117
17042,399,1,51411
17039,933,1,31507
17020,539,1,126010
17017,688,1,75225
17017,688,1,2012
17007,177,1,15830
17005,206,1,63162
17002,363,1,33228
17001,165,1,33228
16997,148,1,16224
16995,193,1,123
16994,1566,1,125
16994,1566,1,33126
16994,1566,2,151
16994,1566,1,34181
16994,1566,1,60426
16994,1566,1,82828
16992,357,1,1886
16991,134,1,127810
16990,493,1,120
16990,493,1,63193
16990,493,1,64496
16988,314,1,175
16988,314,1,48792
16988,314,1,8658
16988,314,1,27329
16985,89,1,1895
16985,89,1,125953
16985,89,2,7
16984,261,1,1895
16982,176,1,130
16980,529,1,120
16980,529,1,49138
16980,529,1,70467
16964,1444,1,31255
16961,647,1,87821
16961,647,1,154311
16959,1174,1,31293
16959,1174,1,15699
16959,1174,1,263
16957,303,1,108098
16950,1061,1,2729
16939,960,2,102138
16939,960,1,144235
16915,59,1,117083
16915,59,1,791484
16915,59,1,453763
16915,59,1,1400082
16910,194,1,122185
16910,194,1,131
16910,194,1,547286
16910,194,1,832564
16910,194,1,2246650
16907,119,3,37
16907,119,2,4213
16907,119,2,82704
16907,119,1,37484
16907,119,1,125962
16907,119,1,663799
16907,119,1,1481010
16907,119,1,247500
16907,119,1,984770
16903,165,3,3395
16903,165,2,39
16903,165,2,6
16903,165,2,43
16903,165,1,128003
16903,165,1,33231
16903,165,1,758252
16895,180,3,3445
16895,180,2,25574
16895,180,2,5397
16895,180,2,236436
16895,180,2,3
16895,180,2,7
16895,180,2,168523
16895,180,2,49717
16895,180,2,738137
16895,180,2,414578
16895,180,2,6
16895,180,2,300885
16895,180,2,1726902
16891,70,1,1250297
16891,70,1,1599477
16886,205,3,4
16886,205,2,137201
16886,205,2,97447
16886,205,1,47118
16886,205,1,399144
16886,205,1,220628
16886,205,1,377237
16886,205,1,1416900
16886,205,1,1163707
16883,71,1,922780
16882,73,1,234826
16882,73,1,2461038
16882,73,1,1163707
16874,20,1,2
16872,22,3,2
16869,147,3,22
16869,147,2,3957082
16869,147,1,24985
14273,101,3,24
14273,101,2,24
14273,101,2,5607
14273,101,1,1134285
14266,26,1,669904
14266,26,1,476014
14261,47,3,3874529
14260,206,1,358
14260,206,1,207946
14260,206,2,88228
14260,206,1,66065
14260,206,1,3739267
14259,139,1,358
14259,139,1,1960
14259,139,1,27965
14259,139,1,150508
14259,139,1,22147
14259,139,1,93592
14259,139,1,4399055
14258,163,3,1
14258,163,1,5655
14258,163,2,197283
14258,163,1,25489
14258,163,2,9871
14258,163,1,59188
14258,163,1,1074116
14258,163,1,315482
14258,163,1,1322
14258,163,1,398966
14258,163,1,793506
14258,163,1,1106464
14257,99,1,2
14257,99,2,4322
14256,212,3,2
14256,212,1,6384
14256,212,2,141117
14256,212,2,3
14256,212,2,33295
14256,212,1,36
14256,212,1,62969
14256,212,1,116913
14256,212,1,123
14256,212,1,1023655
14256,212,1,1621722
14256,212,1,981130
14250,360,3,14397
14250,360,2,362
14250,360,1,5295
14250,360,1,202650
14250,360,1,89181
14250,360,1,63398
14250,360,1,33231
14250,360,1,1281508
14250,360,1,1148011
14250,360,1,1163707
14245,53,1,36066
14245,53,1,683611
14245,53,2,112589
14245,53,1,3081247
14245,53,1,525673
14236,30,1,1
14235,30,1,1
14234,76,3,1
14230,148,3,1
14230,148,2,20237
14230,148,1,4264
14230,148,1,5794
14230,148,1,454261
14230,148,1,3309
14230,148,2,981
14230,148,1,2452582
14230,148,1,1106464
14230,148,1,998958
14177,24,3,7
14176,23,3,2
14176,23,1,752661
14170,149,1,47832
14170,149,1,5790
14170,149,1,1069468
14170,149,1,1581
14170,149,1,1777046
14170,149,1,183902
14170,149,1,979805
14169,145,3,37761
14169,145,1,15884
14169,145,1,2559
14169,145,2,441977
14169,145,1,986636
14168,125,1,53657
14168,125,1,1069468
14168,125,1,1581
14168,125,1,1960949
14168,125,1,979805
14163,113,3,2
14163,113,2,1537268
14163,113,2,2434172
14159,137,1,72036
14159,137,1,232744
14159,137,1,836724
14159,137,1,1581
14159,137,1,3963
14159,137,1,1956986
14159,137,1,979805
14158,154,3,66243
14158,154,1,454261
14158,154,1,3563337
14157,48,1,66243
14157,48,1,4017599
14152,116,3,6
14152,116,1,38885
14152,116,1,18815
14152,116,1,15884
14152,116,1,3030651
14152,116,1,981130
14151,63,1,6
14151,63,1,38885
14151,63,1,18815
14151,63,1,4027666
14147,119,3,1
14147,119,2,40303
14147,119,1,18811
14147,119,1,1988383
14147,119,1,932823
14139,87,1,73680
14139,87,1,5812
14132,24,1,4508823
14128,44,1,4508823
14127,25,1,4508823
14125,58,3,3983149
14125,58,1,525673
14124,43,1,4508823
14123,37,1,4508823
14120,92,1,1249519
14120,92,1,2733630
14120,92,1,525673
14119,73,3,3983149
14119,73,1,525673
14118,94,1,1249519
14118,94,1,2733630
14118,94,1,525673
14117,228,3,1268410
14117,228,2,18597
14117,228,2,446189
14117,228,1,1266167
14117,228,1,983785
14117,228,1,372664
14117,228,1,153008
14116,210,3,1241029
14116,210,2,550060
14116,210,1,401625
14116,210,1,806648
14116,210,1,983785
14116,210,1,525673
14115,163,3,1249519
14115,163,1,2733630
14115,163,1,525673
14113,72,1,73474
14113,72,1,2942805
14113,72,1,966869
14113,72,1,525673
14112,35,3,3983149
14112,35,1,525673
14111,35,3,3983149
14111,35,1,525673
14109,707,3,3983149
14109,707,1,525673
14107,63,1,4508823
14106,204,3,4508823
14105,71,1,4508823
14104,70,1,4508823
14103,62,1,4508823
14102,63,1,4508823
14101,35,1,4508823
14100,35,1,4508823
14098,59,3,3983149
14098,59,1,525673
14097,64,3,3983149
14097,64,1,525673
14095,91,3,3983149
14095,91,1,525673
14094,42,3,3983149
14094,42,1,525673
14093,199,3,117768
14093,199,2,406131
14093,199,2,3459249
14093,199,1,525673
14093,199,1,542255
14093,199,2,24495
14093,199,2,4
14092,63,3,3983149
14092,63,1,525673
14091,142,1,105701
14091,142,1,2629623
14091,142,1,117377
14091,142,1,1130447
14091,142,1,525673
14090,43,3,3983149
14090,43,1,525673
14089,43,3,3983149
14089,43,1,525673
14088,153,1,2192716
14088,153,1,216231
14088,153,1,1574202
14088,153,1,525673
14087,75,3,3983149
14087,75,1,525673
14086,143,1,82004
14086,143,1,3309494
14086,143,2,578288
14086,143,1,13362
14086,143,2,432601
14086,143,1,93072
14086,143,1,513527
14085,43,3,3983149
14085,43,1,525673
14084,102,3,3983149
14084,102,1,525673
14083,625,3,78742
14083,625,2,9307
14083,625,1,183694
14083,625,2,238163
14083,625,1,166806
14083,625,1,86097
14083,625,2,174756
14083,625,2,603209
14083,625,1,2442372
14083,625,1,525673
14082,106,3,1007642
14082,106,2,6677
14082,106,2,458
14082,106,2,2968371
14082,106,1,525673
14081,305,3,1962212
14081,305,2,1619
14081,305,2,18363
14081,305,2,2000954
14081,305,1,525673
14080,102,3,3983149
14080,102,1,525673
14079,67,3,3983149
14079,67,1,525673
14077,81,3,3983149
14077,81,1,525673
14076,237,1,1793750
14076,237,1,398966
14076,237,1,1790433
14076,237,1,525673
14075,54,3,3983149
14075,54,1,525673
14073,137,1,2192716
14073,137,1,1776894
14073,137,1,13539
14073,137,1,525673
14072,1062,3,105701
14072,1062,1,404127
14072,1062,1,83407
14072,1062,1,83478
14072,1062,1,1516001
14072,1062,1,1776894
14072,1062,1,13539
14072,1062,1,525673
14071,32,1,105701
14071,32,1,4403121
14070,68,1,105701
14070,68,1,3007182
14070,68,1,1395939
14069,37,1,105701
14069,37,1,4403121
14068,115,3,997580
14068,115,1,1195135
14068,115,1,1790433
14068,115,1,525673
14067,147,1,2192716
14067,147,1,1790433
14067,147,1,525673
14066,185,1,2192716
14066,185,1,1776894
14066,185,1,13539
14066,185,1,525673
14065,229,1,2192716
14065,229,1,1790433
14065,229,1,525673
14064,114,3,3983149
14064,114,1,525673
14063,55,1,3969610
14063,55,1,13539
14063,55,1,525673
14062,295,1,3969610
14062,295,1,13539
14062,295,1,525673
14060,54,1,105701
14060,54,1,1406378
14060,54,1,2443870
14060,54,1,27199
14060,54,1,525673
14059,62,1,105701
14059,62,1,1406378
14059,62,1,117854
14059,62,1,2353215
14059,62,1,525673
14057,186,1,3968155
14057,186,1,14994
14057,186,1,525673
14055,83,3,3983149
14055,83,1,525673
14054,53,3,3983149
14054,53,1,525673
14051,49,3,3983149
14051,49,1,525673
14050,103,1,4508823
14049,47,3,3983149
14049,47,1,525673
14047,118,1,593235
14047,118,1,3389914
14047,118,1,525673
14046,392,1,593235
14046,392,1,654340
14046,392,2,1
14046,392,1,2735573
14046,392,1,525673
14045,98,3,3983149
14045,98,1,525673
14044,119,1,593235
14044,119,1,918844
14044,119,1,2471070
14044,119,1,525673
14042,160,1,1512079
14042,160,1,2471070
14042,160,1,525673
14039,86,1,1512079
14039,86,1,1599643
14039,86,1,871427
14039,86,1,525673
14037,79,3,3983149
14037,79,1,525673
14036,158,3,3983149
14036,158,1,525673
14035,206,1,593235
14035,206,1,3389914
14035,206,1,525673
14034,579,3,59244
14034,579,1,28805
14034,579,1,505185
14034,579,1,3389914
14034,579,1,525673
14033,235,1,593235
14033,235,1,3375853
14033,235,1,14060
14033,235,1,525673
14032,74,1,3983149
14032,74,1,525673
14031,239,1,3983149
14031,239,1,525673
14030,36,1,3983149
14030,36,1,525673
14029,163,1,593235
14029,163,1,3389914
14029,163,1,525673
14028,106,3,31073
14028,106,1,395
14028,106,1,3951680
14028,106,1,525673
14027,94,3,1427924
14027,94,2,0
14027,94,1,2555224
14027,94,1,525673
14026,59,1,3983149
14026,59,1,525673
14025,180,3,1452571
14025,180,2,14109
14025,180,1,2516469
14025,180,1,525673
14024,191,1,1540831
14024,191,1,2442318
14024,191,1,525673
14023,123,3,20313
14023,123,2,1401
14023,123,1,3372648
14023,123,1,561586
14023,123,1,27199
14023,123,1,525673
14022,223,1,3983149
14022,223,1,525673
14021,248,1,593235
14021,248,1,3389914
14021,248,1,525673
14019,475,1,2192716
14019,475,1,1790433
14019,475,1,525673
14017,297,3,1033513
14017,297,1,41352
14017,297,1,5060
14017,297,1,719091
14017,297,1,2169138
14017,297,1,14994
14017,297,1,709
14017,297,1,524963
14015,239,3,955566
14015,239,1,3027582
14015,239,1,525673
14015,239,1,292066
14015,239,2,1
14013,49,1,2192716
14013,49,1,1790433
14013,49,1,525673
14011,351,1,3983149
14011,351,1,525673
14009,146,1,3983149
14009,146,1,525673
14004,879,1,3983149
14004,879,1,525673
14002,83,1,3983149
14002,83,1,525673
