#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, total_files: 2807, total_files_alive: 1418, cacheTableSize: 0, cachesize: 140, blocksize: 70, prefetchsize: 14, cache replacement policy: LRU
Month,HitRate,NumCommits,NumFiles
3,100.0,46,115
6,100.0,56,123
9,100.0,138,165
12,100.0,197,185
15,96.53,311,255
18,96.46,368,283
21,96.19,417,294
24,96.11,423,299
27,96.12,448,319
30,95.86,483,332
33,95.81,491,333
36,95.72,496,350
39,95.75,502,351
42,95.75,515,355
45,95.68,538,393
48,95.15,596,464
51,95.02,646,503
54,94.44,733,514
57,93.87,864,537
60,93.46,961,576
63,92.95,1025,580
66,92.74,1071,584
69,90.21,1189,598
72,89.95,1261,618
75,89.51,1368,643
78,88.14,1494,795
81,88.01,1562,796
84,87.94,1625,806
87,87.42,1673,833
90,85.74,1820,897
93,85.78,1849,899
96,85.74,1876,911
99,85.6,1973,936
102,85.47,2054,941
105,85.24,2095,946
108,83.76,2168,1354
111,83.59,2241,1393
114,83.54,2287,1400
117,83.52,2322,1402
120,83.57,2359,1404
123,81.85,2419,1534
126,82.62,2612,1787
129,82.52,2697,1805
132,82.39,2739,1825
135,79.74,2819,1910
138,79.54,2913,2179
141,79.43,3011,2218
144,79.55,3114,2412
147,79.57,3189,2431
150,79.59,3271,2503
153,77.11,3368,2524
156,74.58,3436,2539
159,74.58,3497,2544
162,74.65,3549,2620
165,74.71,3613,2632
168,74.74,3656,2646
171,74.34,3750,2672
174,72.77,3880,2704
177,72.78,3947,2742
180,72.76,4010,2756
183,70.87,4072,2796
186,68.71,4098,2796
189,68.7,4099,2796
