#number of hit, misses and time stayed in Cache for every file
#project: 1, total_files: 6232, total_files_alive: 1678, cacheTableSize: 6187, cachesize: 170, blocksize: 170, prefetchsize: 17, cache replacement policy: LRU
file_id,loc,last_type,duration
10456,272,1,2799
10455,539,3,2799
10449,162,3,8686
10447,53,1,31448
10446,53,1,31448
10444,53,1,31448
10442,53,1,31448
10440,53,1,31448
10438,43,1,31448
10437,53,1,31448
10435,53,1,31448
10433,53,1,31448
10431,53,1,31448
10429,53,1,31448
10427,93,1,31448
10426,53,1,31448
10420,134,1,31448
10418,131,1,31448
10415,135,1,31448
10412,131,1,31448
10409,131,1,31448
10405,131,1,31448
10402,131,1,31448
10399,131,1,31448
10396,131,1,31448
10393,115,1,31448
10390,131,1,31448
10388,44,1,33512
10387,52,1,33512
10385,89,1,33512
10384,67,1,33512
10383,50,1,33512
10372,49,3,58550
10369,132,1,33512
10367,242,1,10138
10367,242,1,24818
10366,700,1,34956
10365,195,1,17632
10364,223,3,3261
10364,223,1,14370
10364,223,1,24818
10363,47,1,3377
10363,47,1,7624
10361,113,1,42666
10357,76,1,5926
10357,76,1,14370
10353,105,1,377
10292,66,3,987
10292,66,1,14183
10292,66,1,5926
10292,66,1,14370
10292,66,1,46243
10272,108,3,5420
10272,108,1,80647
10272,108,1,966
10271,105,1,66138
10270,150,1,27025
10270,150,1,17040
10262,39,1,67604
10261,385,3,12633
10261,385,1,30518
10261,385,1,31733
10261,385,1,15759
10261,385,1,111
10261,385,1,4067
10260,119,1,12633
10253,105,1,13687
10249,33,3,9
10245,91,3,24
10244,35,1,25627
10227,354,3,96188
10227,354,2,15611
10227,354,2,448
10227,354,2,6617
10227,354,2,388
10227,354,2,1751
10227,354,1,19671
10227,354,1,1754
10227,354,1,11
10224,65,1,82275
10224,65,1,39072
10219,79,1,33376
10218,136,1,89630
10218,136,1,31733
10212,75,1,33237
10211,142,3,33237
10208,225,1,80350
10208,225,1,6042
10208,225,1,39072
10207,78,1,80350
10207,78,1,45114
10201,61,1,80350
10200,143,3,45639
10200,143,1,103
10200,143,1,34607
10200,143,1,45114
10198,285,3,84919
10198,285,1,6042
10198,285,1,39072
10196,63,1,84919
10194,286,3,4335
10194,286,2,85554
10194,286,2,3336
10193,104,1,9934
10193,104,1,34778
10193,104,1,87987
10192,60,1,9934
10191,124,1,93587
10190,46,3,4333
10141,51,2,2021
10137,416,2,2021
10135,58,2,2021
10120,223,3,2021
10119,242,3,2021
10113,187,2,2021
10112,162,3,2021
10105,249,2,2021
10103,700,3,2021
10101,558,2,2021
10082,141,2,2021
10081,131,2,2021
10079,77,2,2021
10078,68,2,2021
10077,58,2,2021
10075,141,2,2021
10067,214,2,2021
10065,113,3,2021
10049,53,3,2021
10048,53,3,2021
10045,55,2,2021
10044,57,2,2021
10042,53,3,2021
10040,53,3,2021
10038,58,2,2021
10037,53,3,2021
10035,43,3,2021
10034,59,2,2021
10033,48,2,2021
10032,53,3,2021
10030,44,3,2021
10029,52,3,2021
10027,53,3,2021
10025,89,3,2021
10024,67,3,2021
10023,50,3,2021
10021,53,3,2021
10019,53,3,2021
10017,53,3,2021
10015,93,3,2021
10014,53,3,2021
10012,131,2,2021
10011,92,2,2021
9965,134,3,2021
9964,131,3,2021
9960,600,2,2021
9958,135,3,2021
9955,131,3,2021
9952,131,3,2021
9947,131,3,2021
9939,131,3,2021
9932,132,3,2021
9928,131,3,2021
9925,131,3,2021
9922,115,3,2021
9918,131,3,2021
9910,218,1,5885
9910,218,2,852
9906,87,1,37752
9902,397,1,37752
9901,83,1,37752
9900,141,1,37752
9899,227,1,37752
9896,52,1,36202
9895,713,1,36202
9895,713,1,17431
9895,713,1,3283
9895,713,1,3940
9894,56,1,15881
9894,56,1,20320
9893,818,1,37982
9893,818,1,15651
9893,818,1,3283
9893,818,1,3940
9892,401,1,15881
9892,401,1,20320
9892,401,1,1780
9892,401,1,18934
9892,401,1,3940
9886,105,1,63586
9881,150,1,61564
9880,396,1,61564
9880,396,1,2021
9862,566,1,75731
9861,64,1,75731
9858,270,1,63586
9855,385,1,61564
9855,385,1,2021
9854,119,1,61564
9850,39,1,63586
9842,138,1,61564
9842,138,1,2021
9841,64,1,61564
9841,64,1,2021
9837,650,1,38794
9837,650,1,2915
9837,650,1,15356
9837,650,1,36363
9837,650,1,17270
9837,650,1,3283
9837,650,1,7026
9836,304,1,110687
9836,304,1,2021
9834,75,1,110687
9834,75,1,2873
9832,254,1,49122
9832,254,1,63586
9831,242,1,49122
9831,242,1,63586
9829,88,1,110687
9828,102,1,110687
9826,576,1,110687
9826,576,1,2021
9825,81,1,110687
9824,128,1,110687
9823,224,1,110687
9822,728,1,110687
9821,101,1,110687
9817,156,1,110687
9817,156,1,14167
9815,1905,1,110687
9815,1905,1,2021
9805,248,1,110687
9804,92,1,97
9797,86,1,110687
9797,86,1,2021
9796,79,1,49122
9795,136,1,110687
9795,136,1,2021
9790,75,1,49122
9789,142,1,49122
9786,35,1,49122
9785,53,1,110687
9762,84,1,112709
9757,65,1,110687
9757,65,1,2021
9747,225,1,90359
9745,77,1,92784
9744,176,1,92784
9743,101,1,92784
9742,211,1,92784
9741,179,1,92784
9740,212,1,92784
9739,1000,1,92784
9738,275,1,92784
9737,625,1,92784
9737,625,1,7203
9736,479,1,92784
9735,50,1,92784
9734,746,1,92784
9732,106,1,92784
9731,388,1,56158
9731,388,1,36625
9731,388,1,16835
9731,388,1,22530
9730,151,1,90312
9730,151,1,47
9730,151,1,2424
9730,151,1,35280
9728,61,1,117579
9727,57,1,60254
9724,82,1,22034
9724,82,1,38794
9723,83,3,1827
9723,83,2,1282
9722,53,1,3119
9722,53,1,60254
9721,104,1,12895
9721,104,1,49122
9721,104,1,63586
9720,60,1,12895
9719,27,1,12895
9719,27,1,49122
9717,373,1,62018
9717,373,1,61564
9717,373,1,2021
9716,587,2,123583
9716,587,1,14167
9715,589,2,361
9715,589,2,1
9715,589,2,5641
9715,589,1,60254
9715,589,1,54634
9715,589,1,2690
9715,589,1,14167
9714,541,2,62018
9714,541,1,61564
9714,541,1,2021
9713,124,1,123583
9712,286,1,123583
9709,176,1,123583
9705,120,1,123583
9705,120,1,2021
9703,285,1,123583
9703,285,1,2021
9702,225,1,123583
9702,225,1,2021
9701,78,1,123583
9701,78,1,2021
9696,63,1,123583
9693,61,1,123583
9692,143,1,62018
9692,143,1,61564
9692,143,1,2021
9689,168,1,70396
9689,168,1,57325
9688,166,1,10062
9686,53,1,76428
9685,41,1,116182
9685,41,1,20320
9679,108,1,14480
9679,108,1,70396
9679,108,1,71905
9677,336,1,35697
9676,110,1,35697
9676,110,1,49122
9668,820,2,4374
9664,52,1,146385
9662,97,1,148407
9661,275,2,146385
9661,275,1,2021
9659,724,1,4374
9659,724,1,80445
9657,327,2,148407
9617,210,1,148407
9613,556,2,35697
9613,556,1,49122
9610,104,1,148407
9609,125,1,84820
9602,151,1,148407
9601,93,1,146385
9597,90,2,159529
9596,119,1,11122
9595,167,2,157508
9595,167,1,2021
9594,50,1,46820
9593,268,1,11122
9593,268,1,22801
9593,268,1,12895
9593,268,1,110687
9593,268,1,2021
9592,401,1,46820
9592,401,1,49122
9592,401,1,61564
9592,401,1,2021
9590,102,1,46820
9590,102,1,124970
9589,374,1,33924
9589,374,1,12895
9589,374,1,110687
9589,374,1,2021
9586,528,2,46820
9586,528,1,110687
9585,347,1,46820
9585,347,1,110687
9585,347,1,2021
9584,392,2,157508
9584,392,1,2021
9583,147,1,46820
9582,332,2,157508
9581,126,2,157508
9580,115,1,46820
9579,96,1,46820
9578,210,1,46820
9577,154,1,46820
9577,154,1,110687
9577,154,1,2021
9576,413,1,15497
9576,413,1,24431
9576,413,1,6760
9576,413,1,160
9576,413,1,110659
9576,413,1,2021
9575,39,1,46820
9574,95,2,157508
9573,410,2,157508
9573,410,1,2021
9571,189,2,157508
9571,189,1,2021
9570,691,2,157508
9570,691,1,2021
9569,124,1,46820
9569,124,1,71634
9569,124,1,39053
9568,215,2,157508
9568,215,1,2021
9567,180,1,46820
9567,180,1,110687
9567,180,1,2021
9566,129,1,11122
9566,129,1,35697
9566,129,1,110687
9566,129,1,2021
9565,99,2,157508
9564,491,2,157508
9564,491,1,2021
9563,38,1,46820
9562,267,2,159529
9559,510,1,33924
9559,510,1,12895
9559,510,1,49122
9559,510,1,22511
9559,510,1,41075
9558,86,1,46820
9558,86,1,112709
9557,224,2,16708
9557,224,1,17216
9557,224,1,12895
9557,224,1,49122
9557,224,1,61564
9556,212,1,46820
9556,212,1,110687
9555,120,2,157508
9554,186,1,33924
9554,186,1,12895
9554,186,1,14567
9554,186,1,34554
9554,186,1,61564
9554,186,1,2021
9553,104,1,46820
9552,181,2,157508
9552,181,1,2021
