#number of hit, misses and time stayed in Cache for every file
#project: 1, total_files: 10041, total_files_alive: 3926, cacheTableSize: 10025, cachesize: 390, blocksize: 390, prefetchsize: 39, cache replacement policy: LRU
file_id,loc,last_type,duration
23544,265,3,53769
23544,265,2,9523
23544,265,1,621
23543,100,1,63293
23543,100,1,79206
23539,147,3,9982
23531,40,1,14048
23531,40,2,1
23526,66,1,4212
23526,66,2,9836
23526,66,1,34555
23522,177,3,4076
23521,47,1,2680
23518,70,1,1417
23518,70,2,2599
23510,150,3,1417
23509,59,1,116551
23507,135,1,82
23507,135,1,1552
23507,135,1,2766
23507,135,2,2893
23507,135,1,99670
23507,135,1,16083
23498,55,1,68421
23498,55,1,82
23498,55,2,722
23498,55,1,106198
23497,118,1,25
23497,118,1,2442
23497,118,1,66036
23497,118,1,1551
23497,118,1,317
23497,118,2,895
23494,421,1,19
23493,695,3,19
23479,421,1,0
23478,695,3,0
23468,129,1,0
23468,129,1,0
23468,129,1,0
23468,129,2,0
23466,70,1,1
23466,70,1,0
23456,150,3,1
23453,46,1,2
23453,46,1,0
23453,46,2,0
23452,118,1,0
23452,118,1,0
23452,118,1,2
23452,118,1,0
23452,118,1,0
23452,118,2,0
23450,124,1,0
23450,124,1,34090
23450,124,2,0
23449,110,3,0
23449,110,2,0
23449,110,2,0
23449,110,2,0
23449,110,1,0
23447,102,1,218953
23447,102,1,130956
23444,22,1,213289
23440,30,1,213289
23439,217,3,5188
23439,217,1,3
23439,217,2,15
23439,217,2,218954
23439,217,1,2818
23439,217,1,128138
23439,217,1,1522
23438,131,3,8
23438,131,1,234
23438,131,1,5178
23437,152,1,9
23437,152,2,233
23437,152,1,149
23437,152,1,5029
23436,133,1,92258
23433,143,3,275121
23424,74,3,27
23424,74,2,1027
23424,74,1,82529
23421,40,1,61648
23418,26,3,83623
23418,26,2,275121
23417,980,3,83623
23417,980,2,275121
23242,49,1,41693
23236,102,1,7817
23230,722,1,163443
23221,185,1,312066
23221,185,1,14
23221,185,1,8220
23218,217,1,289987
23218,217,1,20641
23217,175,1,113067
23217,175,1,30187
23217,175,1,166241
23216,117,1,7983
23212,226,1,113067
23212,226,1,5568
23212,226,2,24618
23210,90,1,7983
23209,102,1,7983
23207,65,1,113067
23207,65,1,30187
23206,145,1,107727
23206,145,1,5339
23206,145,1,220284
23205,218,1,113067
23205,218,1,30187
23204,48,1,5507
23204,48,1,101987
23204,48,1,8393
23203,45,1,41693
23202,26,1,41693
23195,182,1,7983
23195,182,1,323856
23195,182,1,132529
23193,92,1,144589
23192,44,1,334707
23105,168,3,21026
23093,143,3,1353
23093,143,2,19843
23093,143,1,11323
23093,143,1,4323
23082,125,1,21227
23082,125,1,7
23082,125,1,2633
23082,125,2,1
23082,125,2,3080
23082,125,1,57996
23081,34,1,21235
23080,219,3,21227
23080,219,1,7
23080,219,1,15662
23080,219,1,48050
23078,41,1,21235
23078,41,1,52287
23073,90,1,21235
23073,90,1,52287
23073,90,1,11425
23047,1281,2,28317
23036,890,1,15862
23018,536,2,162
23018,536,2,199
23018,536,2,1054
23018,536,1,32138
23018,536,1,15862
23018,536,2,62
23018,536,2,15607
23017,483,2,72
23017,483,2,995
23017,483,2,1054
23015,747,1,45353
23015,747,2,72
22974,462,1,428973
22969,311,1,52579
22966,266,1,52579
22965,99,1,52579
22965,99,2,79823
22960,147,3,12
22949,40,1,12
22949,40,2,0
22944,66,1,7
22944,66,1,11
22940,177,1,6
22939,113,1,78
22930,223,1,0
22929,70,1,0
22929,70,1,0
22904,150,3,0
22891,478,1,69231
22891,478,1,5600
22891,478,1,144799
22867,387,1,8038
22867,387,1,71918
22860,398,1,8038
22860,398,1,71918
22860,398,1,71994
22857,110,3,9
22857,110,2,11813
22857,110,1,145698
22856,90,1,0
22847,157,2,96339
22847,157,1,17
22847,157,1,45
22842,41,1,22
22841,61,1,22
22841,61,1,29896
22841,61,1,157521
22841,61,1,2330
22840,285,1,0
22840,285,1,21
22840,285,1,29897
22840,285,2,157521
22840,285,1,2330
22839,116,1,0
22839,116,1,0
22839,116,1,21
22831,481,1,22876
22830,665,1,22876
22830,665,1,120184
22830,665,1,72
22830,665,1,992
22830,665,1,1057
22830,665,1,63669
22828,609,2,3
22814,244,2,48746
22794,90,1,239941
22783,870,2,239188
22783,870,1,72
22783,870,1,992
22783,870,1,1057
22783,870,1,63669
22781,312,1,142592
22781,312,1,11448
22774,324,1,142592
22774,324,1,11448
22763,338,2,124235
22753,529,1,175374
22753,529,1,52579
22753,529,1,110429
22750,418,1,1963
22638,141,1,203667
22636,876,1,158692
22629,86,1,203667
22629,86,1,158692
22619,143,1,100988
22619,143,1,358745
22618,143,1,100988
22618,143,1,358745
22617,143,1,100988
22617,143,1,83623
22617,143,1,275121
22616,143,1,100988
22616,143,1,83623
22616,143,1,275121
22615,143,1,100988
22615,143,1,83623
22615,143,1,275121
22614,143,1,100988
22614,143,1,83623
22614,143,1,275121
22613,143,1,100988
22613,143,1,83623
22613,143,1,275121
22612,143,1,100988
22612,143,1,358745
22611,143,1,100988
22611,143,1,358745
22610,143,1,100988
22610,143,1,358745
22609,143,1,100988
22609,143,1,358745
22604,143,1,100988
22604,143,1,83623
22604,143,1,275121
22603,143,1,100988
22603,143,1,83623
22603,143,1,275121
22602,143,1,100988
22602,143,1,83623
22602,143,1,275121
22601,143,1,100988
22601,143,1,83623
22601,143,1,275121
22600,128,1,100988
22599,128,1,100988
22598,128,1,100988
22597,128,1,100988
22596,143,1,100988
22596,143,1,83623
22596,143,1,275121
22595,143,1,100988
22595,143,1,83623
22595,143,1,275121
22594,143,1,100988
22594,143,1,83623
22594,143,1,275121
22593,143,1,100988
22593,143,1,83623
22593,143,1,275121
22592,143,1,100988
22592,143,1,83623
22592,143,1,275121
22591,125,1,100988
22591,125,1,83623
22591,125,1,275121
22590,125,1,100988
22590,125,1,83623
22590,125,1,275121
22589,125,1,100988
22589,125,1,83623
22589,125,1,275121
22588,125,1,100988
22588,125,1,83623
22588,125,1,275121
22587,125,1,100988
22587,125,1,83623
22587,125,1,275121
22586,125,1,100988
22586,125,1,358745
22585,125,1,100988
22585,125,1,358745
22584,143,1,100988
22584,143,1,83623
22584,143,1,275121
22583,143,1,100988
22583,143,1,83623
22583,143,1,275121
22582,143,1,100988
22582,143,1,83623
22582,143,1,275121
22581,143,1,100988
22581,143,1,358745
22580,143,1,100988
22580,143,1,83623
22580,143,1,275121
22579,143,1,100988
22579,143,1,358745
22578,143,1,100988
22578,143,1,358745
22577,143,1,100988
22577,143,1,358745
22576,128,1,100988
22575,128,1,100988
22574,125,1,100988
22574,125,1,358745
22573,143,1,100988
22573,143,1,83623
22573,143,1,275121
22572,143,1,100988
22572,143,1,83623
22572,143,1,275121
22571,128,1,100988
22570,128,1,100988
22569,128,1,100988
22566,143,1,100988
22566,143,1,83623
22566,143,1,275121
22565,143,1,100988
22565,143,1,83623
22565,143,1,275121
22564,143,1,100988
22564,143,1,83623
22564,143,1,275121
22560,143,1,100988
22560,143,1,83623
22560,143,1,275121
22559,143,1,100988
22559,143,1,83623
22559,143,1,275121
22558,143,1,100988
22558,143,1,83623
22558,143,1,275121
22557,125,1,100988
22557,125,1,83623
22557,125,1,275121
22556,125,1,100988
22556,125,1,83623
22556,125,1,275121
22555,128,1,100988
22554,128,1,100988
22553,143,1,100988
22553,143,1,83623
22553,143,1,275121
22552,143,1,100988
22552,143,1,358745
22548,128,1,100988
22547,128,1,100988
22546,128,1,100988
22545,128,1,100988
22544,128,1,100988
22543,143,1,100988
22543,143,1,358745
22542,143,1,100988
22542,143,1,358745
22541,125,1,100988
22541,125,1,358745
22540,125,1,100988
22540,125,1,358745
22539,143,1,100988
22539,143,1,83623
22539,143,1,275121
22538,143,1,100988
22538,143,1,83623
22538,143,1,275121
22537,143,1,100988
22537,143,1,83623
22537,143,1,275121
22536,143,1,100988
22536,143,1,83623
22536,143,1,275121
22535,143,1,100988
22535,143,1,83623
22535,143,1,275121
22534,143,1,100988
22534,143,1,83623
22534,143,1,275121
22533,143,1,100988
22533,143,1,83623
22533,143,1,275121
22532,143,1,100988
22532,143,1,83623
22532,143,1,275121
22531,143,1,100988
22531,143,1,83623
22531,143,1,275121
22530,143,1,100988
22530,143,1,83623
22530,143,1,275121
22529,143,1,100988
22529,143,1,83623
22529,143,1,275121
22528,143,1,100988
22528,143,1,358745
22527,143,3,100988
22527,143,2,83623
22527,143,2,275121
22526,143,3,100988
22526,143,2,358745
22525,143,3,100988
22525,143,2,83623
22525,143,2,275121
22524,143,3,100988
22524,143,2,358745
22523,143,3,100988
22523,143,2,358745
22522,143,3,100988
22522,143,2,358745
22521,143,3,100988
22521,143,2,358745
22520,143,3,100988
22520,143,2,358745
22519,143,3,100988
22519,143,2,358745
22518,143,3,100988
22518,143,2,358745
22517,143,3,100988
22517,143,2,358745
22516,143,3,100988
22516,143,2,358745
22515,143,3,100988
22515,143,2,358745
22514,143,3,100988
22514,143,2,358745
22513,143,3,100988
22513,143,2,358745
22512,143,3,100988
22512,143,2,358745
22511,143,3,100988
22511,143,2,83623
22511,143,2,275121
22510,143,3,100988
22510,143,2,83623
22510,143,2,275121
22509,143,3,100988
22509,143,2,83623
22509,143,2,275121
22508,143,3,100988
22508,143,2,83623
22508,143,2,275121
22507,143,3,100988
22507,143,2,358745
22506,143,3,100988
22506,143,2,358745
22505,143,3,100988
22505,143,2,83623
22505,143,2,275121
22504,143,3,100988
22504,143,2,83623
22504,143,2,275121
22503,143,3,100988
22503,143,2,358745
22502,143,3,100988
22502,143,2,358745
22501,143,3,100988
22501,143,2,358745
22500,143,3,100988
22500,143,2,83623
22500,143,2,275121
22499,143,3,100988
22499,143,2,83623
22499,143,2,275121
22498,143,3,100988
22498,143,2,358745
22497,143,3,100988
22497,143,2,358745
