#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, total_files: 10041, total_files_alive: 3926, cacheTableSize: 0, cachesize: 390, blocksize: 195, prefetchsize: 39, cache replacement policy: LRU
Month,HitRate,NumCommits,NumFiles
3,71.69,431,2473
6,73.12,735,3175
9,73.6,1037,5495
12,74.64,1398,6037
15,73.72,1658,6084
18,73.16,1947,6145
21,73.99,2071,6200
24,74.03,2185,6207
27,72.96,2329,6225
30,73.04,2388,6247
33,73.14,2478,7547
36,73.3,2574,7620
39,73.4,2682,7683
42,73.42,2758,7839
45,73.4,2809,8129
48,73.37,2824,8646
51,73.33,2878,8675
54,73.34,2927,8685
57,73.32,2967,8687
60,73.48,3038,8702
63,73.56,3102,8707
66,73.78,3164,8775
69,73.76,3207,8780
72,73.86,3262,8791
75,74.13,3330,8807
78,74.14,3379,8822
81,74.26,3472,8833
84,74.59,3600,8860
87,74.62,3729,8872
90,74.56,3833,9204
93,74.69,3897,9224
96,74.65,3997,9229
99,74.67,4108,9245
102,74.35,4194,9259
105,74.36,4236,9266
108,74.33,4279,9269
111,74.99,4377,9839
114,72.5,4456,9858
117,72.44,4588,9887
120,71.22,4837,10009
123,71.17,4978,10021
126,71.14,5011,10025
