#number of hit, misses and time stayed in Cache for every file
#project: 1, total_files: 12423, total_files_alive: 6797, cacheTableSize: 12419, cachesize: 680, blocksize: 680, prefetchsize: 68, cache replacement policy: LRU
file_id,loc,last_type,duration
19737,224,1,50341
19737,224,1,1401
19737,224,1,1320561
19721,273,1,6926
19721,273,1,70554
19715,110,1,9944
19715,110,1,142446
19713,121,1,209
19712,170,1,209
19712,170,1,1603482
19711,98,1,209
19710,57,1,209
19709,80,1,209
19708,172,1,209
19708,172,1,1603482
19707,97,1,209
19704,255,1,209
19704,255,1,9734
19704,255,1,142446
19703,39,1,9944
19669,160,1,144
19669,160,1,223
19654,143,1,11209
19653,47,1,11209
19652,134,1,11209
19652,134,1,1095130
19652,134,2,239395
19651,188,1,11209
19650,156,1,11209
19644,259,1,104
19643,231,1,104
19641,194,1,104
19640,212,1,104
19636,231,1,104
19636,231,1,11104
19635,57,1,11209
19634,55,1,104
19634,55,1,11104
19628,124,1,11209
19626,34,1,11209
19624,54,1,11209
19619,131,1,747
19619,131,2,131
19615,155,1,5787
19614,107,1,1272
19614,107,1,7650
19614,107,2,20
19614,107,1,0
19613,46,3,267
19613,46,1,1005
19613,46,1,7670
19599,257,1,1285
19599,257,1,4501
19599,257,1,144
19598,722,1,1272
19598,722,1,12
19598,722,1,4501
19598,722,1,144
19598,722,1,199
19598,722,2,24
19598,722,1,54
19598,722,2,2
19598,722,2,2520
19597,112,1,2001
19597,112,1,4153
19597,112,2,1
19595,126,1,5787
19595,126,1,144
19594,262,1,5787
19591,341,1,15420
19589,144,1,5787
19589,144,1,144
19587,93,1,5931
19586,360,1,1285
19586,360,1,4501
19586,360,1,3201
19585,101,1,5787
19572,18,3,236
19553,28,1,1683868
19547,41,1,457
19547,41,1,1088
19547,41,1,22051
19525,23,1,5458
19523,118,1,1201
19523,118,1,1494487
19520,57,1,54
19520,57,1,8645
19520,57,1,5525
19518,99,1,54
19518,99,1,1512035
19517,115,1,54
19517,115,1,11404
19517,115,1,179272
19517,115,1,432730
19516,493,1,46
19516,493,1,18745
19516,493,1,20487
19516,493,1,5952
19512,184,1,623
19512,184,1,44723
19512,184,1,1469474
19512,184,1,60
19511,82,1,623
19510,101,1,623
19510,101,1,1512902
19510,101,1,1295
19509,276,1,623
19509,276,1,1424
19509,276,1,1106
19509,276,1,39081
19509,276,1,1472431
19508,172,1,623
19506,257,1,623
19506,257,1,48423
19506,257,1,1465774
19506,257,1,60
19505,234,1,623
19504,149,1,623
19503,83,1,623
19503,83,1,1328
19503,83,1,40284
19503,83,1,1603726
19501,113,1,42447
19500,111,1,17258
19499,129,1,17258
19499,129,1,25188
19498,132,1,17258
19498,132,1,25188
19497,159,1,17258
19496,157,1,17258
19495,248,1,42447
19489,269,1,30482
19489,269,1,17167
19487,277,1,30482
19487,277,1,17408
19486,220,1,17325
19486,220,1,31721
19486,220,1,477282
19486,220,1,639
19485,178,1,42237
19484,166,1,17325
19484,166,1,27282
19484,166,1,481721
19483,88,1,42237
19483,88,1,3110
19483,88,1,3668
19482,245,1,2958
19482,245,1,39278
19482,245,1,1318
19482,245,1,1724
19482,245,1,3734
19481,74,1,17258
19481,74,1,21692
19481,74,1,3286
19480,89,1,49015
19479,116,1,17258
19479,116,1,21692
19479,116,1,3286
19479,116,1,9944
19478,182,1,449
19478,182,1,48598
19478,182,1,1465774
19478,182,1,60
19477,381,3,339
19477,381,1,109
19477,381,1,16809
19477,381,1,24978
19477,381,1,2371
19477,381,1,738
19477,381,1,581216
19477,381,1,886962
19477,381,1,1295
19477,381,1,60
19476,61,1,17258
19475,566,1,449
19475,566,1,16809
19475,566,1,24978
19475,566,1,5432
19475,566,1,520
19475,566,1,478140
19474,149,1,449
19474,149,1,16876
19473,194,1,449
19473,194,1,47219
19473,194,1,1598294
19472,249,1,449
19472,249,1,41787
19472,249,1,2371
19472,249,1,3581
19472,249,1,857
19472,249,1,1465774
19472,249,1,60
19472,249,1,15089
19471,200,1,449
19471,200,1,1514372
19471,200,1,60
19470,62,1,17258
19469,499,1,449
19469,499,1,2508
19469,499,1,46
19469,499,1,14253
19469,499,1,13058
19469,499,1,1362
19469,499,1,10558
19469,499,1,2371
19469,499,1,3041
19469,499,1,19
19469,499,1,222
19469,499,1,12
19469,499,1,1143
19468,196,1,449
19468,196,1,16809
19468,196,1,30391
19468,196,1,1598313
19467,540,1,449
19467,540,1,2508
