#number of hit, misses and time stayed in Cache for every file
#project: 1, total_files: 3874, total_files_alive: 1373, cacheTableSize: 3800, cachesize: 140, blocksize: 140, prefetchsize: 14, cache replacement policy: LRU
file_id,loc,last_type,duration
6142,518,1,1
6142,518,1,1230
6142,518,1,2644
6142,518,1,0
6139,1265,1,1
6139,1265,1,3874
6136,246,1,1
6136,246,1,3874
6135,122,1,1
6135,122,1,3874
6133,396,1,1
6133,396,1,3874
6130,667,1,1
6130,667,1,3874
6123,255,1,1
6123,255,1,3874
6116,154,1,7172
6116,154,1,1
6116,154,1,9
6116,154,1,1379
6116,154,1,2481
6116,154,2,4
6116,154,1,0
6116,154,1,0
6116,154,1,0
6116,154,1,0
6116,154,2,170
6109,121,1,9177
6108,202,1,9177
6107,78,1,9177
6106,108,1,9225
6105,79,1,9225
6104,67,1,9225
6103,71,1,9272
6102,47,1,9272
6101,111,1,9272
6100,45,1,9272
6099,92,1,95
6099,92,1,9177
6099,92,1,0
6098,84,1,9272
6097,79,1,95
6097,79,1,9177
6097,79,1,0
6096,58,1,9272
6095,169,1,9272
6094,76,1,9272
6093,165,1,9272
6092,74,1,95
6092,74,1,9177
6092,74,1,0
6091,87,1,9272
6090,135,1,9272
6089,203,1,9272
6088,113,1,9272
6087,46,1,9272
6086,109,1,47
6086,109,1,9225
6086,109,1,0
6085,90,1,9272
6084,48,1,9272
6083,48,1,9272
6082,92,1,9272
6081,145,1,9272
6080,85,1,95
6080,85,1,9177
6080,85,1,0
6079,70,1,9272
6078,47,1,9272
6077,50,1,9272
6076,49,1,9272
6075,47,1,9272
6074,48,1,9272
6073,56,1,9272
6072,151,1,9272
6071,49,1,9272
6068,107,1,29
6068,107,1,9272
6068,107,1,0
6066,201,1,4
6066,201,1,9297
6066,201,1,0
6027,55,1,190199
6023,97,1,70875
6022,269,1,61947
6022,269,1,17379
6018,91,1,198701
6017,555,2,79451
6017,555,1,357
6017,555,1,32757
6017,555,1,7431
6017,555,1,15850
6017,555,1,14430
6017,555,1,947
5924,252,1,994
5883,1216,1,0
5880,1704,1,0
5862,444,1,0
5858,61,1,0
5857,330,1,0
5845,78,2,1103
5839,1036,1,12693
5818,716,1,180
5816,3845,1,8711
5808,498,2,173844
5808,498,2,45
5806,117,3,7
5806,117,1,144
11944,90,1,2
5793,1086,1,1313
5793,1086,1,283462
5792,906,1,1313
5792,906,1,213096
5792,906,1,70366
5791,658,1,1313
5791,658,1,283462
5790,322,1,1313
5790,322,1,191137
5790,322,1,92325
5789,1353,1,1313
5789,1353,1,24027
5789,1353,1,257733
5789,1353,1,0
5789,1353,1,0
5789,1353,1,1701
5789,1353,1,21715
5789,1353,1,66472
5789,1353,1,0
5789,1353,1,0
5788,720,1,212553
5788,720,1,2911
5787,480,1,1313
5787,480,1,283462
5786,321,1,1313
11925,154,1,4399
5781,369,1,1313
11923,184,1,4399
11923,184,1,35530
5780,436,1,202639
5769,216,1,178971
5769,216,1,32757
5769,216,1,7431
5769,216,1,15850
5769,216,1,14430
5769,216,1,947
5764,153,1,14441
5764,153,2,5
5764,153,1,4494
5759,44,3,0
5759,44,2,738
5752,223,1,122605
5748,151,1,354132
5746,265,1,31377
5746,265,1,8725
11887,901,1,11557
5744,174,3,0
5744,174,2,0
5744,174,1,63405
5744,174,1,9090
5743,255,1,63405
5743,255,1,99340
5743,255,2,0
5743,255,1,69362
5742,27,1,0
5738,395,2,226144
5738,395,1,24315
5738,395,2,6202
5738,395,1,2897
5738,395,1,30029
5738,395,1,0
5738,395,1,1656
5738,395,1,27158
11877,610,1,4229
5733,101,1,1696
5728,280,3,0
5726,221,1,98042
5726,221,1,142823
5726,221,1,49146
5723,236,1,268263
5723,236,1,21548
5723,236,2,2552
5723,236,1,1825
5719,143,1,0
5719,143,1,98042
5719,143,1,142823
5719,143,1,49146
5719,143,1,2729
5719,143,1,1446
5718,198,1,98042
5715,119,1,17
5715,119,2,4344
5714,303,3,17
5714,303,1,400066
5713,385,1,0
5713,385,1,8553
5713,385,1,80610
5713,385,1,142704
5713,385,1,256371
5713,385,1,16
5713,385,2,65
5713,385,1,41881
11850,273,1,66369
5705,92,1,0
5705,92,1,530203
5704,172,1,0
5704,172,1,48588
11846,89,1,3921
5703,207,1,50262
5703,207,1,100554
5703,207,1,379386
11843,806,1,86400
5698,337,1,76272
5698,337,2,13229
5696,204,1,15705
5696,204,1,151025
5690,337,1,171033
5690,337,1,14441
5690,337,1,4499
11829,231,1,12743
11827,98,1,116723
11827,98,1,28798
11827,98,1,82098
5684,127,1,0
5684,127,1,0
5684,127,1,1
5682,155,3,199
5682,155,1,34785
5681,1309,2,79609
5681,1309,1,32963
5680,170,1,0
5680,170,1,34985
5680,170,1,0
5678,108,1,34985
5676,80,1,0
5676,80,1,10620
5676,80,1,344063
5675,186,3,0
5675,186,1,1228
5672,244,1,426452
5671,215,2,0
5669,176,1,0
5669,176,1,7910
5669,176,1,565240
5667,98,1,0
5666,126,1,0
5665,134,1,0
11807,483,1,194551
5664,100,1,0
5663,103,1,7910
11801,1126,1,2
11801,1126,1,43
11800,77,1,272258
5657,323,1,0
11799,92,1,44402
11799,92,1,50448
11799,92,1,93591
5656,195,1,0
5656,195,1,0
5656,195,1,0
5654,980,1,0
