#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, total_files: 13440, total_files_alive: 3391, cacheTableSize: 0, cachesize: 340, blocksize: 170, prefetchsize: 34, cache replacement policy: LRU
Month,HitRate,NumCommits,NumFiles
3,99.36,121,69
6,99.83,385,147
9,99.89,634,292
12,98.49,1103,613
15,96.09,1481,888
18,95.34,2010,1188
21,91.5,2358,1676
24,88.52,3762,3132
27,88.96,5158,4199
30,89.16,5669,4768
33,89.33,5993,4857
36,86.76,6520,5148
39,86.71,7020,5215
42,86.79,7517,5260
45,86.8,8090,5376
48,79.7,8542,5478
51,77.74,8911,5535
54,77.77,9238,5571
57,77.83,9489,5611
60,77.97,10110,5683
63,78.08,10713,5723
66,78.09,10973,5786
69,78.07,11147,5805
72,78.05,11346,5817
75,78.06,11507,5824
78,78.06,11684,5830
81,77.44,12140,6139
84,77.47,12412,7389
87,77.41,12577,7395
90,77.37,12805,7463
93,77.33,13103,7607
96,77.32,13156,7615
99,77.33,13226,10147
102,77.32,13396,11403
105,77.34,13665,11417
108,77.39,13823,11425
111,77.4,13873,11436
114,77.41,13975,11440
117,77.4,14158,11451
120,77.38,14286,11460
123,77.39,14435,11468
126,77.37,14557,11478
129,77.35,14650,11481
132,77.36,14729,11486
135,77.34,14786,11488
138,77.34,14817,11488
141,77.34,14835,11489
144,77.33,14885,11490
147,77.33,14962,11494
150,77.35,15007,11517
153,77.4,15036,11522
156,77.39,15051,11526
159,77.39,15112,11540
162,77.39,15133,11540
165,77.39,15152,11549
168,77.39,15215,11551
171,77.45,15279,11558
174,77.46,15320,11559
177,77.45,15328,11559
180,77.44,15366,11559
183,77.5,15398,11559
186,77.5,15435,11561
189,77.5,15450,11561
192,77.5,15469,11561
195,77.49,15547,11568
198,77.48,15578,11569
