#number of hit, misses and time stayed in Cache for every file
#project: 1, total_files: 13440, total_files_alive: 3391, cacheTableSize: 7022, cachesize: 680, blocksize: 680, prefetchsize: 34, cache replacement policy: LRU
file_id,loc,num_load,num_hits,num_misses,duration,reason,is_in_cache,HitPrefetch,HitCoChange,HitChangeEntity,HitNewEntity,LoadPrefetch,LoadCoChange,LoadChangeEntity,LoadNewEntity
0,0,0,0,0,8678058,0,false,0,0,0,0,0,0,0,0
12286,-1,103,16,10,2691988,CoChange,true,0,0,16,0,0,92,10,1
12283,-1,14,2,8,208997,CoChange,false,0,0,2,0,0,5,8,1
12279,-1,87,7,12,2338768,CoChange,false,0,0,7,0,0,74,12,1
24565,2570,1,0,0,26444,NewEntity,false,0,0,0,0,0,0,0,1
12276,-1,4,0,1,240212,CoChange,false,0,0,0,0,0,2,1,1
12274,67,9,3,6,78144,CoChange,false,0,0,3,0,0,2,6,1
12272,44,44,0,11,244038,BugEntity,false,0,0,0,0,0,33,11,0
12271,-1,55,3,9,1232454,CoChange,true,0,0,3,0,0,46,9,0
12270,-1,17,4,11,378350,CoChange,false,0,0,4,0,0,5,11,1
12267,-1,114,28,3,3276355,CoChange,true,0,0,28,0,0,111,3,0
24550,1035,1,0,0,26444,NewEntity,false,0,0,0,0,0,0,0,1
24546,1920,1,0,0,26444,NewEntity,false,0,0,0,0,0,0,0,1
12246,-1,82,48,15,4888779,CoChange,true,0,0,48,0,0,66,15,1
12241,-1,18,1,9,148775,CoChange,false,0,0,1,0,0,8,9,1
12230,524,88,69,2,5978701,CoChange,true,0,0,69,0,0,85,2,1
12229,-1,91,72,3,5083174,CoChange,true,0,0,72,0,0,87,3,1
12228,-1,130,10,0,1901885,CoChange,false,0,0,10,0,0,129,0,1
12226,155,37,0,9,298178,CoChange,false,0,0,0,0,0,27,9,1
12225,-1,116,10,4,2122555,CoChange,false,0,0,10,0,0,111,4,1
12224,-1,105,31,3,3933279,CoChange,true,0,0,31,0,0,101,3,1
12217,-1,23,4,13,329563,CoChange,false,0,0,4,0,0,9,13,1
12213,40,8,6,1,39269,BugEntity,false,0,0,6,0,0,6,1,1
12212,-1,116,2,8,1234350,CoChange,false,0,0,2,0,0,107,8,1
12211,-1,78,30,0,5512997,CoChange,true,0,0,30,0,0,77,0,1
12208,-1,91,24,0,5003009,CoChange,true,0,0,24,0,0,90,0,1
12207,-1,76,12,1,904949,CoChange,false,0,0,12,0,0,74,1,1
12205,-1,105,18,3,3894891,CoChange,true,0,0,18,0,0,101,3,1
12204,-1,123,34,3,4354395,CoChange,true,0,0,34,0,0,119,3,1
12202,-1,106,18,18,2651927,CoChange,false,0,0,18,0,0,87,18,1
